window,split,pair,horizon,spearman,n_spearman,signed_hit,n_hit
OPEN5,Discovery,es_lead_nq,0,0.7605826526696041,12068,0.7982860302248433,10852
OPEN5,Discovery,es_lead_nq,1,0.011833420920527199,12072,0.4894048277132854,10854
OPEN5,Discovery,es_lead_nq,5,0.01173107447888256,12072,0.5035931453841902,10854
OPEN5,Discovery,es_lead_nq,15,0.004792656887451178,12072,0.49760456974387324,10854
OPEN5,Discovery,es_lead_nq,30,0.016538722685049856,12072,0.5093053252257232,10854
OPEN5,Discovery,nq_lead_es,0,0.760582652669604,12068,0.7445638160721959,11635
OPEN5,Discovery,nq_lead_es,1,0.014780226863185439,12069,0.465452045376418,11636
OPEN5,Discovery,nq_lead_es,5,0.004269897653096765,12069,0.4855620488140254,11636
OPEN5,Discovery,nq_lead_es,15,0.0018711340841052954,12069,0.48968717772430387,11636
OPEN5,Discovery,nq_lead_es,30,0.009718149784129508,12069,0.4999140598143692,11636
OPEN5,Discovery,es5_lead_nq,0,0.3942893066397562,12046,0.6260587942202293,12042
OPEN5,Discovery,es5_lead_nq,1,0.0027643878316813315,12049,0.48468244084682444,12045
OPEN5,Discovery,es5_lead_nq,5,0.008639622659733422,12049,0.505271897052719,12045
OPEN5,Discovery,es5_lead_nq,15,0.011381425706600109,12049,0.5060190950601909,12045
OPEN5,Discovery,es5_lead_nq,30,0.03546158907705277,12049,0.5154005811540058,12045
OPEN5,Discovery,nq5_lead_es,0,0.3930915175998482,12036,0.5912754466140424,12035
OPEN5,Discovery,nq5_lead_es,1,-0.006191316806472973,12037,0.4479062811565304,12036
OPEN5,Discovery,nq5_lead_es,5,0.003955994444144734,12037,0.4844632768361582,12036
OPEN5,Discovery,nq5_lead_es,15,0.023527431212550257,12037,0.5,12036
OPEN5,Discovery,nq5_lead_es,30,0.033457207704324546,12037,0.5063143901628449,12036
OPEN5,Validation,es_lead_nq,0,0.7782953424307936,3870,0.7984832069339112,3692
OPEN5,Validation,es_lead_nq,1,0.01968768668998722,3870,0.4989165763813651,3692
OPEN5,Validation,es_lead_nq,5,0.014849296227234977,3870,0.4997291440953413,3692
OPEN5,Validation,es_lead_nq,15,0.0057145059519067365,3870,0.5083965330444203,3692
OPEN5,Validation,es_lead_nq,30,0.002088571833407191,3870,0.4894366197183099,3692
OPEN5,Validation,nq_lead_es,0,0.7782953424307936,3870,0.7675084613381932,3841
OPEN5,Validation,nq_lead_es,1,0.03345949442408637,3870,0.48476959125227803,3841
OPEN5,Validation,nq_lead_es,5,0.030608193104757087,3870,0.4933611038791981,3841
OPEN5,Validation,nq_lead_es,15,0.017854292683032673,3870,0.49960947669877637,3841
OPEN5,Validation,nq_lead_es,30,0.024909944820820554,3870,0.501171569903671,3841
OPEN5,Validation,es5_lead_nq,0,0.4106313727441313,3870,0.6454780361757106,3870
OPEN5,Validation,es5_lead_nq,1,0.012561350628230643,3870,0.5056847545219638,3870
OPEN5,Validation,es5_lead_nq,5,0.044171888560771484,3870,0.5250645994832042,3870
OPEN5,Validation,es5_lead_nq,15,0.009249613357345336,3870,0.5149870801033591,3870
OPEN5,Validation,es5_lead_nq,30,0.03529919285422464,3870,0.5041343669250646,3870
OPEN5,Validation,nq5_lead_es,0,0.42981932085249336,3870,0.6322997416020671,3870
OPEN5,Validation,nq5_lead_es,1,0.009094888181888154,3870,0.4873385012919897,3870
OPEN5,Validation,nq5_lead_es,5,0.040743707789543865,3870,0.5090439276485789,3870
OPEN5,Validation,nq5_lead_es,15,0.03147201807833247,3870,0.5100775193798449,3870
OPEN5,Validation,nq5_lead_es,30,0.0525461789394322,3870,0.5186046511627908,3870
OPEN5,OOS,es_lead_nq,0,0.793641033655355,2060,0.8053186151530356,1993
OPEN5,OOS,es_lead_nq,1,-0.03158815754609348,2060,0.4801806322127446,1993
OPEN5,OOS,es_lead_nq,5,-0.010165562152655473,2060,0.5102860010035123,1993
OPEN5,OOS,es_lead_nq,15,0.004587138113684818,2060,0.5072754641244355,1993
OPEN5,OOS,es_lead_nq,30,0.010906629072653506,2060,0.5223281485198193,1993
OPEN5,OOS,nq_lead_es,0,0.793641033655355,2060,0.7817827569410618,2053
OPEN5,OOS,nq_lead_es,1,-0.013807126633784706,2060,0.48904042864101316,2053
OPEN5,OOS,nq_lead_es,5,-0.04265994386657086,2060,0.47686312713102774,2053
OPEN5,OOS,nq_lead_es,15,0.0007146416032980983,2060,0.5002435460301997,2053
OPEN5,OOS,nq_lead_es,30,0.029117623357918954,2060,0.5104724792985874,2053
OPEN5,OOS,es5_lead_nq,0,0.4147784544529889,2060,0.6480582524271845,2060
OPEN5,OOS,es5_lead_nq,1,0.0154262316879466,2060,0.5063106796116504,2060
OPEN5,OOS,es5_lead_nq,5,0.0584591457206668,2060,0.5281553398058253,2060
OPEN5,OOS,es5_lead_nq,15,0.05438883804597014,2060,0.5228155339805826,2060
OPEN5,OOS,es5_lead_nq,30,0.02566241309625845,2060,0.5296116504854369,2060
OPEN5,OOS,nq5_lead_es,0,0.4114386918828389,2060,0.6315533980582524,2060
OPEN5,OOS,nq5_lead_es,1,-0.009069540506784678,2060,0.4975728155339806,2060
OPEN5,OOS,nq5_lead_es,5,-0.01265527862654952,2060,0.5150485436893204,2060
OPEN5,OOS,nq5_lead_es,15,0.02939874452701459,2060,0.5194174757281553,2060
OPEN5,OOS,nq5_lead_es,30,0.0629100946663683,2060,0.5281553398058253,2060
OPEN15,Discovery,es_lead_nq,0,0.779621551674609,36200,0.8094510769614414,32081
OPEN15,Discovery,es_lead_nq,1,0.0005618907089001882,36205,0.47919458903469125,32083
OPEN15,Discovery,es_lead_nq,5,0.006524630484244953,36205,0.4961194402019761,32083
OPEN15,Discovery,es_lead_nq,15,-0.0012646213545339496,36205,0.49774023626219493,32083
OPEN15,Discovery,es_lead_nq,30,0.002627304269276302,36205,0.5016987189477293,32083
OPEN15,Discovery,nq_lead_es,0,0.7796215516746091,36200,0.7462712302784723,34797
OPEN15,Discovery,nq_lead_es,1,0.003048695086494013,36202,0.4461622460415529,34799
OPEN15,Discovery,nq_lead_es,5,0.0043511168447188265,36202,0.4778872956119429,34799
OPEN15,Discovery,nq_lead_es,15,-0.004453681031023066,36202,0.4834046955372281,34799
OPEN15,Discovery,nq_lead_es,30,0.0018808929481164225,36202,0.4917382683410443,34799
OPEN15,Discovery,es5_lead_nq,0,0.35438440292504003,36174,0.6044241670123047,36165
OPEN15,Discovery,es5_lead_nq,1,-0.0005929711024246711,36178,0.4796372584257237,36169
OPEN15,Discovery,es5_lead_nq,5,0.002361746600729666,36178,0.4970554895075894,36169
OPEN15,Discovery,es5_lead_nq,15,0.0003867176203199328,36178,0.5012856313417567,36169
OPEN15,Discovery,es5_lead_nq,30,0.008892412151545199,36178,0.5023086068179933,36169
OPEN15,Discovery,nq5_lead_es,0,0.3353663179485482,36161,0.5586470116436651,36157
OPEN15,Discovery,nq5_lead_es,1,-0.010156917089413388,36163,0.43604635083934845,36159
OPEN15,Discovery,nq5_lead_es,5,-0.0017538878157893297,36163,0.47974224950911254,36159
OPEN15,Discovery,nq5_lead_es,15,-0.00561261381744892,36163,0.48469260764954786,36159
OPEN15,Discovery,nq5_lead_es,30,0.006645575946353567,36163,0.4940678669210985,36159
OPEN15,Validation,es_lead_nq,0,0.8037448961425795,11610,0.8158158158158159,10989
OPEN15,Validation,es_lead_nq,1,0.00519049896703306,11610,0.4924014924014924,10989
OPEN15,Validation,es_lead_nq,5,-0.0006150357275370437,11610,0.49522249522249523,10989
OPEN15,Validation,es_lead_nq,15,0.0037818880233076984,11610,0.5065065065065065,10989
OPEN15,Validation,es_lead_nq,30,-0.004859956407892202,11610,0.4966784966784967,10989
OPEN15,Validation,nq_lead_es,0,0.8037448961425795,11610,0.7792264232942199,11505
OPEN15,Validation,nq_lead_es,1,0.012674794772393373,11610,0.47501086484137334,11505
OPEN15,Validation,nq_lead_es,5,0.012518165739150716,11610,0.48648413733159496,11505
OPEN15,Validation,nq_lead_es,15,0.01562664010573395,11610,0.49830508474576274,11505
OPEN15,Validation,nq_lead_es,30,0.008884005741313344,11610,0.4978704910908301,11505
OPEN15,Validation,es5_lead_nq,0,0.3554591538786295,11610,0.6171403962101637,11610
OPEN15,Validation,es5_lead_nq,1,-0.004006261791308753,11610,0.4941429801894918,11610
OPEN15,Validation,es5_lead_nq,5,-0.0022967755906223397,11610,0.5011197243755383,11610
OPEN15,Validation,es5_lead_nq,15,-0.005198490754975433,11610,0.5043927648578811,11610
OPEN15,Validation,es5_lead_nq,30,-0.003401211263389528,11610,0.49905254091300605,11610
OPEN15,Validation,nq5_lead_es,0,0.3547086525309399,11610,0.5959517657192076,11610
OPEN15,Validation,nq5_lead_es,1,-0.0006369325196395189,11610,0.4739879414298019,11610
OPEN15,Validation,nq5_lead_es,5,0.012858707261223673,11610,0.4955211024978467,11610
OPEN15,Validation,nq5_lead_es,15,0.01010942047751793,11610,0.4997416020671835,11610
OPEN15,Validation,nq5_lead_es,30,0.005946837975807459,11610,0.4994832041343669,11610
OPEN15,OOS,es_lead_nq,0,0.833861716182923,6180,0.8323514559838411,5941
OPEN15,OOS,es_lead_nq,1,-0.002406813720811245,6180,0.4943612186500589,5941
OPEN15,OOS,es_lead_nq,5,-0.002549138229929592,6180,0.49856926443359706,5941
OPEN15,OOS,es_lead_nq,15,0.00439286382047902,6180,0.5079952869887224,5941
OPEN15,OOS,es_lead_nq,30,-0.0004964234309701552,6180,0.508500252482747,5941
OPEN15,OOS,nq_lead_es,0,0.833861716182923,6180,0.8039343196228256,6151
OPEN15,OOS,nq_lead_es,1,0.02087298356851633,6180,0.490326776133962,6151
OPEN15,OOS,nq_lead_es,5,0.0010303773989755224,6180,0.49260282880832384,6151
