signal,window,follower,target,H,split,n,win,E_net,median_net,target_hit,stop_hit,time_exit
es_lead_nq,OPEN5,nq,20.0,15,Discovery,10832,0.46713441654357457,-0.8756462333825702,-1.0,0.18593057607090102,0.1847304283604136,0.6293389955686853
es_lead_nq,OPEN5,nq,25.0,15,Discovery,10832,0.4685192023633678,-0.7866506646971935,-0.75,0.14955686853766617,0.14540251107828656,0.7050406203840472
es_lead_nq,OPEN5,nq,30.0,15,Discovery,10832,0.466857459379616,-0.8258862629246676,-0.75,0.11798375184638109,0.11549113737075332,0.7665251107828656
es_lead_nq,OPEN5,nq,20.0,30,Discovery,10825,0.48452655889145496,-0.7737182448036951,-0.5,0.2479445727482679,0.24073903002309469,0.5113163972286374
es_lead_nq,OPEN5,nq,25.0,30,Discovery,10825,0.4853579676674365,-0.6278521939953811,-0.5,0.20360277136258662,0.19519630484988454,0.6012009237875289
es_lead_nq,OPEN5,nq,30.0,30,Discovery,10825,0.48480369515011545,-0.5803002309468822,-0.5,0.1695150115473441,0.16138568129330255,0.6690993071593534
es_lead_nq,OPEN15,nq,20.0,15,Discovery,32032,0.46219405594405594,-0.9860061813186813,-1.0,0.1713598901098901,0.1720467032967033,0.6565934065934066
es_lead_nq,OPEN15,nq,25.0,15,Discovery,32032,0.4623501498501498,-0.9334493631368631,-1.0,0.13349150849150848,0.1314935064935065,0.735014985014985
es_lead_nq,OPEN15,nq,30.0,15,Discovery,32032,0.46097652347652346,-0.9739947552447552,-1.0,0.10483266733266733,0.10514485514485515,0.7900224775224776
es_lead_nq,OPEN15,nq,20.0,30,Discovery,32011,0.4776795476554934,-0.9120849083127675,-0.75,0.23298241229577332,0.23182655962013057,0.5351910280840961
es_lead_nq,OPEN15,nq,25.0,30,Discovery,32011,0.4777107869169973,-0.805238824154197,-0.75,0.18881009652931804,0.1840929680422355,0.6270969354284465
es_lead_nq,OPEN15,nq,30.0,30,Discovery,32011,0.4757739527037581,-0.8519571397332167,-0.75,0.15535284745868608,0.15307238136890444,0.6915747711724095
es_lead_nq,OPEN30,nq,20.0,15,Discovery,63039,0.4568283126318628,-1.0275860974952014,-1.0,0.16308951601389615,0.16458065641904218,0.6723298275670616
es_lead_nq,OPEN30,nq,25.0,15,Discovery,63039,0.4571773029394502,-0.9786283094592236,-1.0,0.12536683640286173,0.12441504465489618,0.7502181189422421
es_lead_nq,OPEN30,nq,30.0,15,Discovery,63039,0.456574501499072,-0.9798378781389299,-1.0,0.09797109725725345,0.0975745173622678,0.8044543853804788
es_lead_nq,OPEN30,nq,20.0,30,Discovery,62995,0.4696721962060481,-0.9905905230573855,-1.0,0.22252559726962456,0.22262084292404158,0.5548535598063339
es_lead_nq,OPEN30,nq,25.0,30,Discovery,62995,0.4694182077942694,-0.9153662989126121,-1.0,0.17793475672672435,0.1754107468846734,0.6466544963886023
es_lead_nq,OPEN30,nq,30.0,30,Discovery,62995,0.4686879911104056,-0.8872966108421303,-1.0,0.14639257083895546,0.14317009286451304,0.7104373362965315
es_lead_nq,MID,nq,20.0,15,Discovery,336505,0.40752440528372535,-1.0349920506381778,-1.0,0.08282194915380157,0.08320827327974324,0.8339697775664552
es_lead_nq,MID,nq,25.0,15,Discovery,336505,0.4069657211631328,-1.0322432058959006,-1.0,0.057389934770657194,0.05764253131454213,0.8849675339148007
es_lead_nq,MID,nq,30.0,15,Discovery,336505,0.4067577004799334,-1.0242173221794624,-1.0,0.04052837253532637,0.0405462028796006,0.918925424585073
es_lead_nq,MID,nq,20.0,30,Discovery,335632,0.4369905134194594,-1.0222930173523384,-1.0,0.1315041473995328,0.13178719549983314,0.736708657100634
es_lead_nq,MID,nq,25.0,30,Discovery,335632,0.4364452733946704,-1.0110031224674643,-1.0,0.09850967726557658,0.09854841016351241,0.802941912570911
es_lead_nq,MID,nq,30.0,30,Discovery,335632,0.4362694856271154,-0.9976209062306336,-1.0,0.0751954521618916,0.07466808885922677,0.8501364589788817
