setup,dip,target_mode,target,split,n,win,E_net,median,target_hit,stop_hit,time_exit,n_days,n_trig,trig_rate
fade_extent,5.0,fixed,20.0,Discovery,1321,0.46177138531415596,-1.0967070401211203,-2.25,0.28236184708554124,0.3951551854655564,0.32248296744890237,2380,1321,0.5550420168067227
fade_extent,5.0,fixed,20.0,OOS,330,0.6636363636363637,-2.091666666666667,19.0,0.6575757575757576,0.3212121212121212,0.021212121212121213,413,330,0.7990314769975787
fade_extent,5.0,fixed,20.0,Validation,627,0.5741626794258373,-1.4916267942583732,19.0,0.5629984051036683,0.4003189792663477,0.03668261562998405,770,627,0.8142857142857143
fade_extent,5.0,fixed,25.0,Discovery,1321,0.43527630582891746,-1.3828538985616956,-3.75,0.2218016654049962,0.4133232399697199,0.3648750946252839,2380,1321,0.5550420168067227
fade_extent,5.0,fixed,25.0,OOS,330,0.6303030303030303,-1.1568181818181817,24.0,0.6242424242424243,0.3484848484848485,0.02727272727272727,413,330,0.7990314769975787
fade_extent,5.0,fixed,25.0,Validation,627,0.5135566188197768,-1.881578947368421,20.75,0.49920255183413076,0.4529505582137161,0.04784688995215311,770,627,0.8142857142857143
fade_extent,5.0,fixed,30.0,Discovery,1321,0.41786525359576077,-1.4097274791824375,-5.0,0.18470855412566237,0.4254352763058289,0.3898561695685087,2380,1321,0.5550420168067227
fade_extent,5.0,fixed,30.0,OOS,330,0.5848484848484848,-1.0856060606060607,29.0,0.5757575757575758,0.39090909090909093,0.03333333333333333,413,330,0.7990314769975787
fade_extent,5.0,fixed,30.0,Validation,627,0.48963317384370014,-0.833732057416268,-7.25,0.46570972886762363,0.4704944178628389,0.06379585326953748,770,627,0.8142857142857143
fade_extent,5.0,opposite,0.25,Discovery,15,0.0,-0.75,-0.75,1.0,0.0,0.0,15,15,1.0
fade_extent,5.0,opposite,0.25,OOS,2,0.0,-6.25,-6.25,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,0.25,Validation,2,0.0,-0.75,-0.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,0.5,Discovery,20,0.0,-1.375,-0.5,0.95,0.05,0.0,20,20,1.0
fade_extent,5.0,opposite,0.5,Validation,1,0.0,-0.5,-0.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,0.75,Discovery,23,0.0,-0.5978260869565217,-0.25,0.9565217391304348,0.043478260869565216,0.0,23,23,1.0
fade_extent,5.0,opposite,0.75,Validation,1,0.0,-0.25,-0.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,1.0,Discovery,18,0.0,-0.9305555555555556,0.0,0.8888888888888888,0.05555555555555555,0.05555555555555555,18,18,1.0
fade_extent,5.0,opposite,1.0,OOS,1,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,1.0,Validation,4,0.0,0.0,0.0,1.0,0.0,0.0,4,4,1.0
fade_extent,5.0,opposite,1.25,Discovery,20,0.95,-1.0625,0.25,0.95,0.05,0.0,20,20,1.0
fade_extent,5.0,opposite,1.25,OOS,1,1.0,0.25,0.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,1.25,Validation,1,1.0,0.25,0.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,1.5,Discovery,13,0.8461538461538461,-0.8846153846153846,0.5,0.8461538461538461,0.15384615384615385,0.0,13,13,1.0
fade_extent,5.0,opposite,1.5,OOS,2,0.5,-12.75,-12.75,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,1.5,Validation,1,1.0,0.5,0.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,1.75,Discovery,12,0.9166666666666666,-0.14583333333333334,0.75,0.9166666666666666,0.08333333333333333,0.0,12,12,1.0
fade_extent,5.0,opposite,1.75,Validation,2,1.0,0.75,0.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,2.0,Discovery,13,0.8461538461538461,-0.5961538461538461,1.0,0.8461538461538461,0.15384615384615385,0.0,13,13,1.0
fade_extent,5.0,opposite,2.0,OOS,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,2.0,Validation,2,0.5,-9.875,-9.875,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,2.25,Discovery,16,1.0,1.25,1.25,1.0,0.0,0.0,16,16,1.0
fade_extent,5.0,opposite,2.25,OOS,1,1.0,1.25,1.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,2.5,Discovery,15,0.6,-3.3333333333333335,1.5,0.6,0.3333333333333333,0.06666666666666667,15,15,1.0
fade_extent,5.0,opposite,2.5,OOS,1,1.0,1.5,1.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,2.5,Validation,1,1.0,1.5,1.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,2.75,Discovery,11,0.8181818181818182,-0.4318181818181818,1.75,0.8181818181818182,0.18181818181818182,0.0,11,11,1.0
fade_extent,5.0,opposite,2.75,OOS,1,1.0,1.75,1.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,2.75,Validation,2,1.0,1.75,1.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,3.0,Discovery,17,0.7647058823529411,-1.6029411764705883,2.0,0.7647058823529411,0.17647058823529413,0.058823529411764705,17,17,1.0
fade_extent,5.0,opposite,3.0,Validation,3,1.0,2.0,2.0,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,3.25,Discovery,17,0.7647058823529411,-1.6764705882352942,2.25,0.7647058823529411,0.17647058823529413,0.058823529411764705,17,17,1.0
fade_extent,5.0,opposite,3.25,Validation,4,1.0,2.25,2.25,1.0,0.0,0.0,4,4,1.0
fade_extent,5.0,opposite,3.5,Discovery,15,0.6666666666666666,-1.05,2.5,0.6666666666666666,0.2,0.13333333333333333,15,15,1.0
fade_extent,5.0,opposite,3.5,Validation,2,0.5,-12.625,-12.625,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,3.75,Discovery,18,0.8333333333333334,0.4444444444444444,2.75,0.8333333333333334,0.16666666666666666,0.0,18,18,1.0
fade_extent,5.0,opposite,3.75,OOS,1,1.0,2.75,2.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,3.75,Validation,2,1.0,2.75,2.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,4.0,Discovery,27,0.8148148148148148,0.5925925925925926,3.0,0.8148148148148148,0.1111111111111111,0.07407407407407407,27,27,1.0
fade_extent,5.0,opposite,4.0,Validation,2,1.0,3.0,3.0,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,4.25,Discovery,16,0.6875,-0.328125,3.25,0.6875,0.125,0.1875,16,16,1.0
fade_extent,5.0,opposite,4.25,OOS,2,1.0,3.25,3.25,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,4.25,Validation,4,1.0,3.25,3.25,1.0,0.0,0.0,4,4,1.0
fade_extent,5.0,opposite,4.5,Discovery,17,0.6470588235294118,-0.9705882352941176,3.5,0.6470588235294118,0.35294117647058826,0.0,17,17,1.0
fade_extent,5.0,opposite,4.5,Validation,1,1.0,3.5,3.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,4.75,Discovery,18,0.7777777777777778,1.8055555555555556,3.75,0.7777777777777778,0.05555555555555555,0.16666666666666666,18,18,1.0
fade_extent,5.0,opposite,4.75,OOS,1,1.0,3.75,3.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,4.75,Validation,2,1.0,3.75,3.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,5.0,Discovery,10,0.8,2.4,4.0,0.8,0.0,0.2,10,10,1.0
fade_extent,5.0,opposite,5.25,Discovery,7,0.7142857142857143,-0.35714285714285715,4.25,0.7142857142857143,0.2857142857142857,0.0,7,7,1.0
fade_extent,5.0,opposite,5.25,Validation,2,0.5,-12.375,-12.375,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,5.5,Discovery,13,0.6153846153846154,-1.5576923076923077,4.5,0.6153846153846154,0.3076923076923077,0.07692307692307693,13,13,1.0
fade_extent,5.0,opposite,5.5,Validation,4,1.0,4.5,4.5,1.0,0.0,0.0,4,4,1.0
fade_extent,5.0,opposite,5.75,Discovery,17,0.6470588235294118,-1.4852941176470589,4.75,0.5882352941176471,0.23529411764705882,0.17647058823529413,17,17,1.0
fade_extent,5.0,opposite,5.75,OOS,1,1.0,4.75,4.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,6.0,Discovery,12,0.4166666666666667,-2.1041666666666665,-1.5,0.4166666666666667,0.4166666666666667,0.16666666666666666,12,12,1.0
fade_extent,5.0,opposite,6.0,Validation,3,0.6666666666666666,-1.4166666666666667,5.0,0.6666666666666666,0.3333333333333333,0.0,3,3,1.0
fade_extent,5.0,opposite,6.25,Discovery,13,0.6153846153846154,-0.25,5.25,0.5384615384615384,0.23076923076923078,0.23076923076923078,13,13,1.0
fade_extent,5.0,opposite,6.25,Validation,3,1.0,5.25,5.25,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,6.5,Discovery,10,0.8,2.75,5.5,0.8,0.2,0.0,10,10,1.0
fade_extent,5.0,opposite,6.5,Validation,1,1.0,5.5,5.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,6.75,Discovery,15,0.5333333333333333,-2.066666666666667,5.75,0.5333333333333333,0.3333333333333333,0.13333333333333333,15,15,1.0
fade_extent,5.0,opposite,6.75,OOS,1,1.0,5.75,5.75,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,6.75,Validation,2,1.0,5.75,5.75,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,7.0,Discovery,14,0.6428571428571429,-0.5535714285714286,6.0,0.5714285714285714,0.35714285714285715,0.07142857142857142,14,14,1.0
fade_extent,5.0,opposite,7.0,OOS,2,0.5,-6.75,-6.75,0.5,0.5,0.0,2,2,1.0
fade_extent,5.0,opposite,7.0,Validation,1,1.0,6.0,6.0,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,7.25,Discovery,11,0.7272727272727273,0.9545454545454546,6.25,0.6363636363636364,0.18181818181818182,0.18181818181818182,11,11,1.0
fade_extent,5.0,opposite,7.25,Validation,1,1.0,6.25,6.25,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,7.5,Discovery,7,0.7142857142857143,3.1785714285714284,6.5,0.7142857142857143,0.14285714285714285,0.14285714285714285,7,7,1.0
fade_extent,5.0,opposite,7.5,OOS,1,1.0,6.5,6.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,7.75,Discovery,12,0.5,-7.3125,-3.0,0.4166666666666667,0.5,0.08333333333333333,12,12,1.0
fade_extent,5.0,opposite,7.75,OOS,3,1.0,6.75,6.75,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,7.75,Validation,3,1.0,6.75,6.75,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,8.0,Discovery,8,0.625,0.03125,7.0,0.625,0.375,0.0,8,8,1.0
fade_extent,5.0,opposite,8.0,OOS,3,1.0,7.0,7.0,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,8.0,Validation,3,0.3333333333333333,-9.75,-9.25,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,8.25,Discovery,7,0.2857142857142857,-7.642857142857143,-11.0,0.2857142857142857,0.7142857142857143,0.0,7,7,1.0
fade_extent,5.0,opposite,8.25,Validation,5,0.8,0.2,7.25,0.8,0.2,0.0,5,5,1.0
fade_extent,5.0,opposite,8.5,Discovery,6,0.6666666666666666,2.1666666666666665,7.5,0.6666666666666666,0.3333333333333333,0.0,6,6,1.0
fade_extent,5.0,opposite,8.5,Validation,4,0.75,0.75,7.5,0.75,0.25,0.0,4,4,1.0
fade_extent,5.0,opposite,8.75,Discovery,12,0.5,-3.2083333333333335,-2.125,0.4166666666666667,0.3333333333333333,0.25,12,12,1.0
fade_extent,5.0,opposite,8.75,OOS,3,0.3333333333333333,-13.416666666666666,-22.5,0.3333333333333333,0.6666666666666666,0.0,3,3,1.0
fade_extent,5.0,opposite,9.0,Discovery,10,0.7,1.125,8.0,0.6,0.3,0.1,10,10,1.0
fade_extent,5.0,opposite,9.0,Validation,3,1.0,8.0,8.0,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,9.25,Discovery,8,0.75,4.0625,8.25,0.75,0.125,0.125,8,8,1.0
fade_extent,5.0,opposite,9.25,Validation,3,0.6666666666666666,-6.916666666666667,8.25,0.6666666666666666,0.3333333333333333,0.0,3,3,1.0
fade_extent,5.0,opposite,9.5,Discovery,6,0.5,-2.5833333333333335,-1.5,0.5,0.5,0.0,6,6,1.0
fade_extent,5.0,opposite,9.5,Validation,1,1.0,8.5,8.5,1.0,0.0,0.0,1,1,1.0
fade_extent,5.0,opposite,9.75,Discovery,8,0.75,3.90625,8.75,0.75,0.25,0.0,8,8,1.0
fade_extent,5.0,opposite,9.75,Validation,3,1.0,8.75,8.75,1.0,0.0,0.0,3,3,1.0
fade_extent,5.0,opposite,10.0,Discovery,12,0.5833333333333334,-0.4583333333333333,9.0,0.5833333333333334,0.25,0.16666666666666666,12,12,1.0
fade_extent,5.0,opposite,10.0,OOS,2,1.0,9.0,9.0,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,10.0,Validation,3,1.0,7.0,9.0,0.6666666666666666,0.0,0.3333333333333333,3,3,1.0
fade_extent,5.0,opposite,10.25,Discovery,11,0.5454545454545454,0.4090909090909091,9.25,0.5454545454545454,0.2727272727272727,0.18181818181818182,11,11,1.0
fade_extent,5.0,opposite,10.25,OOS,2,1.0,9.25,9.25,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,10.25,Validation,2,1.0,9.25,9.25,1.0,0.0,0.0,2,2,1.0
fade_extent,5.0,opposite,10.5,Discovery,8,0.75,5.71875,9.5,0.75,0.125,0.125,8,8,1.0
fade_extent,5.0,opposite,10.5,Validation,1,1.0,9.5,9.5,1.0,0.0,0.0,1,1,1.0
