session_date,split,year,label,side,rev,rev_ok,skip_at_ext,setup_ok
2010-06-07,Discovery,2010.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2010-06-07,Discovery,2010.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2010-06-14,Discovery,,NEITHER,,,,,False
2010-06-21,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,True,False,True
2010-06-21,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-06-28,Discovery,,NEITHER,,,,,False
2010-07-05,Discovery,,NEITHER,,,,,False
2010-07-06,Discovery,2010.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2010-07-06,Discovery,2010.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2010-07-12,Discovery,2010.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2010-07-12,Discovery,2010.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2010-07-19,Discovery,,NEITHER,,,,,False
2010-07-26,Discovery,,NEITHER,,,,,False
2010-08-02,Discovery,,NEITHER,,,,,False
2010-08-09,Discovery,,NEITHER,,,,,False
2010-08-16,Discovery,,NEITHER,,,,,False
2010-08-23,Discovery,,NEITHER,,,,,False
2010-08-30,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,False,False,False
2010-08-30,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-09-06,Discovery,,NEITHER,,,,,False
2010-09-07,Discovery,,NEITHER,,,,,False
2010-09-13,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,True,False,True
2010-09-13,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-09-20,Discovery,,NEITHER,,,,,False
2010-09-27,Discovery,,NEITHER,,,,,False
2010-10-04,Discovery,,NEITHER,,,,,False
2010-10-11,Discovery,,NEITHER,,,,,False
2010-10-18,Discovery,2010.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2010-10-18,Discovery,2010.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2010-10-25,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,False,False,False
2010-10-25,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-11-01,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,True,False,True
2010-11-01,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-11-08,Discovery,,NEITHER,,,,,False
2010-11-15,Discovery,,NEITHER,,,,,False
2010-11-22,Discovery,2010.0,LOD_SO_FAR,1.0,5.0,False,False,False
2010-11-22,Discovery,2010.0,LOD_SO_FAR,1.0,10.0,False,False,False
2010-11-26,Discovery,,NEITHER,,,,,False
2010-11-29,Discovery,,NEITHER,,,,,False
2010-12-06,Discovery,,NEITHER,,,,,False
2010-12-13,Discovery,2010.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2010-12-13,Discovery,2010.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2010-12-20,Discovery,,NEITHER,,,,,False
2010-12-27,Discovery,,NEITHER,,,,,False
2011-01-03,Discovery,,NEITHER,,,,,False
2011-01-10,Discovery,,NEITHER,,,,,False
2011-01-17,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-01-17,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-01-18,Discovery,,NEITHER,,,,,False
2011-01-24,Discovery,,NEITHER,,,,,False
2011-01-31,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-01-31,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-02-07,Discovery,,NEITHER,,,,,False
2011-02-14,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-02-14,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-02-21,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-02-21,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-02-22,Discovery,,NEITHER,,,,,False
2011-02-28,Discovery,,NEITHER,,,,,False
2011-03-07,Discovery,,NEITHER,,,,,False
2011-03-14,Discovery,,NEITHER,,,,,False
2011-03-15,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-03-15,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-03-21,Discovery,,NEITHER,,,,,False
2011-03-22,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-03-22,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-03-25,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-03-25,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-03-28,Discovery,,NEITHER,,,,,False
2011-03-31,Discovery,,NEITHER,,,,,False
2011-04-04,Discovery,,NEITHER,,,,,False
2011-04-11,Discovery,,NEITHER,,,,,False
2011-04-14,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,True,False,True
2011-04-14,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-04-15,Discovery,,NEITHER,,,,,False
2011-04-18,Discovery,,NEITHER,,,,,False
2011-04-19,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-04-19,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-04-20,Discovery,,NEITHER,,,,,False
2011-04-25,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-04-25,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-05-02,Discovery,,NEITHER,,,,,False
2011-05-05,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-05-05,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-05-06,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,True,False,True
2011-05-06,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-05-09,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-05-09,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-05-16,Discovery,,NEITHER,,,,,False
2011-05-24,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-05-24,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-05-25,Discovery,,NEITHER,,,,,False
2011-05-31,Discovery,,NEITHER,,,,,False
2011-06-02,Discovery,,NEITHER,,,,,False
2011-06-06,Discovery,,NEITHER,,,,,False
2011-06-08,Discovery,,NEITHER,,,,,False
2011-06-09,Discovery,,NEITHER,,,,,False
2011-06-10,Discovery,,NEITHER,,,,,False
2011-06-13,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-06-13,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-06-20,Discovery,,NEITHER,,,,,False
2011-06-27,Discovery,,NEITHER,,,,,False
2011-07-04,Discovery,,NEITHER,,,,,False
2011-07-05,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-07-05,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-07-11,Discovery,,NEITHER,,,,,False
2011-07-18,Discovery,,NEITHER,,,,,False
2011-07-25,Discovery,,NEITHER,,,,,False
2011-08-01,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,True,False,True
2011-08-01,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-08-08,Discovery,,NEITHER,,,,,False
2011-08-15,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,True,False,True
2011-08-15,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,True,False,True
2011-08-22,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-08-22,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-08-29,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,True,False,True
2011-08-29,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-09-05,Discovery,,NEITHER,,,,,False
2011-09-06,Discovery,,NEITHER,,,,,False
2011-09-12,Discovery,,NEITHER,,,,,False
2011-09-19,Discovery,,NEITHER,,,,,False
2011-09-26,Discovery,,NEITHER,,,,,False
2011-10-03,Discovery,,NEITHER,,,,,False
2011-10-10,Discovery,,NEITHER,,,,,False
2011-10-17,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,False,False,False
2011-10-17,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-10-24,Discovery,,NEITHER,,,,,False
2011-10-31,Discovery,2011.0,LOD_SO_FAR,1.0,5.0,True,False,True
2011-10-31,Discovery,2011.0,LOD_SO_FAR,1.0,10.0,False,False,False
2011-11-07,Discovery,,NEITHER,,,,,False
2011-11-14,Discovery,,NEITHER,,,,,False
2011-11-21,Discovery,,NEITHER,,,,,False
2011-11-25,Discovery,,NEITHER,,,,,False
2011-11-28,Discovery,,NEITHER,,,,,False
2011-12-05,Discovery,2011.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2011-12-05,Discovery,2011.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2011-12-12,Discovery,,NEITHER,,,,,False
2011-12-19,Discovery,,NEITHER,,,,,False
2011-12-27,Discovery,,NEITHER,,,,,False
2012-01-03,Discovery,,NEITHER,,,,,False
2012-01-09,Discovery,,NEITHER,,,,,False
2012-01-16,Discovery,,NEITHER,,,,,False
2012-01-17,Discovery,2012.0,LOD_SO_FAR,1.0,5.0,False,False,False
2012-01-17,Discovery,2012.0,LOD_SO_FAR,1.0,10.0,False,False,False
2012-01-23,Discovery,,NEITHER,,,,,False
2012-01-30,Discovery,2012.0,LOD_SO_FAR,1.0,5.0,True,False,True
2012-01-30,Discovery,2012.0,LOD_SO_FAR,1.0,10.0,False,False,False
2012-02-06,Discovery,,NEITHER,,,,,False
2012-02-13,Discovery,,NEITHER,,,,,False
2012-02-20,Discovery,,NEITHER,,,,,False
2012-02-21,Discovery,,NEITHER,,,,,False
2012-02-27,Discovery,,NEITHER,,,,,False
2012-03-05,Discovery,2012.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2012-03-05,Discovery,2012.0,HOD_SO_FAR,-1.0,10.0,False,False,False
2012-03-12,Discovery,,NEITHER,,,,,False
2012-03-19,Discovery,2012.0,LOD_SO_FAR,1.0,5.0,True,False,True
2012-03-19,Discovery,2012.0,LOD_SO_FAR,1.0,10.0,True,False,True
2012-03-26,Discovery,,NEITHER,,,,,False
2012-04-02,Discovery,,NEITHER,,,,,False
2012-04-09,Discovery,,NEITHER,,,,,False
2012-04-16,Discovery,2012.0,HOD_SO_FAR,-1.0,5.0,False,False,False
2012-04-16,Discovery,2012.0,HOD_SO_FAR,-1.0,10.0,False,False,False
