entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
break10,structural,,rr,,2.0,60,OOS,175,175,1.0,0.38285714285714284,4.465714285714285,0.09070333205515864,0.3657142857142857,0.6057142857142858,0.02857142857142857,23.5
break10,fixed,25.0,rr,,2.0,60,OOS,175,175,1.0,0.4057142857142857,4.428571428571429,0.17714285714285713,0.4057142857142857,0.5942857142857143,0.0,25.0
break10,structural,,rr,,2.0,30,OOS,175,175,1.0,0.37142857142857144,4.1657142857142855,0.07479595613744228,0.34285714285714286,0.5828571428571429,0.07428571428571429,23.5
imp10_pb5,structural,,rr,,2.0,30,OOS,185,187,0.9893048128342246,0.33513513513513515,3.8094594594594593,-0.034830930253593406,0.3081081081081081,0.6,0.0918918918918919,24.25
imp10_pb10,structural,,rr,,2.0,30,OOS,185,187,0.9893048128342246,0.33513513513513515,3.8094594594594593,-0.034830930253593406,0.3081081081081081,0.6,0.0918918918918919,24.25
break10,structural,,rr,,2.0,15,OOS,175,175,1.0,0.4057142857142857,3.7485714285714287,0.04173469384429278,0.29714285714285715,0.5714285714285714,0.13142857142857142,23.5
break10,structural,,fixed,40.0,,15,OOS,175,175,1.0,0.44,3.5757142857142856,0.057340225848867166,0.4057142857142857,0.5485714285714286,0.045714285714285714,23.5
imp10_pb10,structural,,rr,,1.5,30,OOS,185,187,0.9893048128342246,0.4,3.558108108108108,-0.019322795390619815,0.4,0.5459459459459459,0.05405405405405406,24.25
imp10_pb5,structural,,rr,,1.5,30,OOS,185,187,0.9893048128342246,0.4,3.558108108108108,-0.019322795390619815,0.4,0.5459459459459459,0.05405405405405406,24.25
break10,fixed,25.0,fixed,40.0,,30,OOS,175,175,1.0,0.4514285714285714,3.48,0.13919999999999996,0.4514285714285714,0.5371428571428571,0.011428571428571429,25.0
break10,fixed,25.0,rr,,2.0,30,OOS,175,175,1.0,0.4057142857142857,3.4457142857142857,0.13782857142857147,0.36,0.5828571428571429,0.05714285714285714,25.0
break10,structural,,fixed,40.0,,30,OOS,175,175,1.0,0.42857142857142855,3.4414285714285713,0.056110544357586466,0.42857142857142855,0.56,0.011428571428571429,23.5
break10,fixed,25.0,fixed,40.0,,60,OOS,175,175,1.0,0.4514285714285714,3.342857142857143,0.13371428571428567,0.4514285714285714,0.5485714285714286,0.0,25.0
break10,fixed,25.0,fixed,40.0,,15,OOS,175,175,1.0,0.4514285714285714,3.3114285714285714,0.1324571428571428,0.44,0.5371428571428571,0.022857142857142857,25.0
break10,structural,,rr,,1.5,15,OOS,175,175,1.0,0.4514285714285714,3.135,0.03394931379855467,0.38285714285714284,0.5371428571428571,0.08,23.5
imp15_pb5,structural,,rr,,2.0,30,OOS,181,181,1.0,0.35359116022099446,2.998618784530387,-0.001293944687460664,0.3149171270718232,0.5911602209944752,0.09392265193370165,28.25
imp15_pb10,structural,,rr,,2.0,30,OOS,181,181,1.0,0.35359116022099446,2.998618784530387,-0.001293944687460664,0.3149171270718232,0.5911602209944752,0.09392265193370165,28.25
break10,structural,,fixed,40.0,,60,OOS,175,175,1.0,0.42857142857142855,2.99,0.050209517280088795,0.42857142857142855,0.5714285714285714,0.0,23.5
break5,structural,,rr,,2.0,60,OOS,179,179,1.0,0.3407821229050279,2.9175977653631286,-0.039691230874419,0.329608938547486,0.6480446927374302,0.0223463687150838,19.25
break10,fixed,25.0,rr,,2.0,15,OOS,175,175,1.0,0.4057142857142857,2.8014285714285716,0.11205714285714286,0.34285714285714286,0.5828571428571429,0.07428571428571429,25.0
