stop_mode,tgt_mode,split,median_E,pct_pos,n_cells
fixed,fixed,Discovery,-0.5049542682926829,0.30128205128205127,780
fixed,fixed,OOS,-3.1815642458100557,0.046153846153846156,780
fixed,fixed,Validation,-2.139810426540284,0.019230769230769232,780
fixed,rr,Discovery,-0.4037034955603012,0.31837606837606836,468
fixed,rr,OOS,-3.2459893048128343,0.11752136752136752,468
fixed,rr,Validation,-2.236279069767442,0.010683760683760684,468
structural,fixed,Discovery,-0.2609447004608295,0.3076923076923077,195
structural,fixed,OOS,-2.2814285714285716,0.15384615384615385,195
structural,fixed,Validation,-2.556366047745358,0.12307692307692308,195
structural,rr,Discovery,-0.6104938271604938,0.23076923076923078,117
structural,rr,OOS,-1.777027027027027,0.3333333333333333,117
structural,rr,Validation,-3.365530303030303,0.18803418803418803,117
