year,n,E,win
2011,1,-26.0,0.0
2012,2,-6.5,0.5
2013,2,-6.625,0.5
2014,7,6.428571428571429,0.5714285714285714
2015,8,3.34375,0.625
2016,11,-4.909090909090909,0.2727272727272727
2017,9,-4.888888888888889,0.4444444444444444
2018,33,2.492424242424242,0.5151515151515151
2019,29,4.862068965517241,0.4827586206896552
2020,43,-7.534883720930233,0.3023255813953488
2021,50,5.78,0.5
2022,62,3.3548387096774195,0.45161290322580644
2023,76,-6.7006578947368425,0.3026315789473684
2024,71,3.295774647887324,0.4507042253521127
2025,51,-3.0588235294117645,0.35294117647058826
2026,40,4.875,0.475
