entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split_val,n_val,n_elig_val,trig_rate_val,win_val,E_net_val,E_R_val,target_hit_val,stop_hit_val,time_exit_val,median_stop_val,split_oos,n_oos,n_elig_oos,trig_rate_oos,win_oos,E_net_oos,E_R_oos,target_hit_oos,stop_hit_oos,time_exit_oos,median_stop_oos,split_disc,n_disc,n_elig_disc,trig_rate_disc,win_disc,E_net_disc,E_R_disc,target_hit_disc,stop_hit_disc,time_exit_disc,median_stop_disc,min_E_val_oos
at_open_wstop,structural,,rr,,2.0,60,Validation,485,485,1.0,0.4144329896907217,3.8469072164948455,0.028567423003063894,0.24948453608247423,0.5278350515463918,0.22268041237113403,29.75,OOS,208,208,1.0,0.3173076923076923,0.6598557692307693,-0.14307802369504785,0.22115384615384615,0.6346153846153846,0.14423076923076922,54.25,Discovery,574,574,1.0,0.34146341463414637,-1.1942508710801394,-0.1582109866227745,0.1951219512195122,0.5871080139372822,0.21777003484320556,15.25,0.6598557692307693
imp20_pb5,fixed,25.0,fixed,40.0,,60,Validation,396,396,1.0,0.40404040404040403,0.11994949494949494,0.004797979797979812,0.3888888888888889,0.5858585858585859,0.025252525252525252,25.0,OOS,179,179,1.0,0.40782122905027934,0.5083798882681564,0.02033519553072628,0.40782122905027934,0.5921787709497207,0.0,25.0,Discovery,331,331,1.0,0.4350453172205438,0.19259818731117825,0.007703927492447143,0.2930513595166163,0.4622356495468278,0.24471299093655588,25.0,0.11994949494949494
imp20_pb10,fixed,25.0,fixed,40.0,,60,Validation,396,396,1.0,0.40404040404040403,0.11994949494949494,0.004797979797979812,0.3888888888888889,0.5858585858585859,0.025252525252525252,25.0,OOS,179,179,1.0,0.40782122905027934,0.5083798882681564,0.02033519553072628,0.40782122905027934,0.5921787709497207,0.0,25.0,Discovery,328,328,1.0,0.4329268292682927,0.12957317073170732,0.005182926829268302,0.2865853658536585,0.45121951219512196,0.2621951219512195,25.0,0.11994949494949494
imp20_pb5,fixed,25.0,fixed,40.0,,30,Validation,396,396,1.0,0.40404040404040403,-0.1111111111111111,-0.004444444444444444,0.3712121212121212,0.5707070707070707,0.05808080808080808,25.0,OOS,179,179,1.0,0.40782122905027934,0.3687150837988827,0.01474860335195533,0.39664804469273746,0.5810055865921788,0.0223463687150838,25.0,Discovery,331,331,1.0,0.45317220543806647,-0.6080060422960725,-0.024320241691842902,0.22054380664652568,0.40181268882175225,0.3776435045317221,25.0,-0.1111111111111111
imp20_pb10,fixed,25.0,fixed,40.0,,30,Validation,396,396,1.0,0.40404040404040403,-0.1111111111111111,-0.004444444444444444,0.3712121212121212,0.5707070707070707,0.05808080808080808,25.0,OOS,179,179,1.0,0.40782122905027934,0.3687150837988827,0.01474860335195533,0.39664804469273746,0.5810055865921788,0.0223463687150838,25.0,Discovery,328,328,1.0,0.4329268292682927,-0.4839939024390244,-0.019359756097560975,0.22865853658536586,0.38414634146341464,0.3871951219512195,25.0,-0.1111111111111111
reclaim_dip10,fixed,25.0,rr,,2.0,30,Validation,377,377,1.0,0.35809018567639256,-0.1929708222811671,-0.007718832891246722,0.29442970822281167,0.596816976127321,0.10875331564986737,25.0,OOS,155,155,1.0,0.3548387096774194,0.6129032258064516,0.024516129032258045,0.3548387096774194,0.6451612903225806,0.0,25.0,Discovery,287,287,1.0,0.40069686411149824,-0.5574912891986062,-0.022299651567944258,0.16376306620209058,0.37630662020905925,0.45993031358885017,25.0,-0.1929708222811671
at_open_wstop,structural,,rr,,2.0,30,Validation,485,485,1.0,0.41855670103092785,2.1850515463917524,-0.013618426087318745,0.2,0.49072164948453606,0.30927835051546393,29.75,OOS,208,208,1.0,0.34615384615384615,-0.27283653846153844,-0.1230510341190823,0.20192307692307693,0.5673076923076923,0.23076923076923078,54.25,Discovery,574,574,1.0,0.3902439024390244,-0.1750871080139373,-0.11984228161982007,0.15505226480836237,0.5261324041811847,0.31881533101045295,15.25,-0.27283653846153844
reclaim_dip10,fixed,25.0,rr,,2.0,15,Validation,377,377,1.0,0.38992042440318303,-0.3017241379310345,-0.0120689655172414,0.23607427055702918,0.5305039787798409,0.23342175066312998,25.0,OOS,155,155,1.0,0.3548387096774194,0.33225806451612905,0.01329032258064513,0.3419354838709677,0.6451612903225806,0.012903225806451613,25.0,Discovery,287,287,1.0,0.5087108013937283,0.3362369337979094,0.013449477351916369,0.09407665505226481,0.3240418118466899,0.5818815331010453,25.0,-0.3017241379310345
reclaim_dip15,fixed,25.0,rr,,2.0,60,Validation,339,339,1.0,0.37168141592920356,1.084070796460177,0.043362831858407065,0.3421828908554572,0.616519174041298,0.04129793510324484,25.0,OOS,149,149,1.0,0.3422818791946309,-0.3288590604026846,-0.013154362416107387,0.3422818791946309,0.6577181208053692,0.0,25.0,Discovery,212,212,1.0,0.37264150943396224,0.19693396226415094,0.00787735849056603,0.25471698113207547,0.4858490566037736,0.25943396226415094,25.0,-0.3288590604026846
reclaim_dip15,fixed,25.0,rr,,2.0,30,Validation,339,339,1.0,0.37168141592920356,1.0235988200589972,0.040943952802359865,0.32448377581120946,0.5988200589970502,0.07669616519174041,25.0,OOS,149,149,1.0,0.3422818791946309,-0.3288590604026846,-0.013154362416107387,0.3422818791946309,0.6577181208053692,0.0,25.0,Discovery,212,212,1.0,0.41037735849056606,1.0695754716981132,0.04278301886792453,0.2169811320754717,0.4056603773584906,0.37735849056603776,25.0,-0.3288590604026846
