entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
at_open_wstop,structural,,fixed,15.0,,15,Discovery,574,574,1.0,0.47038327526132406,-1.9072299651567943,-0.15774906250619236,0.3832752613240418,0.4250871080139373,0.1916376306620209,15.25
at_open_wstop,structural,,fixed,15.0,,15,Validation,485,485,1.0,0.6082474226804123,-1.3097938144329897,-0.10372589803658919,0.6041237113402061,0.3628865979381443,0.032989690721649485,29.75
at_open_wstop,structural,,fixed,15.0,,15,OOS,208,208,1.0,0.6538461538461539,-4.921875,-0.15512288191513457,0.6538461538461539,0.3173076923076923,0.028846153846153848,54.25
at_open_wstop,structural,,fixed,15.0,,30,Discovery,574,574,1.0,0.4843205574912892,-1.906794425087108,-0.15279987120545507,0.41986062717770034,0.4634146341463415,0.11672473867595819,15.25
at_open_wstop,structural,,fixed,15.0,,30,Validation,485,485,1.0,0.6123711340206186,-1.4510309278350515,-0.10802239398260258,0.6123711340206186,0.3711340206185567,0.016494845360824743,29.75
at_open_wstop,structural,,fixed,15.0,,30,OOS,208,208,1.0,0.6538461538461539,-6.046875,-0.16564715769030186,0.6538461538461539,0.33653846153846156,0.009615384615384616,54.25
at_open_wstop,structural,,fixed,15.0,,60,Discovery,574,574,1.0,0.4651567944250871,-2.1807491289198606,-0.17443393536555266,0.4372822299651568,0.4965156794425087,0.06620209059233449,15.25
at_open_wstop,structural,,fixed,15.0,,60,Validation,485,485,1.0,0.6247422680412371,-1.331443298969072,-0.10252168684945612,0.6206185567010309,0.3752577319587629,0.004123711340206186,29.75
at_open_wstop,structural,,fixed,15.0,,60,OOS,208,208,1.0,0.6538461538461539,-6.268028846153846,-0.17150553772086732,0.6538461538461539,0.34615384615384615,0.0,54.25
at_open_wstop,structural,,fixed,20.0,,15,Discovery,574,574,1.0,0.4355400696864111,-1.4294425087108014,-0.14885244954862634,0.3083623693379791,0.44947735191637633,0.2421602787456446,15.25
at_open_wstop,structural,,fixed,20.0,,15,Validation,485,485,1.0,0.5587628865979382,-0.8293814432989691,-0.08126329917645021,0.5402061855670103,0.3958762886597938,0.06391752577319587,29.75
at_open_wstop,structural,,fixed,20.0,,15,OOS,208,208,1.0,0.6153846153846154,-4.647836538461538,-0.13981186926377387,0.6153846153846154,0.34615384615384615,0.038461538461538464,54.25
at_open_wstop,structural,,fixed,20.0,,30,Discovery,574,574,1.0,0.45121951219512196,-1.0631533101045296,-0.12280152585448065,0.367595818815331,0.4878048780487805,0.1445993031358885,15.25
at_open_wstop,structural,,fixed,20.0,,30,Validation,485,485,1.0,0.5752577319587628,-0.40670103092783505,-0.07587292068740577,0.5670103092783505,0.40824742268041236,0.024742268041237112,29.75
at_open_wstop,structural,,fixed,20.0,,30,OOS,208,208,1.0,0.625,-5.3641826923076925,-0.14607933414150526,0.6153846153846154,0.36538461538461536,0.019230769230769232,54.25
at_open_wstop,structural,,fixed,20.0,,60,Discovery,574,574,1.0,0.4372822299651568,-1.127177700348432,-0.1402138646054721,0.39372822299651566,0.5226480836236934,0.08362369337979095,15.25
at_open_wstop,structural,,fixed,20.0,,60,Validation,485,485,1.0,0.5835051546391753,-0.41494845360824745,-0.07315334653189846,0.5793814432989691,0.41649484536082476,0.004123711340206186,29.75
at_open_wstop,structural,,fixed,20.0,,60,OOS,208,208,1.0,0.625,-5.409855769230769,-0.15010978949258352,0.625,0.375,0.0,54.25
at_open_wstop,structural,,fixed,25.0,,15,Discovery,574,574,1.0,0.4163763066202091,-1.1097560975609757,-0.1379223246141003,0.2578397212543554,0.4651567944250871,0.2770034843205575,15.25
at_open_wstop,structural,,fixed,25.0,,15,Validation,485,485,1.0,0.5257731958762887,0.04742268041237113,-0.059607845450869903,0.488659793814433,0.41237113402061853,0.09896907216494845,29.75
at_open_wstop,structural,,fixed,25.0,,15,OOS,208,208,1.0,0.5673076923076923,-3.782451923076923,-0.14545764698071958,0.5673076923076923,0.375,0.057692307692307696,54.25
