session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r
2010-06-07,2010,IS,short,1070.75,1060.5,10.25,659,660,1059.0,1070.75,1047.25,11.75,955,1051.25,time,7.75,0.5,7.25,0.6170212765957447
2010-06-14,2010,IS,long,1097.5,1091.5,6.0,664,665,1098.0,1091.5,1104.5,6.5,839,1091.5,stop,-6.5,0.5,-7.0,-1.0769230769230769
2010-06-21,2010,IS,short,1127.5,1121.5,6.0,659,660,1120.75,1127.5,1114.0,6.75,894,1114.0,target,6.75,0.5,6.25,0.9259259259259259
2010-06-28,2010,IS,long,1076.5,1066.5,10.0,689,690,1076.75,1066.5,1087.0,10.25,955,1071.0,time,-5.75,0.5,-6.25,-0.6097560975609756
2010-07-06,2010,IS,short,1038.5,1028.75,9.75,764,765,1027.5,1038.5,1016.5,11.0,853,1016.5,target,11.0,0.5,10.5,0.9545454545454546
2010-07-12,2010,IS,short,1077.25,1069.5,7.75,664,665,1068.5,1077.25,1059.75,8.75,955,1074.25,time,-5.75,0.5,-6.25,-0.7142857142857143
2010-07-19,2010,IS,short,1069.25,1059.0,10.25,649,650,1058.75,1069.25,1048.25,10.5,893,1069.25,stop,-10.5,0.5,-11.0,-1.0476190476190477
2010-07-26,2010,IS,long,1107.5,1097.75,9.75,679,680,1108.25,1097.75,1118.75,10.5,955,1110.25,time,2.0,0.5,1.5,0.14285714285714285
2010-08-02,2010,IS,long,1119.0,1110.25,8.75,654,655,1119.25,1110.25,1128.25,9.0,955,1123.25,time,4.0,0.5,3.5,0.3888888888888889
2010-08-09,2010,IS,long,1124.25,1118.0,6.25,874,875,1125.25,1118.0,1132.5,7.25,955,1125.0,time,-0.25,0.5,-0.75,-0.10344827586206896
2010-08-16,2010,IS,long,1078.75,1066.25,12.5,639,640,1079.0,1066.25,1091.75,12.75,955,1077.0,time,-2.0,0.5,-2.5,-0.19607843137254902
2010-08-23,2010,IS,short,1080.25,1072.25,8.0,644,645,1071.5,1080.25,1062.75,8.75,955,1066.25,time,5.25,0.5,4.75,0.5428571428571428
2010-08-30,2010,IS,short,1063.5,1057.75,5.75,699,700,1057.25,1063.5,1051.0,6.25,918,1051.0,target,6.25,0.5,5.75,0.92
2010-09-07,2010,IS,short,1099.5,1091.75,7.75,899,900,1091.5,1099.5,1083.5,8.0,955,1090.5,time,1.0,0.5,0.5,0.0625
2010-09-13,2010,IS,long,1117.75,1113.75,4.0,639,640,1118.0,1113.75,1122.25,4.25,735,1113.75,stop,-4.25,0.5,-4.75,-1.1176470588235294
2010-09-20,2010,IS,long,1131.5,1121.25,10.25,654,655,1132.0,1121.25,1142.75,10.75,955,1139.5,time,7.5,0.5,7.0,0.6511627906976745
2010-09-27,2010,IS,short,1144.25,1139.25,5.0,704,705,1139.25,1144.25,1134.25,5.0,869,1144.25,stop,-5.0,0.5,-5.5,-1.1
2010-10-04,2010,IS,short,1144.0,1137.0,7.0,649,650,1136.75,1144.0,1129.5,7.25,719,1129.5,target,7.25,0.5,6.75,0.9310344827586207
2010-10-18,2010,IS,long,1178.25,1170.5,7.75,874,875,1178.5,1170.5,1186.5,8.0,955,1180.75,time,2.25,0.5,1.75,0.21875
2010-10-25,2010,IS,short,1193.0,1186.0,7.0,664,665,1185.25,1193.0,1177.5,7.75,955,1183.5,time,1.75,0.5,1.25,0.16129032258064516
2010-11-01,2010,IS,short,1192.75,1185.75,7.0,684,685,1185.25,1192.75,1177.75,7.5,905,1177.75,target,7.5,0.5,7.0,0.9333333333333333
2010-11-08,2010,IS,long,1220.0,1215.25,4.75,794,795,1220.25,1215.25,1225.25,5.0,955,1219.0,time,-1.25,0.5,-1.75,-0.35
2010-11-15,2010,IS,long,1203.5,1197.25,6.25,704,705,1204.25,1197.25,1211.25,7.0,916,1197.25,stop,-7.0,0.5,-7.5,-1.0714285714285714
2010-11-22,2010,IS,short,1197.5,1190.5,7.0,634,635,1190.0,1197.5,1182.5,7.5,769,1182.5,target,7.5,0.5,7.0,0.9333333333333333
2010-11-29,2010,IS,long,1182.5,1172.25,10.25,879,880,1183.5,1172.25,1194.75,11.25,955,1187.75,time,4.25,0.5,3.75,0.3333333333333333
2010-12-06,2010,IS,long,1223.75,1220.0,3.75,874,875,1224.0,1220.0,1228.0,4.0,955,1223.0,time,-1.0,0.5,-1.5,-0.375
2010-12-13,2010,IS,long,1240.5,1236.5,4.0,649,650,1241.0,1236.5,1245.5,4.5,946,1236.5,stop,-4.5,0.5,-5.0,-1.1111111111111112
2010-12-20,2010,IS,short,1243.5,1237.5,6.0,659,660,1237.25,1243.5,1231.0,6.25,844,1243.5,stop,-6.25,0.5,-6.75,-1.08
2010-12-27,2010,IS,long,1251.0,1247.0,4.0,734,735,1251.0,1247.0,1255.0,4.0,955,1253.75,time,2.75,0.5,2.25,0.5625
2011-01-03,2011,IS,long,1269.25,1262.75,6.5,649,650,1269.5,1262.75,1276.25,6.75,955,1267.75,time,-1.75,0.5,-2.25,-0.3333333333333333
2011-01-10,2011,IS,long,1264.25,1258.0,6.25,724,725,1264.75,1258.0,1271.5,6.75,955,1266.75,time,2.0,0.5,1.5,0.2222222222222222
2011-01-18,2011,IS,long,1291.0,1286.5,4.5,859,860,1291.25,1286.5,1296.0,4.75,955,1291.0,time,-0.25,0.5,-0.75,-0.15789473684210525
2011-01-24,2011,IS,long,1283.0,1278.75,4.25,644,645,1283.5,1278.75,1288.25,4.75,856,1288.25,target,4.75,0.5,4.25,0.8947368421052632
2011-01-31,2011,IS,long,1278.0,1273.25,4.75,659,660,1278.25,1273.25,1283.25,5.0,748,1283.25,target,5.0,0.5,4.5,0.9
2011-02-07,2011,IS,long,1317.75,1310.0,7.75,639,640,1318.25,1310.0,1326.5,8.25,955,1316.0,time,-2.25,0.5,-2.75,-0.3333333333333333
2011-02-14,2011,IS,short,1328.75,1325.25,3.5,649,650,1325.25,1328.75,1321.75,3.5,741,1328.75,stop,-3.5,0.5,-4.0,-1.1428571428571428
2011-02-22,2011,IS,short,1334.5,1323.25,11.25,729,730,1322.75,1334.5,1311.0,11.75,922,1311.0,target,11.75,0.5,11.25,0.9574468085106383
2011-02-28,2011,IS,short,1329.0,1322.75,6.25,779,780,1322.25,1329.0,1315.5,6.75,955,1325.75,time,-3.5,0.5,-4.0,-0.5925925925925926
2011-03-07,2011,IS,short,1327.25,1320.5,6.75,639,640,1319.0,1327.25,1310.75,8.25,693,1310.75,target,8.25,0.5,7.75,0.9393939393939394
2011-03-14,2011,IS,short,1295.25,1289.75,5.5,634,635,1287.5,1295.25,1279.75,7.75,955,1291.5,time,-4.0,0.5,-4.5,-0.5806451612903226
2011-03-15,2011,IS,long,1268.25,1255.25,13.0,644,645,1268.5,1255.25,1281.75,13.25,922,1281.75,target,13.25,0.5,12.75,0.9622641509433962
2011-03-22,2011,IS,short,1294.75,1290.0,4.75,659,660,1288.75,1294.75,1282.75,6.0,955,1288.5,time,0.25,0.5,-0.25,-0.041666666666666664
2011-03-25,2011,IS,long,1309.25,1305.25,4.0,634,635,1310.5,1305.25,1315.75,5.25,955,1309.0,time,-1.5,0.5,-2.0,-0.38095238095238093
2011-03-28,2011,IS,short,1315.0,1310.5,4.5,704,705,1310.25,1315.0,1305.5,4.75,955,1306.25,time,4.0,0.5,3.5,0.7368421052631579
2011-04-04,2011,IS,short,1332.75,1327.5,5.25,774,775,1327.25,1332.75,1321.75,5.5,955,1327.25,time,-0.0,0.5,-0.5,-0.09090909090909091
2011-04-11,2011,IS,short,1330.25,1325.0,5.25,739,740,1324.25,1330.25,1318.25,6.0,902,1318.25,target,6.0,0.5,5.5,0.9166666666666666
2011-04-14,2011,IS,long,1306.75,1298.25,8.5,639,640,1307.25,1298.25,1316.25,9.0,955,1311.5,time,4.25,0.5,3.75,0.4166666666666667
2011-04-15,2011,IS,long,1316.5,1309.5,7.0,734,735,1318.0,1309.5,1326.5,8.5,955,1315.25,time,-2.75,0.5,-3.25,-0.38235294117647056
2011-04-18,2011,IS,short,1301.75,1291.25,10.5,664,665,1290.75,1301.75,1279.75,11.0,896,1301.75,stop,-11.0,0.5,-11.5,-1.0454545454545454
2011-04-19,2011,IS,short,1306.25,1301.5,4.75,674,675,1301.25,1306.25,1296.25,5.0,821,1306.25,stop,-5.0,0.5,-5.5,-1.1
2011-04-25,2011,IS,short,1334.0,1328.25,5.75,669,670,1327.75,1334.0,1321.5,6.25,955,1331.0,time,-3.25,0.5,-3.75,-0.6
2011-05-02,2011,IS,long,1366.5,1361.75,4.75,634,635,1366.75,1361.75,1371.75,5.0,709,1361.75,stop,-5.0,0.5,-5.5,-1.1
2011-05-05,2011,IS,long,1340.25,1332.75,7.5,709,710,1341.75,1332.75,1350.75,9.0,910,1332.75,stop,-9.0,0.5,-9.5,-1.0555555555555556
2011-05-06,2011,IS,long,1349.75,1343.0,6.75,679,680,1350.75,1343.0,1358.5,7.75,738,1343.0,stop,-7.75,0.5,-8.25,-1.064516129032258
2011-05-09,2011,IS,long,1340.0,1335.25,4.75,714,715,1340.5,1335.25,1345.75,5.25,737,1345.75,target,5.25,0.5,4.75,0.9047619047619048
2011-05-16,2011,IS,long,1337.25,1328.0,9.25,644,645,1337.5,1328.0,1347.0,9.5,940,1328.0,stop,-9.5,0.5,-10.0,-1.0526315789473684
2011-05-24,2011,IS,short,1322.5,1318.0,4.5,639,640,1316.75,1322.5,1311.0,5.75,955,1314.75,time,2.0,0.5,1.5,0.2608695652173913
2011-05-25,2011,IS,long,1315.0,1308.75,6.25,639,640,1316.5,1308.75,1324.25,7.75,911,1324.25,target,7.75,0.5,7.25,0.9354838709677419
