year,split,trades,net_points,avg_net_points,win_rate,net_dollars_1_contract
2010,IS,29,10.25,0.35344827586206895,0.5517241379310345,512.5
2011,IS,63,23.25,0.36904761904761907,0.49206349206349204,1162.5
2012,IS,96,-61.25,-0.6380208333333334,0.40625,-3062.5
2013,IS,191,-111.25,-0.5824607329842932,0.4607329842931937,-5562.5
2014,IS,188,-123.0,-0.6542553191489362,0.44148936170212766,-6150.0
2015,IS,212,-179.0,-0.8443396226415094,0.49528301886792453,-8950.0
2016,IS,240,-185.25,-0.771875,0.48333333333333334,-9262.5
2017,IS,223,-32.75,-0.1468609865470852,0.4663677130044843,-1637.5
2018,IS,240,107.75,0.44895833333333335,0.5,5387.5
2019,IS,232,-318.25,-1.3717672413793103,0.4224137931034483,-15912.5
2020,IS,237,-160.0,-0.6751054852320675,0.4810126582278481,-8000.0
2021,IS,236,106.0,0.4491525423728814,0.538135593220339,5300.0
2022,Validation,238,221.5,0.930672268907563,0.5462184873949579,11075.0
2023,Validation,236,-70.0,-0.2966101694915254,0.5169491525423728,-3500.0
2024,Validation,241,-41.75,-0.17323651452282157,0.4730290456431535,-2087.5
2025,OOS,235,65.25,0.2776595744680851,0.5276595744680851,3262.5
2026,OOS,154,197.0,1.2792207792207793,0.487012987012987,9850.0
