session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r
2010-06-07,2010,IS,short,1845.5,1826.25,19.25,654,655,1821.5,1845.5,1797.5,24.0,930,1797.5,target,24.0,1.0,23.0,0.9583333333333334
2010-06-14,2010,IS,long,1873.0,1858.75,14.25,684,685,1874.5,1858.75,1890.25,15.75,838,1858.75,stop,-15.75,1.0,-16.75,-1.0634920634920635
2010-06-21,2010,IS,short,1938.75,1925.75,13.0,649,650,1925.25,1938.75,1911.75,13.5,819,1911.75,target,13.5,1.0,12.5,0.9259259259259259
2010-06-28,2010,IS,long,1843.25,1821.25,22.0,664,665,1844.75,1821.25,1868.25,23.5,955,1835.75,time,-9.0,1.0,-10.0,-0.425531914893617
2010-07-06,2010,IS,short,1762.5,1745.5,17.0,754,755,1744.0,1762.5,1725.5,18.5,834,1725.5,target,18.5,1.0,17.5,0.9459459459459459
2010-07-12,2010,IS,short,1829.75,1809.25,20.5,669,670,1808.75,1829.75,1787.75,21.0,955,1818.25,time,-9.5,1.0,-10.5,-0.5
2010-07-19,2010,IS,short,1818.25,1798.25,20.0,649,650,1797.0,1818.25,1775.75,21.25,907,1818.25,stop,-21.25,1.0,-22.25,-1.0470588235294118
2010-07-26,2010,IS,long,1881.25,1866.0,15.25,679,680,1883.0,1866.0,1900.0,17.0,955,1886.25,time,3.25,1.0,2.25,0.1323529411764706
2010-08-02,2010,IS,long,1898.5,1878.0,20.5,874,875,1899.0,1878.0,1920.0,21.0,955,1898.5,time,-0.5,1.0,-1.5,-0.07142857142857142
2010-08-09,2010,IS,long,1913.25,1901.75,11.5,874,875,1914.5,1901.75,1927.25,12.75,955,1914.25,time,-0.25,1.0,-1.25,-0.09803921568627451
2010-08-16,2010,IS,long,1826.25,1800.0,26.25,634,635,1827.25,1800.0,1854.5,27.25,955,1819.75,time,-7.5,1.0,-8.5,-0.3119266055045872
2010-08-23,2010,IS,short,1842.75,1819.5,23.25,644,645,1816.25,1842.75,1789.75,26.5,955,1809.0,time,7.25,1.0,6.25,0.2358490566037736
2010-08-30,2010,IS,short,1798.0,1782.25,15.75,819,820,1781.5,1798.0,1765.0,16.5,955,1775.25,time,6.25,1.0,5.25,0.3181818181818182
2010-09-07,2010,IS,short,1870.5,1855.75,14.75,909,910,1855.25,1870.5,1840.0,15.25,955,1854.25,time,1.0,1.0,0.0,0.0
2010-09-13,2010,IS,long,1917.75,1905.5,12.25,644,645,1919.25,1905.5,1933.0,13.75,955,1922.0,time,2.75,1.0,1.75,0.12727272727272726
2010-09-20,2010,IS,long,1980.0,1957.5,22.5,864,865,1980.25,1957.5,2003.0,22.75,955,1989.0,time,8.75,1.0,7.75,0.34065934065934067
2010-09-27,2010,IS,short,2021.25,2012.25,9.0,674,675,2012.0,2021.25,2002.75,9.25,835,2021.25,stop,-9.25,1.0,-10.25,-1.1081081081081081
2010-10-04,2010,IS,short,1996.0,1981.25,14.75,669,670,1980.25,1996.0,1964.5,15.75,720,1964.5,target,15.75,1.0,14.75,0.9365079365079365
2010-10-18,2010,IS,long,2100.75,2088.25,12.5,909,910,2101.25,2088.25,2114.25,13.0,955,2101.25,time,0.0,1.0,-1.0,-0.07692307692307693
2010-11-01,2010,IS,short,2146.5,2131.0,15.5,664,665,2130.75,2146.5,2115.0,15.75,915,2115.0,target,15.75,1.0,14.75,0.9365079365079365
2010-11-08,2010,IS,long,2187.5,2173.5,14.0,804,805,2188.0,2173.5,2202.5,14.5,955,2183.75,time,-4.25,1.0,-5.25,-0.3620689655172414
2010-11-15,2010,IS,short,2151.0,2129.75,21.25,924,925,2129.5,2151.0,2108.0,21.5,955,2127.25,time,2.25,1.0,1.25,0.05813953488372093
2010-11-29,2010,IS,long,2146.75,2117.75,29.0,919,920,2148.0,2117.75,2178.25,30.25,955,2144.75,time,-3.25,1.0,-4.25,-0.14049586776859505
2010-12-06,2010,IS,short,2193.0,2184.25,8.75,699,700,2183.0,2193.0,2173.0,10.0,942,2193.0,stop,-10.0,1.0,-11.0,-1.1
2010-12-13,2010,IS,long,2223.5,2215.25,8.25,659,660,2223.75,2215.25,2232.25,8.5,924,2215.25,stop,-8.5,1.0,-9.5,-1.1176470588235294
2010-12-20,2010,IS,long,2224.75,2205.5,19.25,844,845,2225.0,2205.5,2244.5,19.5,955,2223.25,time,-1.75,1.0,-2.75,-0.14102564102564102
2010-12-27,2010,IS,long,2225.0,2207.25,17.75,799,800,2227.25,2207.25,2247.25,20.0,955,2231.0,time,3.75,1.0,2.75,0.1375
2011-01-03,2011,IS,long,2264.5,2237.5,27.0,659,660,2265.0,2237.5,2292.5,27.5,955,2252.5,time,-12.5,1.0,-13.5,-0.4909090909090909
2011-01-10,2011,IS,long,2275.25,2263.25,12.0,719,720,2275.75,2263.25,2288.25,12.5,955,2284.75,time,9.0,1.0,8.0,0.64
2011-01-18,2011,IS,long,2319.0,2300.0,19.0,684,685,2320.25,2300.0,2340.5,20.25,955,2327.75,time,7.5,1.0,6.5,0.32098765432098764
2011-01-24,2011,IS,long,2279.25,2267.0,12.25,664,665,2281.25,2267.0,2295.5,14.25,725,2295.5,target,14.25,1.0,13.25,0.9298245614035088
