year,split,trades,net_points,avg_net_points,win_rate,net_dollars_1_contract
2010,IS,27,-5.0,-0.18518518518518517,0.4444444444444444,-100.0
2011,IS,60,-27.0,-0.45,0.4166666666666667,-540.0
2012,IS,94,-71.0,-0.7553191489361702,0.4148936170212766,-1420.0
2013,IS,185,-335.25,-1.8121621621621622,0.4486486486486487,-6705.0
2014,IS,186,-56.5,-0.30376344086021506,0.510752688172043,-1130.0
2015,IS,206,-595.5,-2.8907766990291264,0.46601941747572817,-11910.0
2016,IS,230,-672.0,-2.9217391304347826,0.4217391304347826,-13440.0
2017,IS,224,-52.5,-0.234375,0.46875,-1050.0
2018,IS,229,385.75,1.6844978165938864,0.5021834061135371,7715.0
2019,IS,218,-83.5,-0.3830275229357798,0.4954128440366973,-1670.0
2020,IS,235,354.0,1.5063829787234042,0.548936170212766,7080.0
2021,IS,224,2123.25,9.478794642857142,0.625,42465.0
2022,Validation,233,2179.0,9.351931330472103,0.5879828326180258,43580.0
2023,Validation,232,847.5,3.6530172413793105,0.5560344827586207,16950.0
2024,Validation,230,122.5,0.532608695652174,0.508695652173913,2450.0
2025,OOS,230,1483.25,6.448913043478261,0.5521739130434783,29665.0
2026,OOS,140,847.75,6.055357142857143,0.5214285714285715,16955.0
