period,direction,exc_q,rej_q,n,mfe60,mae60,net60
Inner,downside_failure_long,Q1,Q1,2,0.3641099796334012,0.7192219959266802,-0.35511201629327904
Inner,downside_failure_long,Q1,Q2,1,0.2645687645687645,0.0431235431235431,0.2214452214452214
Inner,downside_failure_long,Q1,Q3,2,0.25359953766950327,0.48213271468478897,-0.2285331770152857
Inner,downside_failure_long,Q1,Q4,3,0.33430096580318497,0.26616347260190376,0.06813749320128122
Inner,downside_failure_long,Q1,Q5,20,0.2860729468577733,0.37521956916296995,-0.08914662230519663
Inner,downside_failure_long,Q2,Q1,2,0.1574481865284974,1.386949481865285,-1.2295012953367876
Inner,downside_failure_long,Q2,Q2,4,0.1577038911707743,0.34761310155153935,-0.18990921038076508
Inner,downside_failure_long,Q2,Q3,4,0.08076365782865175,0.5901798980424656,-0.5094162402138137
Inner,downside_failure_long,Q2,Q4,12,0.3729035710594381,0.27482156890597914,0.09808200215345907
Inner,downside_failure_long,Q2,Q5,20,0.24781011465493546,0.8860870909809888,-0.6382769763260532
Inner,downside_failure_long,Q3,Q1,3,0.1315882921322695,0.784167104313107,-0.6525788121808372
Inner,downside_failure_long,Q3,Q2,8,0.24220312134909056,0.4396566080944713,-0.19745348674538069
Inner,downside_failure_long,Q3,Q3,11,0.19345009368755697,0.3601546267666722,-0.16670453307911523
Inner,downside_failure_long,Q3,Q4,15,0.35784266669118153,0.29650616317095113,0.06133650352023046
Inner,downside_failure_long,Q3,Q5,10,0.35832112298201674,0.2573140306435252,0.10100709233849155
Inner,downside_failure_long,Q4,Q1,3,0.22467108899944718,0.2548009950248756,-0.030129906025428366
Inner,downside_failure_long,Q4,Q2,13,0.38989399650505335,0.2875398319566722,0.10235416454838112
Inner,downside_failure_long,Q4,Q3,14,0.36945791628273517,0.48071619832380785,-0.11125828204107267
Inner,downside_failure_long,Q4,Q4,8,0.595913905585107,0.3726824716774858,0.22323143390762118
Inner,downside_failure_long,Q4,Q5,3,0.3850180686080324,0.4347945376262519,-0.04977646901821958
Inner,downside_failure_long,Q5,Q1,22,0.3632754119730885,0.45655610249597295,-0.09328069052288444
Inner,downside_failure_long,Q5,Q2,22,0.30009039825568995,0.5123712625185172,-0.21228086426282733
Inner,downside_failure_long,Q5,Q3,12,0.2882314104715759,0.299833711250929,-0.011602300779353184
Inner,downside_failure_long,Q5,Q4,1,0.1070110701107011,0.988929889298893,-0.8819188191881919
Inner,upside_failure_short,Q1,Q1,3,0.20369235043632902,0.2836301798166205,-0.07993782938029147
Inner,upside_failure_short,Q1,Q2,6,0.1457903102359688,0.17294693198420408,-0.02715662174823527
Inner,upside_failure_short,Q1,Q3,8,0.12805639099539698,0.2448764150830611,-0.11682002408766415
Inner,upside_failure_short,Q1,Q4,16,0.2665047492483163,0.204586135003793,0.06191861424452333
Inner,upside_failure_short,Q1,Q5,42,0.21955134283494787,0.35575752734534277,-0.1362061845103949
Inner,upside_failure_short,Q2,Q1,12,0.20138490311150747,0.19059119562373006,0.010793707487777379
Inner,upside_failure_short,Q2,Q2,13,0.24190383829421241,0.3445582975647755,-0.10265445927056309
Inner,upside_failure_short,Q2,Q3,17,0.31485018127730674,0.3212930134382573,-0.006442832160950579
Inner,upside_failure_short,Q2,Q4,14,0.22192196021747293,0.2683209355573613,-0.04639897533988839
Inner,upside_failure_short,Q2,Q5,19,0.3205036670199582,0.34959216719155,-0.02908850017159176
Inner,upside_failure_short,Q3,Q1,13,0.24836689860763278,0.26795792740561086,-0.019591028797978086
Inner,upside_failure_short,Q3,Q2,11,0.3174441059119822,0.29439473975788244,0.023049366154099707
Inner,upside_failure_short,Q3,Q3,10,0.26612299782969684,0.31634244560872143,-0.05021944777902456
Inner,upside_failure_short,Q3,Q4,15,0.2443552488250538,0.270731886603903,-0.026376637778849205
Inner,upside_failure_short,Q3,Q5,3,0.11269064729707794,0.8031014477385812,-0.6904108004415033
Inner,upside_failure_short,Q4,Q1,9,0.2775868928560465,0.26424253855677754,0.013344354299268897
Inner,upside_failure_short,Q4,Q2,8,0.3997823614212128,0.30548586127856003,0.09429650014265274
Inner,upside_failure_short,Q4,Q3,8,0.256258370725561,0.27179063457035324,-0.015532263844792192
Inner,upside_failure_short,Q4,Q4,4,0.7719703362450332,0.18062835895568446,0.5913419772893487
Inner,upside_failure_short,Q4,Q5,3,0.6488065893373274,0.28232596980707964,0.36648061953024774
Inner,upside_failure_short,Q5,Q1,11,0.3188307438014161,0.506376984720566,-0.18754624091915
Inner,upside_failure_short,Q5,Q2,13,0.40071324457298935,0.28558183927762854,0.11513140529536077
Inner,upside_failure_short,Q5,Q3,16,0.41949730376279837,0.4060318610185216,0.01346544274427685
Inner,upside_failure_short,Q5,Q4,8,0.4657360066803986,0.37963596914551145,0.08610003753488711
Inner,upside_failure_short,Q5,Q5,1,1.737410071942446,0.1223021582733813,1.615107913669065
OOS,downside_failure_long,Q1,Q3,1,0.2599765258215962,0.0416666666666666,0.2183098591549296
OOS,downside_failure_long,Q1,Q4,3,0.3526227429325817,0.2889195180233017,0.06370322490927997
OOS,downside_failure_long,Q1,Q5,13,0.1756872828214308,0.44723904861284036,-0.27155176579140955
OOS,downside_failure_long,Q2,Q1,3,0.48207446758848627,0.39100592748373125,0.09106854010475503
OOS,downside_failure_long,Q2,Q2,4,0.13969495226122902,0.18491721725001026,-0.04522226498878122
OOS,downside_failure_long,Q2,Q3,4,0.3791957596227089,0.3319003257441201,0.04729543387858881
OOS,downside_failure_long,Q2,Q4,5,0.4697537533401325,0.14712683109460173,0.3226269222455307
OOS,downside_failure_long,Q2,Q5,7,0.25408921595845674,0.4094877404577057,-0.1553985244992489
OOS,downside_failure_long,Q3,Q1,3,0.34707376287716696,0.3958779908326537,-0.04880422795548676
OOS,downside_failure_long,Q3,Q2,5,0.10943444759052548,0.5971461603595841,-0.4877117127690586
OOS,downside_failure_long,Q3,Q3,4,0.33582853874809004,0.4041600585380937,-0.06833151979000363
OOS,downside_failure_long,Q3,Q4,6,0.2337819487045281,0.3779010577812513,-0.14411910907672315
OOS,downside_failure_long,Q3,Q5,7,0.3971568389133001,0.37349230753842083,0.02366453137487929
OOS,downside_failure_long,Q4,Q1,7,0.2722701807081802,0.36691716196474394,-0.09464698125656379
OOS,downside_failure_long,Q4,Q2,1,0.5061425061425061,0.0442260442260442,0.4619164619164619
OOS,downside_failure_long,Q4,Q3,11,0.28334573572921445,0.39915357217646863,-0.11580783644725418
OOS,downside_failure_long,Q4,Q4,5,0.34354185921232067,0.4238034143225883,-0.08026155511026752
OOS,downside_failure_long,Q4,Q5,3,0.8337133433780569,0.37025321070180506,0.4634601326762518
OOS,downside_failure_long,Q5,Q1,4,0.4089977301001469,0.4859290240114331,-0.07693129391128628
OOS,downside_failure_long,Q5,Q2,11,0.3202179343910822,0.27647938960653545,0.04373854478454677
OOS,downside_failure_long,Q5,Q3,5,0.2825472895506881,0.44293353900496363,-0.16038624945427551
OOS,downside_failure_long,Q5,Q4,3,0.6552065774687456,0.33829068011577274,0.3169158973529729
OOS,downside_failure_long,Q5,Q5,1,0.1712962962962963,1.023148148148148,-0.8518518518518519
OOS,upside_failure_short,Q1,Q1,3,0.1646618471204456,0.3658080769279856,-0.20114622980754002
OOS,upside_failure_short,Q1,Q2,4,0.2491093699195595,0.17057012973264646,0.07853924018691305
OOS,upside_failure_short,Q1,Q3,7,0.14157547684779953,0.23354061928155465,-0.09196514243375516
OOS,upside_failure_short,Q1,Q4,18,0.20790454888751686,0.22797227017518726,-0.020067721287670412
OOS,upside_failure_short,Q1,Q5,29,0.24689420734672063,0.2653649980945287,-0.018470790747808146
OOS,upside_failure_short,Q2,Q1,3,0.09578458357380293,0.158807109023229,-0.06302252544942603
OOS,upside_failure_short,Q2,Q2,6,0.31775109671884,0.19242625828990342,0.12532483842893657
OOS,upside_failure_short,Q2,Q3,9,0.4012556893438788,0.1502354262716471,0.25102026307223163
OOS,upside_failure_short,Q2,Q4,10,0.2607703184670905,0.2474516618000718,0.01331865666701863
OOS,upside_failure_short,Q2,Q5,11,0.2571898001427721,0.5171728060595969,-0.25998300591682494
OOS,upside_failure_short,Q3,Q1,3,0.3271117370508528,0.28965957156511807,0.037452165485734726
OOS,upside_failure_short,Q3,Q2,3,0.28924744061071245,0.24298327530083738,0.04626416530987504
OOS,upside_failure_short,Q3,Q3,4,0.15484874769415402,1.2142352194344948,-1.0593864717403407
OOS,upside_failure_short,Q3,Q4,6,0.19610872198770102,0.33089119735019756,-0.13478247536249652
OOS,upside_failure_short,Q3,Q5,9,0.5973131500754776,0.2644310562424029,0.3328820938330746
OOS,upside_failure_short,Q4,Q1,4,0.3080318474733069,0.2465265884314612,0.061505259041845735
OOS,upside_failure_short,Q4,Q2,6,0.3275780098751804,0.4245734247483213,-0.09699541487314088
OOS,upside_failure_short,Q4,Q3,6,0.24405402063645062,0.46018001723850216,-0.21612599660205145
OOS,upside_failure_short,Q4,Q4,8,0.3229331997976014,0.25743952152559374,0.06549367827200761
OOS,upside_failure_short,Q4,Q5,1,0.3852691218130311,0.6189801699716714,-0.2337110481586402
OOS,upside_failure_short,Q5,Q1,3,0.2967985630382614,0.36763181722382177,-0.07083325418556036
OOS,upside_failure_short,Q5,Q2,3,0.40597333420271414,0.15031729250533327,0.25565604169738093
OOS,upside_failure_short,Q5,Q3,4,0.36703405194100963,0.6088646425674874,-0.24183059062647766
OOS,upside_failure_short,Q5,Q4,3,1.0110120907144136,0.19728966366190512,0.8137224270525083
Train,downside_failure_long,Q1,Q1,10,0.1888477013192251,0.2899392758492677,-0.1010915745300427
Train,downside_failure_long,Q1,Q2,2,0.0923791950981757,0.2808104720790976,-0.1884312769809219
Train,downside_failure_long,Q1,Q3,7,0.18493073909972288,0.21134844265948033,-0.02641770355975746
Train,downside_failure_long,Q1,Q4,14,0.24921441578552206,0.3654463845195949,-0.11623196873407285
Train,downside_failure_long,Q1,Q5,36,0.22927176430190815,0.3888331728750348,-0.15956140857312662
Train,downside_failure_long,Q2,Q1,13,0.22320564707903456,0.47265339261792483,-0.24944774553889026
Train,downside_failure_long,Q2,Q2,8,0.2817577053518581,0.44009315139961824,-0.15833544604776015
Train,downside_failure_long,Q2,Q3,17,0.2257719085025953,0.49835524898607403,-0.2725833404834787
Train,downside_failure_long,Q2,Q4,26,0.31451662112066825,0.3105237107650201,0.0039929103556480975
Train,downside_failure_long,Q2,Q5,24,0.2389584547384873,0.5593518705831291,-0.32039341584464176
Train,downside_failure_long,Q3,Q1,11,0.232815656893729,0.37190371918767706,-0.139088062293948
Train,downside_failure_long,Q3,Q2,15,0.2476096102457257,0.4633475116530755,-0.21573790140734986
Train,downside_failure_long,Q3,Q3,16,0.29906917245612574,0.370812028456471,-0.07174285600034522
Train,downside_failure_long,Q3,Q4,28,0.30375346788922325,0.396964316149082,-0.09321084825985879
Train,downside_failure_long,Q3,Q5,15,0.4079972472027282,0.2866425727868263,0.12135467441590189
Train,downside_failure_long,Q4,Q1,25,0.34104993947829854,0.26553521785600187,0.07551472162229665
Train,downside_failure_long,Q4,Q2,22,0.30523287801872906,0.3731089647828393,-0.06787608676411026
Train,downside_failure_long,Q4,Q3,30,0.3879994877242385,0.4245825581115151,-0.03658307038727659
Train,downside_failure_long,Q4,Q4,22,0.41797832912497507,0.3682778491212561,0.04970048000371894
Train,downside_failure_long,Q4,Q5,6,0.4986153654186441,0.29271003758708675,0.20590532783155732
Train,downside_failure_long,Q5,Q1,41,0.40673009750783834,0.36564553543924005,0.041084562068598174
Train,downside_failure_long,Q5,Q2,46,0.3508807334530349,0.36052307860509303,-0.009642345152058151
Train,downside_failure_long,Q5,Q3,21,0.5132922437095155,0.4774404323386862,0.03585181137082932
Train,downside_failure_long,Q5,Q4,13,0.6459317588227876,0.6097829537793006,0.03614880504348717
Train,upside_failure_short,Q1,Q1,17,0.2331378029793253,0.26900950286573455,-0.03587169988640926
Train,upside_failure_short,Q1,Q2,9,0.13304471218904146,0.4296150263859815,-0.29657031419694
Train,upside_failure_short,Q1,Q3,13,0.14157771824444196,0.31242058966901926,-0.17084287142457733
Train,upside_failure_short,Q1,Q4,28,0.19007753857613302,0.26699294006286795,-0.0769154014867349
Train,upside_failure_short,Q1,Q5,67,0.1991444329389157,0.3392205748597668,-0.14007614192085113
Train,upside_failure_short,Q2,Q1,16,0.20644656115785745,0.2214272476005879,-0.01498068644273043
Train,upside_failure_short,Q2,Q2,18,0.2666479593830087,0.2197026756172211,0.04694528376578763
Train,upside_failure_short,Q2,Q3,21,0.38060363052905394,0.3289470362806121,0.051656594248441934
Train,upside_failure_short,Q2,Q4,26,0.21882945527075034,0.3518086889029356,-0.13297923363218522
Train,upside_failure_short,Q2,Q5,33,0.27681332593905217,0.30478224636516804,-0.027968920426115918
Train,upside_failure_short,Q3,Q1,18,0.4401751524655702,0.21838526672429456,0.22178988574127567
Train,upside_failure_short,Q3,Q2,30,0.30897995176152737,0.21916063254300616,0.08981931921852122
Train,upside_failure_short,Q3,Q3,34,0.23447849664842385,0.334541265548409,-0.10006276889998512
Train,upside_failure_short,Q3,Q4,23,0.3219405405979394,0.37280374354494983,-0.05086320294701046
Train,upside_failure_short,Q3,Q5,13,0.32017988029461747,0.3439203605099838,-0.02374048021536632
Train,upside_failure_short,Q4,Q1,26,0.29247108704989117,0.35225046676087207,-0.05977937971098091
Train,upside_failure_short,Q4,Q2,24,0.39864991839813363,0.2969596776390677,0.10169024075906587
Train,upside_failure_short,Q4,Q3,26,0.3968473485798472,0.2543812376211832,0.142466110958664
Train,upside_failure_short,Q4,Q4,17,0.4333166201801862,0.2789917982091297,0.15432482197105651
Train,upside_failure_short,Q4,Q5,4,0.8842705330149184,0.12090226478752406,0.7633682682273943
Train,upside_failure_short,Q5,Q1,26,0.37011955313014455,0.32267618809676046,0.047443365033384075
Train,upside_failure_short,Q5,Q2,28,0.44345286419977975,0.29694711135573576,0.1465057528440439
