period,direction,horizon_min,n,mfe,mae,net
Inner,downside_failure_long,5,215,0.08420357849892164,0.12174056215507821,-0.037536983656156556
Inner,downside_failure_long,10,215,0.12590044831044506,0.17315641456701997,-0.04725596625657492
Inner,downside_failure_long,15,215,0.1518571261780296,0.21637878315685635,-0.06452165697882674
Inner,downside_failure_long,30,215,0.21799868100424546,0.2895301488647685,-0.07153146786052304
Inner,downside_failure_long,60,215,0.31317488733663645,0.44914977496795283,-0.13597488763131638
Inner,upside_failure_short,5,283,0.09615680024474405,0.09300134395499722,0.0031554562897468234
Inner,upside_failure_short,10,283,0.13549239877742794,0.13467408539860723,0.0008183133788207025
Inner,upside_failure_short,15,283,0.16546911078195395,0.16389690822637842,0.0015722025555755198
Inner,upside_failure_short,30,283,0.21739045577576996,0.23085235714106414,-0.013461901365294163
Inner,upside_failure_short,60,283,0.29386452725530166,0.31289701187488,-0.019032484619578387
OOS,downside_failure_long,5,116,0.1083943477263224,0.12542190475525522,-0.017027557028932844
OOS,downside_failure_long,10,116,0.14159130421667226,0.17961354708630958,-0.03802224286963731
OOS,downside_failure_long,15,116,0.1653929263351837,0.21035414919239082,-0.0449612228572071
OOS,downside_failure_long,30,116,0.23716248688377792,0.28350488907653104,-0.04634240219275311
OOS,downside_failure_long,60,116,0.3174239919972512,0.37678893184990986,-0.059364939852658664
OOS,upside_failure_short,5,163,0.11703263818488428,0.08162610151950862,0.03540653666537565
OOS,upside_failure_short,10,163,0.1577766670511539,0.1289690159055378,0.028807651145616064
OOS,upside_failure_short,15,163,0.1842575851703968,0.16716440051425244,0.017093184656144393
OOS,upside_failure_short,30,163,0.24154371390019244,0.23943165739043484,0.0021120565097575844
OOS,upside_failure_short,60,163,0.2937834567149019,0.31125450575076896,-0.017471049035867086
Train,downside_failure_long,5,468,0.09159149641546098,0.1132650351134614,-0.02167353869800041
Train,downside_failure_long,10,468,0.12866698499989815,0.16477078599858241,-0.03610380099868426
Train,downside_failure_long,15,468,0.16143162245176254,0.20321242115880003,-0.04178079870703749
Train,downside_failure_long,30,468,0.23349649650096374,0.28985146605769335,-0.05635496955672961
Train,downside_failure_long,60,468,0.3306909765183104,0.39113334440877573,-0.06044236789046528
Train,upside_failure_short,5,545,0.08717985081789514,0.091670832879586,-0.004490982061690843
Train,upside_failure_short,10,545,0.124386197764365,0.12789948747073052,-0.0035132897063655127
Train,upside_failure_short,15,545,0.1521347815153487,0.15614520583566727,-0.004010424320318549
Train,upside_failure_short,30,545,0.22063445532158515,0.216538730144698,0.00409572517688718
Train,upside_failure_short,60,545,0.3084800662780435,0.3027230411193445,0.0057570251586989765
Validation,downside_failure_long,5,257,0.0924718515604894,0.10458156911797459,-0.01210971755748518
Validation,downside_failure_long,10,257,0.13039498644754818,0.14305667941903444,-0.012661692971486239
Validation,downside_failure_long,15,257,0.1602675147759375,0.1783423577512006,-0.018074842975263083
Validation,downside_failure_long,30,257,0.22661108702346755,0.2492154701255469,-0.02260438310207937
Validation,downside_failure_long,60,257,0.3006276021226011,0.35280473871709833,-0.052177136594497256
Validation,upside_failure_short,5,271,0.10658706303132762,0.09913690268631319,0.007450160345014418
Validation,upside_failure_short,10,271,0.14825373878440073,0.1397503372375315,0.008503401546869247
Validation,upside_failure_short,15,271,0.17477756957454238,0.17118809378380326,0.0035894757907391026
Validation,upside_failure_short,30,271,0.23159526429341926,0.24169061297106598,-0.010095348677646727
Validation,upside_failure_short,60,271,0.3184259438486159,0.3238360319981874,-0.005410088149571452
