period,direction,feature,n,spearman_r,p
Inner,downside_failure_long,excursion_ib,215,0.1043397622978402,0.12721710568557204
Inner,downside_failure_long,outside_5m,215,0.1565150716119931,0.021690187658192025
Inner,downside_failure_long,reentry_depth_ib,215,0.03836405766668492,0.5758517587361379
Inner,downside_failure_long,rejection_minutes,215,0.1918713446643436,0.004753731990417542
Inner,downside_failure_long,relvol,215,0.1085512811224613,0.11249254252520109
Inner,downside_failure_long,reentry_end,215,0.05423898767599586,0.42880040757328
Inner,upside_failure_short,excursion_ib,283,0.08319140676136329,0.1627980918898451
Inner,upside_failure_short,outside_5m,283,0.09581437461048237,0.10774414647426361
Inner,upside_failure_short,reentry_depth_ib,283,0.023193733132840896,0.6976428452711605
Inner,upside_failure_short,rejection_minutes,283,0.08687487524123091,0.144909292337244
Inner,upside_failure_short,relvol,283,0.004295452250155464,0.9426487021703437
Inner,upside_failure_short,reentry_end,283,0.029986692437048778,0.6154322188761765
OOS,downside_failure_long,excursion_ib,116,0.040018452312305386,0.6697325208912033
OOS,downside_failure_long,outside_5m,116,0.08931199077539566,0.34038272436936395
OOS,downside_failure_long,reentry_depth_ib,116,0.007530878910134877,0.9360521159643884
OOS,downside_failure_long,rejection_minutes,116,0.14860840147157311,0.11136636440903872
OOS,downside_failure_long,relvol,116,-0.03820397493560912,0.6838889877744881
OOS,downside_failure_long,reentry_end,116,0.09043643226699326,0.3343134983312179
OOS,upside_failure_short,excursion_ib,163,0.008049722624015605,0.9187704029195065
OOS,upside_failure_short,outside_5m,163,0.04676027806346663,0.5533650701536273
OOS,upside_failure_short,reentry_depth_ib,163,-0.00032697691141219613,0.9966948247629278
OOS,upside_failure_short,rejection_minutes,163,-0.0063518560923872674,0.9358620401348829
OOS,upside_failure_short,relvol,163,0.044945439229443426,0.5688833176616644
OOS,upside_failure_short,reentry_end,163,-0.07173463660338347,0.3628376717570538
Train,downside_failure_long,excursion_ib,468,0.16184406538298216,0.00043965492686841697
Train,downside_failure_long,outside_5m,468,0.15906524207936856,0.0005525013436587846
Train,downside_failure_long,reentry_depth_ib,468,0.023980803803426813,0.6048272812671002
Train,downside_failure_long,rejection_minutes,468,0.15796747474398526,0.0006040745724751255
Train,downside_failure_long,relvol,468,0.09551790409748988,0.038869373985052476
Train,downside_failure_long,reentry_end,468,0.10372413691255361,0.02483554764176965
Train,upside_failure_short,excursion_ib,545,0.18845414019677215,9.460450908743834e-06
Train,upside_failure_short,outside_5m,545,0.1654240385673928,0.0001045605119245198
Train,upside_failure_short,reentry_depth_ib,545,-0.00518585734369316,0.9038590301868162
Train,upside_failure_short,rejection_minutes,545,0.15811578373305402,0.00021046395125942305
Train,upside_failure_short,relvol,545,0.08526362842508382,0.04664014648974937
Train,upside_failure_short,reentry_end,545,0.06841751099178549,0.1106171128927606
Validation,downside_failure_long,excursion_ib,257,0.06268169712471273,0.3168508701116037
Validation,downside_failure_long,outside_5m,257,0.048162790379489784,0.44201755870932113
Validation,downside_failure_long,reentry_depth_ib,257,-0.17402812382872204,0.005147384183972684
Validation,downside_failure_long,rejection_minutes,257,0.011468609299656898,0.8548250392022151
Validation,downside_failure_long,relvol,257,-0.1666626606189485,0.007416643993597171
Validation,downside_failure_long,reentry_end,257,0.012891610709797514,0.8370492126312746
Validation,upside_failure_short,excursion_ib,271,0.12005100933362275,0.04834766707689755
Validation,upside_failure_short,outside_5m,271,0.17265331859414684,0.004364618232235876
Validation,upside_failure_short,reentry_depth_ib,271,-0.09000961418522294,0.1394352160868458
Validation,upside_failure_short,rejection_minutes,271,0.16817815293660235,0.005510656997837141
Validation,upside_failure_short,relvol,271,-0.09431481079516676,0.12140684769659393
Validation,upside_failure_short,reentry_end,271,0.15146939655824657,0.01254627187857387
