period,feature,up_n,up_median,down_n,down_median,ks_stat,ks_p
Inner,excursion_ib,283,0.1860465116279069,215,0.2746858168761221,0.21393705316788558,2.1624439533692867e-05
Inner,outside_5m,283,3.0,215,3.0,0.06924151532582801,0.5701514649596765
Inner,reentry_depth_ib,283,0.0443925233644859,215,0.0662251655629139,0.14149067302161228,0.013189516454728266
Inner,rejection_minutes,283,10.0,215,10.0,0.02466924151532579,0.9999960631134532
Inner,relvol,283,0.7007909267273541,215,0.9479487566473423,0.37349001561344397,1.0520368865980328e-15
Inner,reentry_end,283,694.0,215,689.0,0.09014709507765628,0.25361259994390944
OOS,excursion_ib,163,0.1554252199413489,116,0.27118471855313964,0.3237254072350328,8.413300341844831e-07
OOS,outside_5m,163,2.0,116,2.0,0.04860376560186164,0.9937771481645865
OOS,reentry_depth_ib,163,0.0509316770186335,116,0.0738186659132839,0.16686058811085253,0.03971701753748251
OOS,rejection_minutes,163,5.0,116,5.0,0.06420562724772583,0.9201825549338478
OOS,relvol,163,0.6482486433152441,116,0.8626172340658551,0.3729638248360482,6.415349909598426e-09
OOS,reentry_end,163,679.0,116,676.5,0.06986460757351387,0.8643957819115092
Train,excursion_ib,545,0.2105263157894736,468,0.28917761638890055,0.18094173919861994,1.0935944464903892e-07
Train,outside_5m,545,3.0,468,3.0,0.06120912726417316,0.28651554410374264
Train,reentry_depth_ib,545,0.0437956204379562,468,0.05284640171858215,0.0731710185838626,0.12648913735413797
Train,rejection_minutes,545,10.0,468,10.0,0.04824747118325101,0.5784229917741803
Train,relvol,545,0.674740654550222,468,0.8997799694130224,0.2682231631772916,1.9312739783565188e-16
Train,reentry_end,545,699.0,468,689.0,0.06725084293891637,0.1931488605824142
Validation,excursion_ib,271,0.191650853889943,257,0.2352941176470588,0.14375349979180718,0.007442735734902134
Validation,outside_5m,271,3.0,257,3.0,0.09289703791979553,0.18840528742261328
Validation,reentry_depth_ib,271,0.0509490509490509,257,0.0565371024734982,0.06611914368170924,0.5791367195647324
Validation,rejection_minutes,271,5.0,257,10.0,0.09163352333912433,0.2005118220084472
Validation,relvol,271,0.7171601758429034,257,0.8240452865606852,0.19271468979281237,8.930717089550057e-05
Validation,reentry_end,271,689.0,257,689.0,0.08156848105446035,0.3197097402976049
