period,direction,bar_after_break,n,mean,median
Inner,downside_failure,1,214,-0.012059867871322016,-0.021582315299592786
Inner,downside_failure,2,214,-0.018607386293000027,-0.04588636349394344
Inner,downside_failure,3,214,-0.034984033791511326,-0.060140414668110785
Inner,downside_failure,4,214,-0.04713895350377837,-0.07260888196745299
Inner,downside_failure,5,214,-0.05955419121813151,-0.06704922983992752
Inner,upside_failure,1,283,-0.012341437341253576,-0.00980392156862745
Inner,upside_failure,2,283,-0.026538113830956018,-0.020161290322580645
Inner,upside_failure,3,283,-0.027676485129326474,-0.0182370820668693
Inner,upside_failure,4,283,-0.03698622926718175,-0.027932960893854747
Inner,upside_failure,5,283,-0.04243982405572125,-0.018867924528301886
OOS,downside_failure,1,116,-0.023057965775734796,-0.02241021266328887
OOS,downside_failure,2,116,-0.04205709323298543,-0.0421875
OOS,downside_failure,3,116,-0.05469865172768056,-0.04948309057425079
OOS,downside_failure,4,116,-0.04821295978186669,-0.08397192238655654
OOS,downside_failure,5,116,-0.05745973708560796,-0.07259188958018442
OOS,upside_failure,1,163,-0.01906812443035322,-0.016046681254558718
OOS,upside_failure,2,163,-0.030383743070422783,-0.028
OOS,upside_failure,3,163,-0.04109656286950741,-0.03925619834710744
OOS,upside_failure,4,163,-0.03432010773481599,-0.036154478225143796
OOS,upside_failure,5,163,-0.021823703104842693,-0.018404907975460124
Train,downside_failure,1,468,-0.011751912963628009,-0.03086890243902439
Train,downside_failure,2,468,-0.030010983903726404,-0.038931514634839445
Train,downside_failure,3,468,-0.021185068066186377,-0.03334667200213419
Train,downside_failure,4,468,-0.03657354616420746,-0.054563492063492064
Train,downside_failure,5,468,-0.0451116987460776,-0.07111560498820357
Train,upside_failure,1,544,-0.009881597288217282,-0.015504807692307693
Train,upside_failure,2,544,-0.011698314678921242,-0.019871035662587182
Train,upside_failure,3,544,-0.015679177088355596,-0.024951418577535953
Train,upside_failure,4,544,-0.014532590716691515,-0.022001934235976787
Train,upside_failure,5,544,-0.019983848331734416,-0.02381289865343728
Validation,downside_failure,1,257,-0.020217563776904347,-0.01639344262295082
Validation,downside_failure,2,257,-0.024605448587487238,-0.025925925925925925
Validation,downside_failure,3,257,-0.029311556546884828,-0.03881278538812785
Validation,downside_failure,4,257,-0.019038544036896494,-0.04329004329004329
Validation,downside_failure,5,257,-0.03149599373906033,-0.04
Validation,upside_failure,1,271,-0.007718224362514282,-0.013850415512465374
Validation,upside_failure,2,271,-0.023676438747939888,-0.022636484687083888
Validation,upside_failure,3,271,-0.03257655734587288,-0.013824884792626729
Validation,upside_failure,4,271,-0.04469627711981036,-0.0440251572327044
Validation,upside_failure,5,271,-0.04330931748512222,-0.010498687664041995
