period,feature,up_median,down_median,ks,p
Inner,ib_width,75.5,84.375,0.07483240315709527,0.4729457789313168
Inner,signal_end,659.0,654.0,0.07810177999405565,0.4194920618200064
Inner,reentry_end,694.0,689.0,0.09416796010699768,0.21239131383090853
Inner,failure_delay,15.0,15.0,0.07230606651035298,0.5167177535169474
Inner,pre_loc_ib,1.0406091370558375,-0.06433522672571483,1.0,1.65291138854529e-146
Inner,pre_vwap_ib,0.45932581832875685,-0.5271271170235194,1.0,1.65291138854529e-146
Inner,ib_drift,0.3684210526315789,-0.35750000000000004,0.47992140285987905,5.611399767591885e-26
Inner,ib_half_change,0.20657276995305165,-0.20606960950764006,0.4338694230705723,3.698440514797779e-21
Inner,ret_5m_ib,0.15071507150715072,-0.2323166397415186,1.0,1.65291138854529e-146
Inner,ret_10m_ib,0.20812182741116753,-0.33715422885572144,1.0,1.65291138854529e-146
Inner,ret_15m_ib,0.23529411764705882,-0.3846318393947713,1.0,1.65291138854529e-146
Inner,ret_30m_ib,0.3493975903614458,-0.5258170978388161,1.0,1.65291138854529e-146
OOS,ib_width,173.0,199.625,0.1700338481066216,0.034150524264539954
OOS,signal_end,654.0,654.0,0.05410408292786123,0.9802020646840114
OOS,reentry_end,679.0,676.5,0.06986460757351387,0.8643957819115092
OOS,failure_delay,10.0,10.0,0.04860376560186164,0.9937771481645865
OOS,pre_loc_ib,1.0280811232449298,-0.04497141322282337,1.0,2.2707979128315932e-81
OOS,pre_vwap_ib,0.4502308866770318,-0.5018984763382901,1.0,2.2707979128315932e-81
OOS,ib_drift,0.4237536656891496,-0.4386463991246923,0.5417283689443622,7.920256677441164e-19
OOS,ib_half_change,0.19238900634249473,-0.20666297526762642,0.44177067907763906,1.954133919620977e-12
OOS,ret_5m_ib,0.1223091976516634,-0.2004640485250137,1.0,2.2707979128315932e-81
OOS,ret_10m_ib,0.18874172185430463,-0.28425635456885456,1.0,2.2707979128315932e-81
OOS,ret_15m_ib,0.2208067940552017,-0.3333208018479764,1.0,2.2707979128315932e-81
OOS,ret_30m_ib,0.3459552495697074,-0.4898430451978636,1.0,2.2707979128315932e-81
Train,ib_width,22.125,24.25,0.07920123177476113,0.07942414280637332
Train,signal_end,664.0,659.0,0.053104575163398726,0.45648909038170304
Train,reentry_end,699.0,689.0,0.06642785319255912,0.20473330457057765
Train,failure_delay,15.0,15.0,0.06014328808446456,0.3064346159859065
Train,pre_loc_ib,1.0398412698412698,-0.06017241379310345,1.0,3.1531321169302674e-302
Train,pre_vwap_ib,0.4701339046812434,-0.49739350415255945,1.0,3.1531321169302674e-302
Train,ib_drift,0.33398950131233596,-0.30866013071895426,0.43107403217697343,1.6038757384519577e-42
Train,ib_half_change,0.16869595395783324,-0.20150051100994146,0.4167138009049775,1.1164907165786002e-39
Train,ret_5m_ib,0.16255081300813007,-0.2112920168067227,1.0,3.1531321169302674e-302
Train,ret_10m_ib,0.22184320353188702,-0.30201528411191914,1.0,3.1531321169302674e-302
Train,ret_15m_ib,0.28125,-0.3594224924012158,1.0,3.1531321169302674e-302
Train,ret_30m_ib,0.36823584610572413,-0.4851778656126482,1.0,3.1531321169302674e-302
Validation,ib_width,117.5,130.5,0.1389722457535859,0.010720134339944992
Validation,signal_end,654.0,654.0,0.052091260212213,0.84053174724325
Validation,reentry_end,689.0,689.0,0.08156848105446035,0.3197097402976049
Validation,failure_delay,15.0,15.0,0.09289703791979553,0.18840528742261328
Validation,pre_loc_ib,1.0419708029197081,-0.054613935969868174,1.0,7.892951343115633e-158
Validation,pre_vwap_ib,0.4794144405786184,-0.49836803399280805,1.0,7.892951343115633e-158
Validation,ib_drift,0.3393103448275862,-0.33519553072625696,0.4955561617872989,5.5173220693532086e-30
Validation,ib_half_change,0.19718309859154928,-0.2423887587822014,0.49683403448820485,3.748786649391229e-30
Validation,ret_5m_ib,0.15384615384615385,-0.19411764705882353,1.0,7.892951343115633e-158
Validation,ret_10m_ib,0.24881516587677724,-0.27958115183246074,1.0,7.892951343115633e-158
Validation,ret_15m_ib,0.275,-0.32051282051282054,1.0,7.892951343115633e-158
Validation,ret_30m_ib,0.39215686274509803,-0.450199203187251,1.0,7.892951343115633e-158
