sample,period,direction,bar,n,mean_giveback,median_giveback,p_positive
all_events,Inner,downside_failure,1,215,0.01104599469511227,0.020942408376963352,0.5534883720930233
all_events,Inner,downside_failure,2,215,0.0182966106991201,0.0457516339869281,0.586046511627907
all_events,Inner,downside_failure,3,215,0.034782877993365144,0.059782608695652176,0.586046511627907
all_events,Inner,downside_failure,4,215,0.046938922238202466,0.07052896725440806,0.5674418604651162
all_events,Inner,downside_failure,5,215,0.05902733912751479,0.0664451827242525,0.6139534883720931
all_events,Inner,upside_failure,1,283,0.012341437341253576,0.00980392156862745,0.5371024734982333
all_events,Inner,upside_failure,2,283,0.026538113830956018,0.020161290322580645,0.5724381625441696
all_events,Inner,upside_failure,3,283,0.027676485129326474,0.0182370820668693,0.568904593639576
all_events,Inner,upside_failure,4,283,0.03698622926718176,0.027932960893854747,0.5795053003533569
all_events,Inner,upside_failure,5,283,0.04243982405572125,0.018867924528301886,0.5512367491166078
all_events,OOS,downside_failure,1,116,0.023057965775734796,0.02241021266328887,0.5431034482758621
all_events,OOS,downside_failure,2,116,0.04205709323298543,0.0421875,0.5603448275862069
all_events,OOS,downside_failure,3,116,0.054698651727680576,0.04948309057425079,0.5775862068965517
all_events,OOS,downside_failure,4,116,0.04821295978186669,0.08397192238655654,0.603448275862069
all_events,OOS,downside_failure,5,116,0.05745973708560797,0.07259188958018442,0.5689655172413793
all_events,OOS,upside_failure,1,163,0.019068124430353224,0.016046681254558718,0.5705521472392638
all_events,OOS,upside_failure,2,163,0.030383743070422787,0.028,0.5828220858895705
all_events,OOS,upside_failure,3,163,0.04109656286950741,0.03925619834710744,0.588957055214724
all_events,OOS,upside_failure,4,163,0.034320107734815995,0.036154478225143796,0.5950920245398773
all_events,OOS,upside_failure,5,163,0.021823703104842693,0.018404907975460124,0.5521472392638037
all_events,Train,downside_failure,1,468,0.011751912963628009,0.03086890243902439,0.5747863247863247
all_events,Train,downside_failure,2,468,0.030010983903726404,0.038931514634839445,0.5811965811965812
all_events,Train,downside_failure,3,468,0.021185068066186377,0.03334667200213419,0.5641025641025641
all_events,Train,downside_failure,4,468,0.03657354616420746,0.054563492063492064,0.5876068376068376
all_events,Train,downside_failure,5,468,0.04511169874607761,0.07111560498820357,0.6068376068376068
all_events,Train,upside_failure,1,545,0.00901660635459035,0.015384615384615385,0.5339449541284403
all_events,Train,upside_failure,2,545,0.010688847058480031,0.0196078431372549,0.5302752293577981
all_events,Train,upside_failure,3,545,0.01508583491444612,0.024096385542168676,0.5486238532110091
all_events,Train,upside_failure,4,545,0.014364782152214877,0.02127659574468085,0.5431192660550459
all_events,Train,upside_failure,5,545,0.020088323980525864,0.024096385542168676,0.5467889908256881
all_events,Validation,downside_failure,1,257,0.020217563776904347,0.01639344262295082,0.5603112840466926
all_events,Validation,downside_failure,2,257,0.024605448587487238,0.025925925925925925,0.5603112840466926
all_events,Validation,downside_failure,3,257,0.029311556546884825,0.03881278538812785,0.5680933852140078
all_events,Validation,downside_failure,4,257,0.019038544036896497,0.04329004329004329,0.5447470817120622
all_events,Validation,downside_failure,5,257,0.03149599373906033,0.04,0.5486381322957199
all_events,Validation,upside_failure,1,271,0.0077182243625142834,0.013850415512465374,0.5313653136531366
all_events,Validation,upside_failure,2,271,0.023676438747939888,0.022636484687083888,0.5719557195571956
all_events,Validation,upside_failure,3,271,0.03257655734587288,0.013824884792626729,0.5387453874538746
all_events,Validation,upside_failure,4,271,0.04469627711981037,0.0440251572327044,0.5793357933579336
all_events,Validation,upside_failure,5,271,0.04330931748512222,0.010498687664041995,0.5350553505535055
excursion_matched,Inner,downside_failure,1,215,0.01104599469511227,0.020942408376963352,0.5534883720930233
excursion_matched,Inner,downside_failure,2,215,0.0182966106991201,0.0457516339869281,0.586046511627907
excursion_matched,Inner,downside_failure,3,215,0.034782877993365144,0.059782608695652176,0.586046511627907
excursion_matched,Inner,downside_failure,4,215,0.046938922238202466,0.07052896725440806,0.5674418604651162
excursion_matched,Inner,downside_failure,5,215,0.05902733912751479,0.0664451827242525,0.6139534883720931
excursion_matched,Inner,upside_failure,1,215,0.029795500057071413,0.025302530253025302,0.5906976744186047
excursion_matched,Inner,upside_failure,2,215,0.04800945871598787,0.03759398496240601,0.6558139534883721
excursion_matched,Inner,upside_failure,3,215,0.05756327388766436,0.039723661485319514,0.6372093023255814
excursion_matched,Inner,upside_failure,4,215,0.0688648063606165,0.046583850931677016,0.6604651162790698
excursion_matched,Inner,upside_failure,5,215,0.06472601439690197,0.046,0.6232558139534884
excursion_matched,OOS,downside_failure,1,116,0.023057965775734796,0.02241021266328887,0.5431034482758621
excursion_matched,OOS,downside_failure,2,116,0.04205709323298543,0.0421875,0.5603448275862069
excursion_matched,OOS,downside_failure,3,116,0.054698651727680576,0.04948309057425079,0.5775862068965517
excursion_matched,OOS,downside_failure,4,116,0.04821295978186669,0.08397192238655654,0.603448275862069
excursion_matched,OOS,downside_failure,5,116,0.05745973708560797,0.07259188958018442,0.5689655172413793
excursion_matched,OOS,upside_failure,1,116,0.054184758564936895,0.039533397251518054,0.7327586206896551
excursion_matched,OOS,upside_failure,2,116,0.08036066139514259,0.05757704690181395,0.75
excursion_matched,OOS,upside_failure,3,116,0.10231292730083842,0.07143181750512824,0.75
excursion_matched,OOS,upside_failure,4,116,0.10250425904583461,0.07654670563877725,0.75
excursion_matched,OOS,upside_failure,5,116,0.0891538756085521,0.0471149616539484,0.6810344827586207
excursion_matched,Train,downside_failure,1,468,0.011751912963628009,0.03086890243902439,0.5747863247863247
excursion_matched,Train,downside_failure,2,468,0.030010983903726404,0.038931514634839445,0.5811965811965812
excursion_matched,Train,downside_failure,3,468,0.021185068066186377,0.03334667200213419,0.5641025641025641
excursion_matched,Train,downside_failure,4,468,0.03657354616420746,0.054563492063492064,0.5876068376068376
excursion_matched,Train,downside_failure,5,468,0.04511169874607761,0.07111560498820357,0.6068376068376068
excursion_matched,Train,upside_failure,1,468,0.02669482879121754,0.029557367501456027,0.5876068376068376
excursion_matched,Train,upside_failure,2,468,0.04130908871265251,0.03835645229087852,0.594017094017094
excursion_matched,Train,upside_failure,3,468,0.0518653854638019,0.04720790976187161,0.6175213675213675
excursion_matched,Train,upside_failure,4,468,0.05670622439592392,0.04324450677886863,0.6068376068376068
excursion_matched,Train,upside_failure,5,468,0.06260475430929185,0.050125628140703524,0.6153846153846154
excursion_matched,Validation,downside_failure,1,257,0.020217563776904347,0.01639344262295082,0.5603112840466926
excursion_matched,Validation,downside_failure,2,257,0.024605448587487238,0.025925925925925925,0.5603112840466926
excursion_matched,Validation,downside_failure,3,257,0.029311556546884825,0.03881278538812785,0.5680933852140078
excursion_matched,Validation,downside_failure,4,257,0.019038544036896497,0.04329004329004329,0.5447470817120622
excursion_matched,Validation,downside_failure,5,257,0.03149599373906033,0.04,0.5486381322957199
excursion_matched,Validation,upside_failure,1,257,0.013825681894728391,0.021135515955242438,0.5525291828793775
excursion_matched,Validation,upside_failure,2,257,0.03319789799675075,0.03059071729957806,0.5953307392996109
excursion_matched,Validation,upside_failure,3,257,0.042452798794572436,0.02280130293159609,0.5642023346303502
excursion_matched,Validation,upside_failure,4,257,0.05661531661914368,0.05056179775280899,0.603112840466926
excursion_matched,Validation,upside_failure,5,257,0.05794504012593097,0.02028397565922921,0.5603112840466926
