hold_min,cost_points,period,n,mean_net,median_net,win,pf,max_dd_points,stop_rate
3,1.0,Inner,283,-1.6448763250883391,-1.25,0.36395759717314485,0.5966204506065858,-485.0,0.028268551236749116
3,1.0,OOS,163,2.0935582822085887,0.5,0.5030674846625767,1.3986565420560748,-282.75,0.024539877300613498
3,1.0,Train,545,-1.1217889908256882,-1.25,0.25321100917431194,0.2965626348338847,-619.125,0.011009174311926606
3,1.0,Validation,271,-0.6512915129151291,-1.5,0.44280442804428044,0.8769177126917713,-373.8125,0.02214022140221402
3,2.0,Inner,283,-2.6448763250883394,-2.25,0.27208480565371024,0.4434944237918216,-762.0,0.028268551236749116
3,2.0,OOS,163,1.093558282208589,-0.5,0.48466257668711654,1.1899813482547295,-312.75,0.024539877300613498
3,2.0,Train,545,-2.121788990825688,-2.25,0.12660550458715597,0.11617464411961402,-1158.125,0.011009174311926606
3,2.0,Validation,271,-1.651291512915129,-2.5,0.4059040590405904,0.7183320220298978,-593.0,0.02214022140221402
5,1.0,Inner,283,-1.394655477031802,-1.25,0.42402826855123676,0.699728971518235,-492.25,0.045936395759717315
5,1.0,OOS,163,1.228527607361963,-1.25,0.4723926380368098,1.163837185518511,-278.75,0.024539877300613498
5,1.0,Train,545,-1.2192660550458716,-1.25,0.28073394495412846,0.34467455621301774,-662.5,0.03302752293577982
5,1.0,Validation,271,-1.4603321033210332,-1.5,0.44649446494464945,0.7871167294244217,-615.8125,0.055350553505535055
5,2.0,Inner,283,-2.3946554770318023,-2.25,0.34275618374558303,0.5438559589415675,-724.4375,0.045936395759717315
5,2.0,OOS,163,0.2285276073619632,-2.25,0.44785276073619634,1.0284568372803666,-311.75,0.024539877300613498
5,2.0,Train,545,-2.2192660550458716,-2.25,0.163302752293578,0.15508208173244847,-1206.5,0.03302752293577982
5,2.0,Validation,271,-2.4603321033210332,-2.5,0.4280442804428044,0.6684897451833437,-854.8125,0.055350553505535055
10,1.0,Inner,283,-1.8703621908127208,-1.75,0.4134275618374558,0.7128860562091061,-679.8125,0.127208480565371
10,1.0,OOS,163,-2.2557515337423313,-3.75,0.3987730061349693,0.8307683456548629,-688.0625,0.12269938650306748
10,1.0,Train,545,-1.1806192660550459,-1.25,0.3229357798165138,0.4860466277270231,-669.9375,0.12110091743119267
10,1.0,Validation,271,-1.8173431734317342,-3.25,0.4095940959409594,0.8126129553885665,-727.5,0.14022140221402213
10,2.0,Inner,283,-2.870362190812721,-2.75,0.3674911660777385,0.5963789944411664,-891.875,0.127208480565371
10,2.0,OOS,163,-3.2557515337423313,-4.75,0.36809815950920244,0.7664163296745619,-747.125,0.12269938650306748
10,2.0,Train,545,-2.180619266055046,-2.25,0.22935779816513763,0.2768587183875261,-1207.9375,0.12110091743119267
10,2.0,Validation,271,-2.8173431734317345,-4.25,0.3800738007380074,0.7264911337990327,-964.5,0.14022140221402213
15,1.0,Inner,283,-2.2533127208480566,-2.75,0.38515901060070673,0.7102984184673046,-807.1875,0.20848056537102475
15,1.0,OOS,163,-2.411042944785276,-4.25,0.4294478527607362,0.8394443877029926,-747.0625,0.20245398773006135
15,1.0,Train,545,-1.4160550458715597,-1.25,0.3302752293577982,0.4727583262169086,-783.5,0.1963302752293578
15,1.0,Validation,271,-2.242850553505535,-4.5,0.42435424354243545,0.8004923581905836,-924.125,0.22509225092250923
15,2.0,Inner,283,-3.2533127208480566,-3.75,0.34275618374558303,0.6133900217830617,-1003.4375,0.20848056537102475
15,2.0,OOS,163,-3.411042944785276,-5.25,0.4233128834355828,0.7811669782544525,-893.0625,0.20245398773006135
15,2.0,Train,545,-2.4160550458715595,-2.25,0.24220183486238533,0.28718365137366353,-1326.5,0.1963302752293578
15,2.0,Validation,271,-3.242850553505535,-5.5,0.3985239852398524,0.7259545109045197,-1163.125,0.22509225092250923
