session_date,year,period,hold_min,cost_points,entry,stop,exit_kind,gross_points,net_points
2010-06-28,2010,Train,3,1.0,1842.5,1848.0,time,-0.25,-1.25
2010-06-28,2010,Train,3,2.0,1842.5,1848.0,time,-0.25,-2.25
2010-06-28,2010,Train,5,1.0,1842.5,1848.0,time,-1.0,-2.0
2010-06-28,2010,Train,5,2.0,1842.5,1848.0,time,-1.0,-3.0
2010-06-28,2010,Train,10,1.0,1842.5,1848.0,time,0.25,-0.75
2010-06-28,2010,Train,10,2.0,1842.5,1848.0,time,0.25,-1.75
2010-06-28,2010,Train,15,1.0,1842.5,1848.0,time,1.0,0.0
2010-06-28,2010,Train,15,2.0,1842.5,1848.0,time,1.0,-1.0
2010-07-26,2010,Train,3,1.0,1881.0,1884.8125,time,-1.75,-2.75
2010-07-26,2010,Train,3,2.0,1881.0,1884.8125,time,-1.75,-3.75
2010-07-26,2010,Train,5,1.0,1881.0,1884.8125,time,-1.5,-2.5
2010-07-26,2010,Train,5,2.0,1881.0,1884.8125,time,-1.5,-3.5
2010-07-26,2010,Train,10,1.0,1881.0,1884.8125,time,-1.0,-2.0
2010-07-26,2010,Train,10,2.0,1881.0,1884.8125,time,-1.0,-3.0
2010-07-26,2010,Train,15,1.0,1881.0,1884.8125,time,-2.25,-3.25
2010-07-26,2010,Train,15,2.0,1881.0,1884.8125,time,-2.25,-4.25
2010-08-16,2010,Train,3,1.0,1824.0,1830.5625,time,-0.75,-1.75
2010-08-16,2010,Train,3,2.0,1824.0,1830.5625,time,-0.75,-2.75
2010-08-16,2010,Train,5,1.0,1824.0,1830.5625,time,1.5,0.5
2010-08-16,2010,Train,5,2.0,1824.0,1830.5625,time,1.5,-0.5
2010-08-16,2010,Train,10,1.0,1824.0,1830.5625,time,-1.25,-2.25
2010-08-16,2010,Train,10,2.0,1824.0,1830.5625,time,-1.25,-3.25
2010-08-16,2010,Train,15,1.0,1824.0,1830.5625,time,-0.5,-1.5
2010-08-16,2010,Train,15,2.0,1824.0,1830.5625,time,-0.5,-2.5
2010-09-13,2010,Train,3,1.0,1917.75,1920.8125,time,0.0,-1.0
2010-09-13,2010,Train,3,2.0,1917.75,1920.8125,time,0.0,-2.0
2010-09-13,2010,Train,5,1.0,1917.75,1920.8125,time,-0.5,-1.5
2010-09-13,2010,Train,5,2.0,1917.75,1920.8125,time,-0.5,-2.5
2010-09-13,2010,Train,10,1.0,1917.75,1920.8125,time,2.25,1.25
2010-09-13,2010,Train,10,2.0,1917.75,1920.8125,time,2.25,0.25
2010-09-13,2010,Train,15,1.0,1917.75,1920.8125,time,2.25,1.25
2010-09-13,2010,Train,15,2.0,1917.75,1920.8125,time,2.25,0.25
2010-11-08,2010,Train,3,1.0,2186.5,2190.0,time,1.0,0.0
2010-11-08,2010,Train,3,2.0,2186.5,2190.0,time,1.0,-1.0
2010-11-08,2010,Train,5,1.0,2186.5,2190.0,time,1.5,0.5
2010-11-08,2010,Train,5,2.0,2186.5,2190.0,time,1.5,-0.5
2010-11-08,2010,Train,10,1.0,2186.5,2190.0,time,1.75,0.75
2010-11-08,2010,Train,10,2.0,2186.5,2190.0,time,1.75,-0.25
2010-11-08,2010,Train,15,1.0,2186.5,2190.0,time,2.75,1.75
2010-11-08,2010,Train,15,2.0,2186.5,2190.0,time,2.75,0.75
2011-01-03,2011,Train,3,1.0,2264.0,2270.75,time,0.5,-0.5
2011-01-03,2011,Train,3,2.0,2264.0,2270.75,time,0.5,-1.5
2011-01-03,2011,Train,5,1.0,2264.0,2270.75,time,0.75,-0.25
2011-01-03,2011,Train,5,2.0,2264.0,2270.75,time,0.75,-1.25
2011-01-03,2011,Train,10,1.0,2264.0,2270.75,time,1.5,0.5
2011-01-03,2011,Train,10,2.0,2264.0,2270.75,time,1.5,-0.5
2011-01-03,2011,Train,15,1.0,2264.0,2270.75,time,1.75,0.75
2011-01-03,2011,Train,15,2.0,2264.0,2270.75,time,1.75,-0.25
2011-01-10,2011,Train,3,1.0,2274.0,2277.0,time,0.75,-0.25
2011-01-10,2011,Train,3,2.0,2274.0,2277.0,time,0.75,-1.25
2011-01-10,2011,Train,5,1.0,2274.0,2277.0,time,-1.25,-2.25
2011-01-10,2011,Train,5,2.0,2274.0,2277.0,time,-1.25,-3.25
2011-01-10,2011,Train,10,1.0,2274.0,2277.0,time,-1.25,-2.25
2011-01-10,2011,Train,10,2.0,2274.0,2277.0,time,-1.25,-3.25
2011-01-10,2011,Train,15,1.0,2274.0,2277.0,stop,-3.0,-4.0
2011-01-10,2011,Train,15,2.0,2274.0,2277.0,stop,-3.0,-5.0
2011-01-18,2011,Train,3,1.0,2319.0,2323.75,time,0.0,-1.0
2011-01-18,2011,Train,3,2.0,2319.0,2323.75,time,0.0,-2.0
2011-01-18,2011,Train,5,1.0,2319.0,2323.75,time,-0.25,-1.25
2011-01-18,2011,Train,5,2.0,2319.0,2323.75,time,-0.25,-2.25
2011-01-18,2011,Train,10,1.0,2319.0,2323.75,time,-1.25,-2.25
