hold_min,cost_points,year,n,mean_net,median_net,win
3,1.0,2025,102,2.713235294117647,1.875,0.5294117647058824
3,1.0,2026,61,1.0573770491803278,-2.25,0.45901639344262296
3,2.0,2025,102,1.713235294117647,0.875,0.5196078431372549
3,2.0,2026,61,0.05737704918032787,-3.25,0.4262295081967213
5,1.0,2025,102,1.8627450980392157,-0.25,0.4803921568627451
5,1.0,2026,61,0.1680327868852459,-2.75,0.45901639344262296
5,2.0,2025,102,0.8627450980392157,-1.25,0.46078431372549017
5,2.0,2026,61,-0.8319672131147541,-3.75,0.4262295081967213
10,1.0,2025,102,0.3284313725490196,-1.5,0.45098039215686275
10,1.0,2026,61,-6.576844262295082,-9.25,0.3114754098360656
10,2.0,2025,102,-0.6715686274509803,-2.5,0.4019607843137255
10,2.0,2026,61,-7.576844262295082,-10.25,0.3114754098360656
15,1.0,2025,102,0.6531862745098039,-0.375,0.49019607843137253
15,1.0,2026,61,-7.534836065573771,-14.75,0.32786885245901637
15,2.0,2025,102,-0.34681372549019607,-1.375,0.4803921568627451
15,2.0,2026,61,-8.53483606557377,-15.75,0.32786885245901637
