cost_points,period,n,mean_net,mean_R,win
1.0,IS,554,3.687048736462094,0.029051904455555968,0.4151624548736462
1.0,OOS,69,17.784420289855074,0.12233059679263888,0.4492753623188406
1.0,Validation,164,10.099085365853659,0.08638952754593875,0.4451219512195122
2.0,IS,554,2.687048736462094,-0.04641433987765189,0.40974729241877256
2.0,OOS,69,16.784420289855074,0.10960295846774189,0.4492753623188406
2.0,Validation,164,9.099085365853659,0.06860669312609986,0.43902439024390244
3.0,IS,554,1.6870487364620939,-0.12188058421085975,0.4007220216606498
3.0,OOS,69,15.784420289855072,0.09687532014284486,0.4492753623188406
3.0,Validation,164,8.099085365853659,0.050823858706261014,0.4329268292682927
4.0,IS,554,0.6870487364620939,-0.19734682854406763,0.3971119133574007
4.0,OOS,69,14.784420289855072,0.08414768181794786,0.4492753623188406
4.0,Validation,164,7.099085365853658,0.033041024286422145,0.4268292682926829
