session_date,stop_rule,target_r,split,year,risk_points,exit_kind,net_points,width_vs20,net_r,fixed_$200_pnl,risk_q,open_macro
2010-06-07,0.50x_ib_width,2.0,IS,2010,9.625,stop,-10.625,,-1.103896103896104,-220.7792207792208,Q2,False
2010-08-23,0.50x_ib_width,2.0,IS,2010,11.625,time,6.25,,0.5376344086021505,107.5268817204301,Q2,False
2010-09-27,0.50x_ib_width,2.0,IS,2010,4.5,stop,-5.5,,-1.2222222222222223,-244.44444444444446,Q1,False
2010-11-01,0.50x_ib_width,2.0,IS,2010,7.75,target,14.5,1.0,1.8709677419354838,374.19354838709677,Q1,True
2011-01-24,0.50x_ib_width,2.0,IS,2011,6.125,target,11.25,0.765625,1.836734693877551,367.34693877551024,Q1,False
2011-02-28,0.50x_ib_width,2.0,IS,2011,4.5,target,8.0,0.5373134328358209,1.7777777777777777,355.55555555555554,Q1,True
2011-03-07,0.50x_ib_width,2.0,IS,2011,8.125,target,15.25,0.9701492537313433,1.876923076923077,375.38461538461536,Q1,False
2011-03-14,0.50x_ib_width,2.0,IS,2011,9.0,stop,-10.0,1.0588235294117647,-1.1111111111111112,-222.22222222222223,Q2,False
2011-03-25,0.50x_ib_width,2.0,IS,2011,4.0,target,7.0,0.5,1.75,350.0,Q1,False
2011-05-02,0.50x_ib_width,2.0,IS,2011,5.875,stop,-6.875,0.7580645161290323,-1.1702127659574468,-234.04255319148936,Q1,False
2011-10-31,0.50x_ib_width,2.0,IS,2011,7.25,stop,-8.25,0.5471698113207547,-1.1379310344827587,-227.58620689655174,Q1,False
2011-11-07,0.50x_ib_width,2.0,IS,2011,10.0,stop,-11.0,0.7619047619047619,-1.1,-220.00000000000003,Q2,False
2011-12-19,0.50x_ib_width,2.0,IS,2011,5.25,target,9.5,0.417910447761194,1.8095238095238095,361.9047619047619,Q1,False
2012-01-09,0.50x_ib_width,2.0,IS,2012,5.875,stop,-6.875,0.562874251497006,-1.1702127659574468,-234.04255319148936,Q1,False
2012-01-30,0.50x_ib_width,2.0,IS,2012,6.75,target,12.5,0.6666666666666666,1.8518518518518519,370.3703703703704,Q1,True
