split,group,n,mean_pts,mean_R,win,pf
IS,risk_Q1,112,-0.03459821428571429,0.011009248820870534,0.4017857142857143,0.9921019108280255
IS,risk_Q2,112,-2.3939732142857144,-0.2323216226127173,0.32142857142857145,0.6825514281485866
IS,risk_Q3,110,1.2488636363636363,0.0724001642331319,0.45454545454545453,1.1459301553578543
IS,risk_Q4,111,1.8367117117117118,0.04374817696554916,0.40540540540540543,1.1219074669257791
IS,risk_Q5,109,18.104357798165136,0.2574465616903155,0.4954128440366973,1.6950033017829629
OOS,risk_Q4,3,24.708333333333332,0.9651585196842024,0.6666666666666666,3.237735849056604
OOS,risk_Q5,66,17.46969696969697,0.0840202366612042,0.4393939393939394,1.3785292186474065
Validation,risk_Q3,1,32.75,1.9407407407407407,1.0,
Validation,risk_Q4,14,-18.107142857142858,-0.5523048852053545,0.14285714285714285,0.30973451327433627
Validation,risk_Q5,149,12.59731543624161,0.1339557729507931,0.4697986577181208,1.3992979843641973
IS,cap_20,338,-0.3775887573964497,-0.04873659112142705,0.39349112426035504,0.9449566014340396
Validation,cap_20,1,32.75,1.9407407407407407,1.0,
IS,cap_30,411,-0.1867396593673966,-0.039529903872950564,0.39172749391727496,0.9766929851199514
OOS,cap_30,2,53.625,1.9633019818609339,1.0,
Validation,cap_30,7,-8.464285714285714,-0.18371002108483261,0.2857142857142857,0.5767857142857142
IS,cap_40,461,0.4953904555314534,-0.017299677512740048,0.3969631236442516,1.0534757793063076
OOS,cap_40,4,8.71875,0.46733294205073345,0.5,1.4818652849740932
Validation,cap_40,22,-13.857954545454545,-0.3651408164620238,0.22727272727272727,0.4360693641618497
IS,cap_50,489,1.0853783231083844,-0.0029385161798480856,0.40286298568507156,1.1082059123343526
OOS,cap_50,9,33.458333333333336,0.806057308534502,0.6666666666666666,3.5384615384615383
Validation,cap_50,44,-0.84375,-0.060907875286951275,0.3409090909090909,0.9642556264291732
IS,cap_60,514,1.293774319066148,0.0018057394015291311,0.4027237354085603,1.1177825008855826
OOS,cap_60,17,8.110294117647058,0.25493947454262994,0.47058823529411764,1.2988350040639394
Validation,cap_60,79,-1.009493670886076,-0.04034037348835447,0.3670886075949367,0.9631000578368999
IS,cap_80,543,2.332182320441989,0.015859817834814667,0.40699815837937386,1.193159068809701
OOS,cap_80,26,2.7788461538461537,0.12226894324276125,0.4230769230769231,1.080300083356488
Validation,cap_80,130,4.5625,0.047702952246726785,0.4230769230769231,1.1554361712582304
IS,cap_100,548,2.708029197080292,0.02070039581565489,0.41058394160583944,1.2229232386961093
OOS,cap_100,40,-12.034375,-0.07470969769350211,0.35,0.7476574274293952
Validation,cap_100,152,3.7565789473684212,0.03813008857263618,0.42105263157894735,1.120993801981247
IS,extreme_open_range,56,11.40625,0.19180668024762143,0.44642857142857145,1.5582259121695434
OOS,extreme_open_range,4,76.1875,0.2931207694885137,0.25,2.7169014084507044
Validation,extreme_open_range,5,129.05,0.9175084719121862,0.8,6.906178489702517
IS,other_open_range,498,2.8190261044176705,0.010750162599420094,0.41164658634538154,1.2487320886762785
OOS,other_open_range,65,14.190384615384616,0.11182043231904659,0.46153846153846156,1.3178822211691725
Validation,other_open_range,159,6.3584905660377355,0.0602537116853649,0.4339622641509434,1.2038820267204438
IS,no_open_macro,316,4.344541139240507,0.03221768659570648,0.41455696202531644,1.38923344083354
OOS,no_open_macro,44,29.53409090909091,0.17515462773369259,0.45454545454545453,1.6986559139784947
Validation,no_open_macro,94,3.206117021276596,0.011966777929970055,0.425531914893617,1.106809019625216
IS,open_macro,238,2.814075630252101,0.024848597076196466,0.41596638655462187,1.2053660406285933
OOS,open_macro,25,-2.895,0.02936030233638439,0.44,0.940633651184251
Validation,open_macro,70,19.355357142857144,0.1863286484588109,0.4714285714285714,1.6031383896277336
