split,session_date,year,net_points,net_r,risk_points,ib_width,width_vs20,extreme_open_range,open_macro,exit_kind
IS,2021-12-16,2021,250.25,1.9920398009950249,125.625,251.25,1.7819148936170213,False,True,target
IS,2020-09-03,2020,209.5,1.990498812351544,105.25,210.5,2.300546448087432,True,True,target
IS,2021-02-25,2021,167.5,1.9881305637982196,84.25,168.5,1.6871088861076349,False,True,target
IS,2021-01-29,2021,158.0,1.9874213836477987,79.5,159.0,1.6162642947903432,False,True,target
IS,2021-07-27,2021,154.75,1.9871589085072232,77.875,155.75,2.1335616438356166,True,False,target
IS,2020-03-02,2020,152.0,1.9869281045751634,76.5,153.0,2.6666666666666665,True,False,target
IS,2020-02-25,2020,151.25,1.986863711001642,76.125,152.25,2.7066666666666666,True,False,target
IS,2020-10-19,2020,140.75,1.9858906525573192,70.875,141.75,1.3436018957345972,False,False,target
IS,2021-11-30,2021,136.25,1.9854280510018214,68.625,137.25,1.3071428571428572,False,False,target
IS,2020-03-17,2020,128.0,0.8448844884488449,151.5,303.0,1.9901477832512315,True,True,time
OOS,2026-06-09,2026,482.25,1.9958613554061044,241.625,483.25,2.140642303433001,True,False,target
OOS,2026-07-02,2026,381.75,1.9947746570868714,191.375,382.75,1.161608497723824,False,False,target
OOS,2025-03-10,2025,249.25,1.992007992007992,125.125,250.25,1.1874258600237249,False,False,target
OOS,2025-11-13,2025,220.75,1.9909808342728297,110.875,221.75,1.290181818181818,False,False,target
OOS,2026-06-16,2026,215.5,1.9907621247113163,108.25,216.5,0.8494359980382541,False,False,target
OOS,2026-05-12,2026,214.0,1.9906976744186047,107.5,215.0,1.3490196078431371,False,False,target
OOS,2025-12-17,2025,201.25,1.9901112484548826,101.125,202.25,1.045219638242894,False,False,target
OOS,2025-02-21,2025,194.75,1.9897828863346105,97.875,195.75,1.292079207920792,False,False,target
OOS,2026-04-02,2026,182.75,1.1203065134099617,163.125,326.25,1.6181029138251706,False,True,time
OOS,2026-08-05,2026,171.75,1.9884225759768452,86.375,172.75,0.5400547088706525,False,False,target
Validation,2024-12-20,2024,299.75,1.9933499584372403,150.375,300.75,2.694288913773796,True,True,target
Validation,2022-08-26,2022,237.0,1.9915966386554622,119.0,238.0,1.8013245033112584,False,True,target
Validation,2022-10-13,2022,211.25,1.9905771495877502,106.125,212.25,1.4829694323144105,False,True,target
Validation,2024-09-03,2024,199.25,1.9900124843945068,100.125,200.25,1.3077551020408162,False,False,target
Validation,2023-08-24,2023,182.5,1.3619402985074627,134.0,268.0,2.163471241170535,True,True,time
Validation,2022-06-28,2022,168.5,1.9882005899705015,84.75,169.5,0.958303886925795,False,False,target
Validation,2023-07-20,2023,148.75,1.986644407345576,74.875,149.75,1.459196102314251,False,True,target
Validation,2024-10-15,2024,148.0,1.9865771812080537,74.5,149.0,1.111940298507463,False,False,target
Validation,2022-01-13,2022,147.5,1.9865319865319866,74.25,148.5,0.9619433198380568,False,True,target
Validation,2022-01-04,2022,145.75,1.9863713798977853,73.375,146.75,1.0138169257340242,False,True,target
