session_date,risk_points,exit_kind,net_points,split,year,side,entry,entry_ny_min,recomputed_exit,mfe_r_to_exit,mae_r_to_exit,mfe_r_full_rth,mae_r_full_rth,first_025r_move,minutes_to_0_25r,minutes_to_0_5r,minutes_to_1_0r,minutes_to_1_5r,minutes_to_2_0r,outcome
2010-06-07,9.625,stop,-10.625,IS,2010,short,1821.5,655,stop,1.0649350649350648,1.0129870129870129,2.7532467532467533,1.2987012987012987,favorable,1.0,2.0,29.0,,,loser_or_flat
2010-08-23,11.625,time,6.25,IS,2010,short,1816.25,645,time,0.8172043010752689,0.3655913978494624,0.8172043010752689,0.3655913978494624,favorable,7.0,20.0,,,,winner
2010-09-27,4.5,stop,-5.5,IS,2010,short,2012.0,675,stop,0.3333333333333333,1.0,0.3333333333333333,2.7222222222222223,favorable,0.0,,,,,loser_or_flat
2010-11-01,7.75,target,14.5,IS,2010,short,2130.75,665,target,2.032258064516129,0.22580645161290322,2.032258064516129,0.22580645161290322,favorable,2.0,10.0,19.0,241.0,250.0,winner
2011-01-24,6.125,target,11.25,IS,2011,long,2281.25,665,target,2.36734693877551,0.12244897959183673,2.8979591836734695,0.12244897959183673,favorable,14.0,18.0,21.0,29.0,60.0,winner
2011-02-28,4.5,target,8.0,IS,2011,short,2352.5,690,target,2.2777777777777777,0.16666666666666666,3.2777777777777777,0.16666666666666666,favorable,0.0,5.0,79.0,82.0,86.0,winner
2011-03-07,8.125,target,15.25,IS,2011,short,2347.75,640,target,2.0,0.24615384615384617,5.107692307692307,0.24615384615384617,favorable,1.0,1.0,3.0,21.0,21.0,winner
2011-03-14,9.0,stop,-10.0,IS,2011,short,2279.75,660,stop,0.9722222222222222,1.3055555555555556,0.9722222222222222,1.5,adverse,11.0,12.0,,,,loser_or_flat
2011-03-25,4.0,target,7.0,IS,2011,long,2321.5,635,target,2.0,0.3125,2.0625,2.125,adverse,3.0,9.0,10.0,18.0,70.0,winner
2011-05-02,5.875,stop,-6.875,IS,2011,long,2414.0,635,stop,0.1702127659574468,1.1063829787234043,0.1702127659574468,3.4893617021276597,adverse,,,,,,loser_or_flat
2011-10-31,7.25,stop,-8.25,IS,2011,long,2379.75,635,stop,0.896551724137931,1.0689655172413792,0.896551724137931,2.896551724137931,favorable,1.0,2.0,,,,loser_or_flat
2011-11-07,10.0,stop,-11.0,IS,2011,short,2340.25,635,stop,1.525,1.125,1.525,2.95,favorable,1.0,14.0,23.0,116.0,,loser_or_flat
2011-12-19,5.25,target,9.5,IS,2011,short,2234.75,650,target,2.1904761904761907,0.0,5.809523809523809,0.0,favorable,1.0,2.0,7.0,15.0,19.0,winner
2012-01-09,5.875,stop,-6.875,IS,2012,short,2347.5,650,stop,1.5319148936170213,1.0212765957446808,1.5319148936170213,1.1914893617021276,favorable,1.0,8.0,17.0,28.0,,loser_or_flat
2012-01-30,6.75,target,12.5,IS,2012,long,2445.25,650,target,2.2222222222222223,0.1111111111111111,3.0,0.1111111111111111,favorable,2.0,10.0,11.0,37.0,166.0,winner
2012-02-13,5.0,stop,-6.0,IS,2012,short,2554.25,635,stop,0.5,1.3,0.5,3.4,adverse,10.0,10.0,,,,loser_or_flat
2012-02-27,9.875,time,5.0,IS,2012,long,2602.0,645,time,1.4936708860759493,0.17721518987341772,1.4936708860759493,0.17721518987341772,favorable,0.0,27.0,38.0,,,winner
2012-03-05,8.125,target,15.25,IS,2012,short,2625.25,660,target,2.4307692307692306,0.27692307692307694,2.4307692307692306,0.27692307692307694,adverse,3.0,14.0,16.0,17.0,17.0,winner
2012-03-12,4.625,stop,-5.625,IS,2012,short,2635.0,635,stop,0.918918918918919,1.1891891891891893,0.918918918918919,2.27027027027027,favorable,0.0,47.0,,,,loser_or_flat
2012-05-14,7.0,stop,-8.0,IS,2012,long,2602.5,690,stop,0.5,1.0714285714285714,0.8214285714285714,2.2857142857142856,favorable,0.0,54.0,,,,loser_or_flat
2012-05-21,13.625,target,26.25,IS,2012,long,2509.75,635,target,2.036697247706422,0.12844036697247707,2.55045871559633,0.12844036697247707,favorable,5.0,16.0,103.0,111.0,262.0,winner
2012-06-18,16.625,time,0.5,IS,2012,long,2583.0,650,time,0.6917293233082706,0.8120300751879699,0.6917293233082706,0.8120300751879699,adverse,165.0,204.0,,,,winner
2012-07-16,8.5,stop,-9.5,IS,2012,long,2580.25,675,stop,0.5,1.1176470588235294,0.5,1.6764705882352942,favorable,1.0,4.0,,,,loser_or_flat
2012-08-31,17.75,stop,-18.75,IS,2012,long,2784.5,665,stop,0.0,1.028169014084507,0.0,1.352112676056338,adverse,,,,,,loser_or_flat
2012-09-04,8.5,stop,-9.5,IS,2012,short,2753.0,635,stop,1.2058823529411764,1.088235294117647,1.2058823529411764,3.235294117647059,adverse,14.0,21.0,22.0,,,loser_or_flat
2012-09-06,14.5,time,9.25,IS,2012,long,2814.5,640,time,1.0344827586206897,0.05172413793103448,1.0344827586206897,0.05172413793103448,favorable,20.0,59.0,254.0,,,winner
2012-09-12,7.75,stop,-8.75,IS,2012,short,2783.5,635,stop,0.41935483870967744,1.096774193548387,1.064516129032258,1.7419354838709677,adverse,5.0,,,,,loser_or_flat
2012-09-19,5.25,stop,-6.25,IS,2012,short,2845.25,635,stop,0.09523809523809523,1.1428571428571428,0.09523809523809523,4.0,adverse,,,,,,loser_or_flat
2012-09-26,13.75,stop,-14.75,IS,2012,short,2765.25,640,stop,0.07272727272727272,1.0,0.07272727272727272,1.5818181818181818,adverse,,,,,,loser_or_flat
2012-10-03,8.625,stop,-9.625,IS,2012,long,2811.75,675,stop,0.6376811594202898,1.0144927536231885,0.6376811594202898,1.2753623188405796,adverse,33.0,75.0,,,,loser_or_flat
2012-10-16,6.875,target,12.75,IS,2012,long,2753.25,660,target,2.0,0.43636363636363634,3.090909090909091,0.43636363636363634,adverse,22.0,23.0,28.0,30.0,63.0,winner
2012-10-19,12.375,target,23.75,IS,2012,short,2711.0,645,target,2.1414141414141414,0.04040404040404041,3.474747474747475,0.04040404040404041,favorable,4.0,22.0,26.0,31.0,67.0,winner
2012-10-23,7.625,stop,-8.625,IS,2012,short,2653.25,640,stop,0.09836065573770492,1.0163934426229508,0.09836065573770492,3.8688524590163933,adverse,,,,,,loser_or_flat
2012-10-26,10.125,stop,-11.125,IS,2012,short,2644.25,655,stop,1.4320987654320987,1.0123456790123457,1.4320987654320987,2.4691358024691357,favorable,6.0,8.0,69.0,,,loser_or_flat
2012-10-31,9.0,stop,-10.0,IS,2012,short,2637.75,645,stop,0.6666666666666666,1.0,0.6666666666666666,1.0,adverse,16.0,24.0,,,,loser_or_flat
2012-11-07,12.5,time,-0.25,IS,2012,short,2618.5,655,time,1.56,0.58,1.56,0.58,favorable,1.0,3.0,34.0,36.0,,loser_or_flat
2012-11-28,10.375,target,19.75,IS,2012,long,2637.75,640,target,2.0240963855421685,0.43373493975903615,2.674698795180723,0.43373493975903615,favorable,1.0,36.0,97.0,116.0,286.0,winner
2012-12-03,6.0,stop,-7.0,IS,2012,short,2680.75,655,stop,0.3333333333333333,1.0,1.9583333333333333,1.0833333333333333,adverse,37.0,,,,,loser_or_flat
2012-12-05,12.875,stop,-13.875,IS,2012,short,2638.0,635,stop,1.1650485436893203,1.1844660194174756,1.1650485436893203,1.6310679611650485,favorable,5.0,6.0,20.0,,,loser_or_flat
2012-12-07,12.625,time,-2.5,IS,2012,short,2639.0,635,time,0.7524752475247525,0.7920792079207921,0.7524752475247525,0.7920792079207921,adverse,26.0,80.0,,,,loser_or_flat
2012-12-26,5.25,target,9.5,IS,2012,short,2645.5,640,target,2.1904761904761907,0.19047619047619047,4.476190476190476,0.19047619047619047,favorable,7.0,8.0,16.0,20.0,22.0,winner
2012-12-28,6.125,stop,-7.125,IS,2012,long,2620.0,645,stop,1.2244897959183674,1.0204081632653061,1.2244897959183674,3.306122448979592,favorable,0.0,0.0,0.0,,,loser_or_flat
2013-01-08,8.625,stop,-9.625,IS,2013,short,2703.25,640,stop,0.5507246376811594,1.2173913043478262,0.5507246376811594,1.536231884057971,adverse,29.0,39.0,,,,loser_or_flat
