family,horizon_min,state,split,n,eventual_2r_rate,eventual_2r_n
live_base,5,all_live,IS,554,0.2545126353790614,141
state_grid,5,MAE>=0.25R,IS,227,0.2026431718061674,46
state_grid,5,MFE>=0.25R,IS,229,0.34934497816593885,80
state_grid,5,no_MFE>=0.25R,IS,325,0.18769230769230769,61
state_grid,5,MAE>=0.5R,IS,52,0.07692307692307693,4
state_grid,5,MFE>=0.5R,IS,88,0.4772727272727273,42
state_grid,5,no_MFE>=0.5R,IS,466,0.21244635193133046,99
state_grid,5,MAE>=0.75R,IS,10,0.0,0
state_grid,5,MFE>=0.75R,IS,40,0.6,24
state_grid,5,no_MFE>=0.75R,IS,514,0.22762645914396887,117
state_grid,5,MAE>=1.0R,IS,0,,0
state_grid,5,MFE>=1.0R,IS,14,0.7857142857142857,11
state_grid,5,no_MFE>=1.0R,IS,540,0.24074074074074073,130
trajectory,5,favorable_050_before_adverse_025,IS,202,0.39603960396039606,80
trajectory,5,adverse_025_no_recovery_050,IS,120,0.0,0
trajectory,5,adverse_025_then_recover_050,IS,231,0.26406926406926406,61
trajectory,5,no_025_adverse,IS,1,0.0,0
live_base,5,all_live,Validation,164,0.23170731707317074,38
state_grid,5,MAE>=0.25R,Validation,64,0.171875,11
state_grid,5,MFE>=0.25R,Validation,69,0.3188405797101449,22
state_grid,5,no_MFE>=0.25R,Validation,95,0.16842105263157894,16
state_grid,5,MAE>=0.5R,Validation,12,0.08333333333333333,1
state_grid,5,MFE>=0.5R,Validation,28,0.4642857142857143,13
state_grid,5,no_MFE>=0.5R,Validation,136,0.18382352941176472,25
state_grid,5,MAE>=0.75R,Validation,2,0.0,0
state_grid,5,MFE>=0.75R,Validation,7,0.8571428571428571,6
state_grid,5,no_MFE>=0.75R,Validation,157,0.20382165605095542,32
state_grid,5,MAE>=1.0R,Validation,0,,0
state_grid,5,MFE>=1.0R,Validation,5,0.8,4
state_grid,5,no_MFE>=1.0R,Validation,159,0.2138364779874214,34
trajectory,5,favorable_050_before_adverse_025,Validation,61,0.3442622950819672,21
trajectory,5,adverse_025_then_recover_050,Validation,74,0.22972972972972974,17
trajectory,5,adverse_025_no_recovery_050,Validation,29,0.0,0
live_base,5,all_live,OOS,68,0.23529411764705882,16
state_grid,5,MAE>=0.25R,OOS,30,0.3333333333333333,10
state_grid,5,MFE>=0.25R,OOS,39,0.23076923076923078,9
state_grid,5,no_MFE>=0.25R,OOS,29,0.2413793103448276,7
state_grid,5,MAE>=0.5R,OOS,9,0.2222222222222222,2
state_grid,5,MFE>=0.5R,OOS,12,0.3333333333333333,4
state_grid,5,no_MFE>=0.5R,OOS,56,0.21428571428571427,12
