session_date,stop_rule,target_r,split,year,risk_points,exit_kind,net_points
2010-06-07,opposite_ib,0.75,IS,2010,24.0,target,17.0
2010-06-07,opposite_ib,1.0,IS,2010,24.0,target,23.0
2010-06-07,opposite_ib,1.5,IS,2010,24.0,time,20.5
2010-06-07,opposite_ib,2.0,IS,2010,24.0,time,20.5
2010-06-07,0.25x_ib_width,0.75,IS,2010,4.8125,target,2.609375
2010-06-07,0.25x_ib_width,1.0,IS,2010,4.8125,target,3.8125
2010-06-07,0.25x_ib_width,1.5,IS,2010,4.8125,target,6.21875
2010-06-07,0.25x_ib_width,2.0,IS,2010,4.8125,target,8.625
2010-06-07,0.50x_ib_width,0.75,IS,2010,9.625,target,6.21875
2010-06-07,0.50x_ib_width,1.0,IS,2010,9.625,target,8.625
2010-06-07,0.50x_ib_width,1.5,IS,2010,9.625,stop,-10.625
2010-06-07,0.50x_ib_width,2.0,IS,2010,9.625,stop,-10.625
2010-06-07,0.75x_ib_width,0.75,IS,2010,14.4375,target,9.828125
2010-06-07,0.75x_ib_width,1.0,IS,2010,14.4375,target,13.4375
2010-06-07,0.75x_ib_width,1.5,IS,2010,14.4375,target,20.65625
2010-06-07,0.75x_ib_width,2.0,IS,2010,14.4375,time,20.5
2010-06-07,1.00x_ib_width,0.75,IS,2010,19.25,target,13.4375
2010-06-07,1.00x_ib_width,1.0,IS,2010,19.25,target,18.25
2010-06-07,1.00x_ib_width,1.5,IS,2010,19.25,time,20.5
2010-06-07,1.00x_ib_width,2.0,IS,2010,19.25,time,20.5
2010-06-14,opposite_ib,0.75,IS,2010,15.75,stop,-16.75
2010-06-14,opposite_ib,1.0,IS,2010,15.75,stop,-16.75
2010-06-14,opposite_ib,1.5,IS,2010,15.75,stop,-16.75
2010-06-14,opposite_ib,2.0,IS,2010,15.75,stop,-16.75
2010-06-14,0.25x_ib_width,0.75,IS,2010,3.5625,stop,-4.5625
2010-06-14,0.25x_ib_width,1.0,IS,2010,3.5625,stop,-4.5625
2010-06-14,0.25x_ib_width,1.5,IS,2010,3.5625,stop,-4.5625
2010-06-14,0.25x_ib_width,2.0,IS,2010,3.5625,stop,-4.5625
2010-06-14,0.50x_ib_width,0.75,IS,2010,7.125,stop,-8.125
2010-06-14,0.50x_ib_width,1.0,IS,2010,7.125,stop,-8.125
2010-06-14,0.50x_ib_width,1.5,IS,2010,7.125,stop,-8.125
2010-06-14,0.50x_ib_width,2.0,IS,2010,7.125,stop,-8.125
2010-06-14,0.75x_ib_width,0.75,IS,2010,10.6875,stop,-11.6875
2010-06-14,0.75x_ib_width,1.0,IS,2010,10.6875,stop,-11.6875
2010-06-14,0.75x_ib_width,1.5,IS,2010,10.6875,stop,-11.6875
2010-06-14,0.75x_ib_width,2.0,IS,2010,10.6875,stop,-11.6875
2010-06-14,1.00x_ib_width,0.75,IS,2010,14.25,stop,-15.25
2010-06-14,1.00x_ib_width,1.0,IS,2010,14.25,stop,-15.25
2010-06-14,1.00x_ib_width,1.5,IS,2010,14.25,stop,-15.25
2010-06-14,1.00x_ib_width,2.0,IS,2010,14.25,stop,-15.25
2010-06-21,opposite_ib,0.75,IS,2010,13.5,target,9.125
2010-06-21,opposite_ib,1.0,IS,2010,13.5,target,12.5
2010-06-21,opposite_ib,1.5,IS,2010,13.5,target,19.25
2010-06-21,opposite_ib,2.0,IS,2010,13.5,target,26.0
2010-06-21,0.25x_ib_width,0.75,IS,2010,3.25,target,1.4375
2010-06-21,0.25x_ib_width,1.0,IS,2010,3.25,target,2.25
2010-06-21,0.25x_ib_width,1.5,IS,2010,3.25,target,3.875
2010-06-21,0.25x_ib_width,2.0,IS,2010,3.25,target,5.5
2010-06-21,0.50x_ib_width,0.75,IS,2010,6.5,target,3.875
2010-06-21,0.50x_ib_width,1.0,IS,2010,6.5,target,5.5
2010-06-21,0.50x_ib_width,1.5,IS,2010,6.5,target,8.75
2010-06-21,0.50x_ib_width,2.0,IS,2010,6.5,target,12.0
2010-06-21,0.75x_ib_width,0.75,IS,2010,9.75,target,6.3125
2010-06-21,0.75x_ib_width,1.0,IS,2010,9.75,target,8.75
2010-06-21,0.75x_ib_width,1.5,IS,2010,9.75,target,13.625
2010-06-21,0.75x_ib_width,2.0,IS,2010,9.75,target,18.5
2010-06-21,1.00x_ib_width,0.75,IS,2010,13.0,target,8.75
2010-06-21,1.00x_ib_width,1.0,IS,2010,13.0,target,12.0
2010-06-21,1.00x_ib_width,1.5,IS,2010,13.0,target,18.5
2010-06-21,1.00x_ib_width,2.0,IS,2010,13.0,target,25.0
2010-06-28,opposite_ib,0.75,IS,2010,23.5,time,-10.0
2010-06-28,opposite_ib,1.0,IS,2010,23.5,time,-10.0
2010-06-28,opposite_ib,1.5,IS,2010,23.5,time,-10.0
2010-06-28,opposite_ib,2.0,IS,2010,23.5,time,-10.0
2010-06-28,0.25x_ib_width,0.75,IS,2010,5.5,target,3.125
2010-06-28,0.25x_ib_width,1.0,IS,2010,5.5,target,4.5
2010-06-28,0.25x_ib_width,1.5,IS,2010,5.5,stop,-6.5
2010-06-28,0.25x_ib_width,2.0,IS,2010,5.5,stop,-6.5
2010-06-28,0.50x_ib_width,0.75,IS,2010,11.0,time,-10.0
2010-06-28,0.50x_ib_width,1.0,IS,2010,11.0,time,-10.0
2010-06-28,0.50x_ib_width,1.5,IS,2010,11.0,time,-10.0
