filter,period,trades,avg_net_points,win_rate,profit_factor,median_risk,max_risk
baseline_all,Train,1441,-0.9916724496877168,0.4628730048577377,0.8974616557538793,25.5,229.5
baseline_all,Inner_Validation,677,3.5358197932053175,0.5568685376661743,1.1374553180493547,86.5,517.0
baseline_all,Validation,695,4.530935251798561,0.5510791366906475,1.1131980516562718,139.5,632.75
baseline_all,OOS,370,6.3,0.5405405405405406,1.1221506052507468,199.25,594.5
risk_le_50pts,Train,1234,-1.5506482982171799,0.45623987034035657,0.8053407934893184,23.125,50.0
risk_le_50pts,Inner_Validation,138,-2.6105072463768115,0.4420289855072464,0.7840551476097707,39.5,50.0
risk_le_50pts,Validation,4,-11.625,0.5,0.520618556701031,46.125,49.5
risk_le_75pts,Train,1361,-1.1392358559882438,0.4628949301983835,0.8687324062903464,24.5,74.5
risk_le_75pts,Inner_Validation,278,0.23741007194244604,0.49280575539568344,1.0172256296489626,50.25,75.0
risk_le_75pts,Validation,47,-7.058510638297872,0.46808510638297873,0.7556619407107347,61.0,75.0
risk_le_75pts,OOS,6,25.25,0.6666666666666666,2.7264957264957266,68.375,74.5
risk_le_100pts,Train,1406,-1.2482219061166429,0.4615931721194879,0.8649220704252454,25.0,99.75
risk_le_100pts,Inner_Validation,401,1.046134663341646,0.5187032418952618,1.0610137444549488,61.0,99.5
risk_le_100pts,Validation,135,-0.42962962962962964,0.5185185185185185,0.9857782136945994,82.5,99.5
risk_le_100pts,OOS,23,17.402173913043477,0.6521739130434783,1.7738037699371678,84.25,97.75
early_by_1130,Train,970,-0.9188144329896907,0.465979381443299,0.9137993568198853,26.0,201.0
early_by_1130,Inner_Validation,464,3.7952586206896552,0.5560344827586207,1.1338069638888362,87.5,517.0
early_by_1130,Validation,496,8.144153225806452,0.5705645161290323,1.1949471550600839,139.0,632.75
early_by_1130,OOS,266,3.9915413533834587,0.5451127819548872,1.069273178051804,199.375,567.0
vwap_aligned,Train,1441,-0.9916724496877168,0.4628730048577377,0.8974616557538793,25.5,229.5
vwap_aligned,Inner_Validation,677,3.5358197932053175,0.5568685376661743,1.1374553180493547,86.5,517.0
vwap_aligned,Validation,695,4.530935251798561,0.5510791366906475,1.1131980516562718,139.5,632.75
vwap_aligned,OOS,370,6.3,0.5405405405405406,1.1221506052507468,199.25,594.5
strong_5m_breakout,Train,1205,-1.0383817427385893,0.4589211618257261,0.8930052588823806,25.75,229.5
strong_5m_breakout,Inner_Validation,564,3.1950354609929077,0.5531914893617021,1.1272239480372777,88.0,415.75
strong_5m_breakout,Validation,562,3.973309608540925,0.5569395017793595,1.0993935347465642,138.875,431.5
strong_5m_breakout,OOS,278,12.31294964028777,0.5467625899280576,1.2614723574906903,200.5,594.5
narrow_ib_le_0.80x_prior20,Train,432,-1.9513888888888888,0.4537037037037037,0.7560234425873671,17.5,89.5
narrow_ib_le_0.80x_prior20,Inner_Validation,212,2.4150943396226414,0.5094339622641509,1.1261627548820303,61.375,154.0
narrow_ib_le_0.80x_prior20,Validation,178,5.026685393258427,0.5674157303370787,1.1500943594044872,95.25,199.5
narrow_ib_le_0.80x_prior20,OOS,112,-4.229910714285714,0.5267857142857143,0.9079963101422537,130.25,268.25
normal_ib_0.80_to_1.25x_prior20,Train,568,-1.7680457746478873,0.46830985915492956,0.8123247991029714,24.75,118.75
normal_ib_0.80_to_1.25x_prior20,Inner_Validation,266,5.591165413533835,0.5789473684210527,1.2481024272249561,85.625,212.0
normal_ib_0.80_to_1.25x_prior20,Validation,342,5.125,0.5467836257309941,1.130768082963405,138.375,275.5
normal_ib_0.80_to_1.25x_prior20,OOS,149,25.028523489932887,0.5704697986577181,1.6246388342196725,196.0,429.75
