feature,period,bin,n,continuation_rate,failure_rate
ib_vs_prior20,Inner_Validation,Low,82,0.524390243902439,0.47560975609756095
ib_vs_prior20,Inner_Validation,Mid,67,0.5223880597014925,0.4776119402985075
ib_vs_prior20,Inner_Validation,High,74,0.4594594594594595,0.5405405405405406
ib_vs_prior20,OOS,Low,40,0.45,0.55
ib_vs_prior20,OOS,Mid,35,0.6285714285714286,0.37142857142857144
ib_vs_prior20,OOS,High,36,0.5,0.5
ib_vs_prior20,Train,Low,173,0.4682080924855491,0.5317919075144508
ib_vs_prior20,Train,Mid,172,0.45348837209302323,0.5465116279069768
ib_vs_prior20,Train,High,172,0.5290697674418605,0.4709302325581395
ib_vs_prior20,Validation,Low,86,0.5232558139534884,0.4767441860465116
ib_vs_prior20,Validation,Mid,103,0.5436893203883495,0.4563106796116505
ib_vs_prior20,Validation,High,70,0.4857142857142857,0.5142857142857142
signal_delay_min,Inner_Validation,Low,101,0.5346534653465347,0.4653465346534653
signal_delay_min,Inner_Validation,Mid,59,0.4406779661016949,0.5593220338983051
signal_delay_min,Inner_Validation,High,63,0.5079365079365079,0.4920634920634921
signal_delay_min,OOS,Low,53,0.4716981132075472,0.5283018867924528
signal_delay_min,OOS,Mid,29,0.5517241379310345,0.4482758620689655
signal_delay_min,OOS,High,29,0.5862068965517241,0.4137931034482759
signal_delay_min,Train,Low,201,0.5074626865671642,0.4925373134328358
signal_delay_min,Train,Mid,160,0.4625,0.5375
signal_delay_min,Train,High,163,0.4785276073619632,0.5214723926380368
signal_delay_min,Validation,Low,115,0.4782608695652174,0.5217391304347826
signal_delay_min,Validation,Mid,66,0.5909090909090909,0.40909090909090906
signal_delay_min,Validation,High,78,0.5256410256410257,0.47435897435897434
breakout_excess_ib,Inner_Validation,Low,78,0.5256410256410257,0.47435897435897434
breakout_excess_ib,Inner_Validation,Mid,73,0.4657534246575342,0.5342465753424658
breakout_excess_ib,Inner_Validation,High,72,0.5138888888888888,0.48611111111111116
breakout_excess_ib,OOS,Low,52,0.46153846153846156,0.5384615384615384
breakout_excess_ib,OOS,Mid,34,0.6470588235294118,0.3529411764705882
breakout_excess_ib,OOS,High,25,0.48,0.52
breakout_excess_ib,Train,Low,175,0.4685714285714286,0.5314285714285714
breakout_excess_ib,Train,Mid,174,0.4425287356321839,0.5574712643678161
breakout_excess_ib,Train,High,175,0.5428571428571428,0.4571428571428572
breakout_excess_ib,Validation,Low,97,0.5154639175257731,0.48453608247422686
breakout_excess_ib,Validation,Mid,87,0.4942528735632184,0.5057471264367817
breakout_excess_ib,Validation,High,75,0.56,0.43999999999999995
signal_body_fraction,Inner_Validation,Low,75,0.5333333333333333,0.4666666666666667
signal_body_fraction,Inner_Validation,Mid,63,0.5238095238095238,0.47619047619047616
signal_body_fraction,Inner_Validation,High,85,0.4588235294117647,0.5411764705882354
signal_body_fraction,OOS,Low,52,0.46153846153846156,0.5384615384615384
signal_body_fraction,OOS,Mid,31,0.6129032258064516,0.3870967741935484
signal_body_fraction,OOS,High,28,0.5357142857142857,0.4642857142857143
signal_body_fraction,Train,Low,175,0.41714285714285715,0.5828571428571429
signal_body_fraction,Train,Mid,174,0.5114942528735632,0.4885057471264368
signal_body_fraction,Train,High,175,0.5257142857142857,0.4742857142857143
signal_body_fraction,Validation,Low,103,0.4368932038834951,0.5631067961165048
signal_body_fraction,Validation,Mid,74,0.6081081081081081,0.3918918918918919
signal_body_fraction,Validation,High,82,0.5487804878048781,0.4512195121951219
signal_range_ib,Inner_Validation,Low,77,0.4155844155844156,0.5844155844155844
signal_range_ib,Inner_Validation,Mid,80,0.575,0.42500000000000004
signal_range_ib,Inner_Validation,High,66,0.5151515151515151,0.48484848484848486
signal_range_ib,OOS,Low,43,0.46511627906976744,0.5348837209302326
signal_range_ib,OOS,Mid,44,0.6136363636363636,0.38636363636363635
signal_range_ib,OOS,High,24,0.4583333333333333,0.5416666666666667
signal_range_ib,Train,Low,175,0.44,0.56
signal_range_ib,Train,Mid,175,0.4742857142857143,0.5257142857142857
signal_range_ib,Train,High,174,0.5402298850574713,0.45977011494252873
signal_range_ib,Validation,Low,84,0.5119047619047619,0.48809523809523814
signal_range_ib,Validation,Mid,100,0.52,0.48
signal_range_ib,Validation,High,75,0.5333333333333333,0.4666666666666667
signal_vol_vs_ib5mean,Inner_Validation,Low,68,0.5147058823529411,0.4852941176470589
signal_vol_vs_ib5mean,Inner_Validation,Mid,97,0.422680412371134,0.5773195876288659
signal_vol_vs_ib5mean,Inner_Validation,High,58,0.6206896551724138,0.3793103448275862
signal_vol_vs_ib5mean,OOS,Low,44,0.4772727272727273,0.5227272727272727
signal_vol_vs_ib5mean,OOS,Mid,39,0.5384615384615384,0.46153846153846156
signal_vol_vs_ib5mean,OOS,High,28,0.5714285714285714,0.4285714285714286
signal_vol_vs_ib5mean,Train,Low,175,0.46285714285714286,0.5371428571428571
signal_vol_vs_ib5mean,Train,Mid,174,0.46551724137931033,0.5344827586206897
signal_vol_vs_ib5mean,Train,High,175,0.5257142857142857,0.4742857142857143
signal_vol_vs_ib5mean,Validation,Low,91,0.5054945054945055,0.4945054945054945
signal_vol_vs_ib5mean,Validation,Mid,98,0.46938775510204084,0.5306122448979591
signal_vol_vs_ib5mean,Validation,High,70,0.6142857142857143,0.3857142857142857
vwap_distance_ib,Inner_Validation,Low,73,0.4931506849315068,0.5068493150684932
vwap_distance_ib,Inner_Validation,Mid,76,0.5263157894736842,0.4736842105263158
vwap_distance_ib,Inner_Validation,High,74,0.4864864864864865,0.5135135135135135
vwap_distance_ib,OOS,Low,49,0.4489795918367347,0.5510204081632653
vwap_distance_ib,OOS,Mid,39,0.6153846153846154,0.3846153846153846
vwap_distance_ib,OOS,High,23,0.5217391304347826,0.4782608695652174
vwap_distance_ib,Train,Low,175,0.4514285714285714,0.5485714285714286
vwap_distance_ib,Train,Mid,174,0.4540229885057471,0.5459770114942528
vwap_distance_ib,Train,High,175,0.5485714285714286,0.4514285714285714
vwap_distance_ib,Validation,Low,97,0.5257731958762887,0.4742268041237113
vwap_distance_ib,Validation,Mid,80,0.525,0.475
vwap_distance_ib,Validation,High,82,0.5121951219512195,0.4878048780487805
trend_efficiency,Inner_Validation,Low,59,0.3898305084745763,0.6101694915254237
trend_efficiency,Inner_Validation,Mid,70,0.6571428571428571,0.34285714285714286
trend_efficiency,Inner_Validation,High,94,0.4574468085106383,0.5425531914893618
trend_efficiency,OOS,Low,29,0.4827586206896552,0.5172413793103448
trend_efficiency,OOS,Mid,42,0.5952380952380952,0.40476190476190477
trend_efficiency,OOS,High,40,0.475,0.525
trend_efficiency,Train,Low,175,0.4514285714285714,0.5485714285714286
trend_efficiency,Train,Mid,174,0.5,0.5
trend_efficiency,Train,High,175,0.5028571428571429,0.4971428571428571
trend_efficiency,Validation,Low,78,0.5,0.5
trend_efficiency,Validation,Mid,91,0.5714285714285714,0.4285714285714286
trend_efficiency,Validation,High,90,0.4888888888888889,0.5111111111111111
range_sofar_ib,Inner_Validation,Low,82,0.45121951219512196,0.5487804878048781
range_sofar_ib,Inner_Validation,Mid,80,0.575,0.42500000000000004
range_sofar_ib,Inner_Validation,High,61,0.47540983606557374,0.5245901639344263
range_sofar_ib,OOS,Low,50,0.46,0.54
range_sofar_ib,OOS,Mid,37,0.5675675675675675,0.43243243243243246
range_sofar_ib,OOS,High,24,0.5833333333333334,0.41666666666666663
range_sofar_ib,Train,Low,176,0.44886363636363635,0.5511363636363636
range_sofar_ib,Train,Mid,174,0.4885057471264368,0.5114942528735632
range_sofar_ib,Train,High,174,0.5172413793103449,0.48275862068965514
range_sofar_ib,Validation,Low,102,0.5098039215686274,0.4901960784313726
range_sofar_ib,Validation,Mid,88,0.4772727272727273,0.5227272727272727
range_sofar_ib,Validation,High,69,0.5942028985507246,0.4057971014492754
es_confirms,Inner_Validation,Confirms,131,0.5038167938931297,0.4961832061068703
es_confirms,Inner_Validation,Does_not_confirm,92,0.5,0.5
es_confirms,OOS,Confirms,73,0.4931506849315068,0.5068493150684932
es_confirms,OOS,Does_not_confirm,38,0.5789473684210527,0.42105263157894735
es_confirms,Train,Confirms,312,0.44871794871794873,0.5512820512820513
es_confirms,Train,Does_not_confirm,212,0.5377358490566038,0.46226415094339623
