session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2010-06-21,2010,Train,long,0.5663536673451967,679,680,1925.5,1919.75,1932.25,ib_mid,5.75,1.173913043478261,stop,-6.75
2010-06-21,2010,Train,long,0.5663536673451967,679,680,1925.5,1919.75,1938.75,opposite_ib,5.75,2.3043478260869565,stop,-6.75
2010-06-28,2010,Train,short,0.4642887733251759,724,725,1842.5,1851.75,1832.25,ib_mid,9.25,1.1081081081081081,time,5.75
2010-06-28,2010,Train,short,0.4642887733251759,724,725,1842.5,1851.75,1821.25,opposite_ib,9.25,2.2972972972972974,time,5.75
2010-07-06,2010,Train,long,0.37289453856063,759,760,1745.25,1743.0,1754.0,ib_mid,2.25,3.888888888888889,stop,-3.25
2010-07-06,2010,Train,long,0.37289453856063,759,760,1745.25,1743.0,1762.5,opposite_ib,2.25,7.666666666666667,stop,-3.25
2010-08-02,2010,Train,short,0.27231260453094114,904,905,1897.5,1902.0,1888.25,ib_mid,4.5,2.0555555555555554,time,-2.0
2010-08-02,2010,Train,short,0.27231260453094114,904,905,1897.5,1902.0,1878.0,opposite_ib,4.5,4.333333333333333,time,-2.0
2010-08-30,2010,Train,long,0.23988594962775228,824,825,1783.5,1780.75,1790.125,ib_mid,2.75,2.409090909090909,stop,-3.75
2010-08-30,2010,Train,long,0.23988594962775228,824,825,1783.5,1780.75,1798.0,opposite_ib,2.75,5.2727272727272725,stop,-3.75
2010-09-07,2010,Train,long,0.6306372802291079,914,915,1856.5,1853.5,1863.125,ib_mid,3.0,2.2083333333333335,time,-3.25
2010-09-07,2010,Train,long,0.6306372802291079,914,915,1856.5,1853.5,1870.5,opposite_ib,3.0,4.666666666666667,time,-3.25
2010-09-13,2010,Train,short,0.5564366359107391,694,695,1917.75,1921.25,1911.625,ib_mid,3.5,1.75,target,5.125
2010-09-13,2010,Train,short,0.5564366359107391,694,695,1917.75,1921.25,1905.5,opposite_ib,3.5,3.5,stop,-4.5
2010-11-08,2010,Train,short,0.3510465828439673,809,810,2186.5,2189.25,2180.5,ib_mid,2.75,2.1818181818181817,time,1.75
2010-11-08,2010,Train,short,0.3510465828439673,809,810,2186.5,2189.25,2173.5,opposite_ib,2.75,4.7272727272727275,time,1.75
2010-11-15,2010,Train,long,0.6235930302423393,929,930,2131.25,2128.5,2140.375,ib_mid,2.75,3.3181818181818183,stop,-3.75
2010-11-15,2010,Train,long,0.6235930302423393,929,930,2131.25,2128.5,2151.0,opposite_ib,2.75,7.181818181818182,stop,-3.75
2010-12-20,2010,Train,short,0.5344232979946353,909,910,2223.0,2230.25,2215.125,ib_mid,7.25,1.0862068965517242,time,-1.25
2010-12-20,2010,Train,short,0.5344232979946353,909,910,2223.0,2230.25,2205.5,opposite_ib,7.25,2.413793103448276,time,-1.25
2011-01-03,2011,Train,short,0.3866033295563497,664,665,2264.0,2265.75,2251.0,ib_mid,1.75,7.428571428571429,stop,-2.75
2011-01-03,2011,Train,short,0.3866033295563497,664,665,2264.0,2265.75,2237.5,opposite_ib,1.75,15.142857142857142,stop,-2.75
