stop_rule,target_r,filter,period,n,E,PF,win
0.25x_ib_width,0.75,all,Inner,677,-0.6036742983751846,0.9385640196925852,0.5805022156573116
0.25x_ib_width,0.75,all,OOS,370,-2.357305743243243,0.8981896243552612,0.5594594594594594
0.25x_ib_width,0.75,all,Train,1441,-0.6392262317834837,0.810109131202247,0.5968077723802915
0.25x_ib_width,0.75,all,Validation,695,0.7284397482014389,1.0515663594000662,0.5942446043165468
0.25x_ib_width,0.75,early,Inner,464,-0.08869881465517242,0.990815515293527,0.6012931034482759
0.25x_ib_width,0.75,early,OOS,266,-1.5525728383458646,0.930927517143335,0.5789473684210527
0.25x_ib_width,0.75,early,Train,970,-0.7183795103092784,0.7909698526378942,0.5948453608247423
0.25x_ib_width,0.75,early,Validation,496,0.3104523689516129,1.0213221230819824,0.5907258064516129
0.25x_ib_width,0.75,high_volume,Inner,195,0.7764423076923077,1.091584439151639,0.6
0.25x_ib_width,0.75,high_volume,OOS,85,3.749080882352941,1.20253227408143,0.6
0.25x_ib_width,0.75,high_volume,Train,481,-0.9130392411642412,0.7439137723677977,0.5966735966735967
0.25x_ib_width,0.75,high_volume,Validation,188,3.728474069148936,1.3270324254971715,0.6542553191489362
0.25x_ib_width,0.75,highvol_early,Inner,167,1.7906998502994012,1.2204141330385112,0.6167664670658682
0.25x_ib_width,0.75,highvol_early,OOS,69,6.394927536231884,1.37283481199831,0.6376811594202898
0.25x_ib_width,0.75,highvol_early,Train,387,-0.9175952842377261,0.746960452480627,0.6046511627906976
0.25x_ib_width,0.75,highvol_early,Validation,164,4.736661585365853,1.4337008863144671,0.6646341463414634
0.25x_ib_width,0.75,low_volume,Inner,210,-1.011830357142857,0.8966704151723299,0.5666666666666667
0.25x_ib_width,0.75,low_volume,OOS,136,-6.538258272058823,0.7490032284812025,0.5
0.25x_ib_width,0.75,low_volume,Train,481,-0.7200818607068608,0.7813042620363062,0.5696465696465697
0.25x_ib_width,0.75,low_volume,Validation,201,-0.016868781094527364,0.9988287490824301,0.5671641791044776
0.25x_ib_width,1.0,all,Inner,677,0.31591580502215655,1.0287107031689167,0.5317577548005908
0.25x_ib_width,1.0,all,OOS,370,-0.23293918918918918,0.9908306902581903,0.5108108108108108
0.25x_ib_width,1.0,all,Train,1441,-0.6154146426092991,0.8448221179610005,0.5225537820957669
0.25x_ib_width,1.0,all,Validation,695,1.397931654676259,1.0854214748873503,0.5352517985611511
0.25x_ib_width,1.0,early,Inner,464,0.8017241379310345,1.0732815404882974,0.5495689655172413
0.25x_ib_width,1.0,early,OOS,266,-0.02655075187969925,0.9989494040424701,0.5225563909774437
0.25x_ib_width,1.0,early,Train,970,-0.6658505154639175,0.8346083672097564,0.5257731958762887
0.25x_ib_width,1.0,early,Validation,496,1.6175655241935485,1.098011070815041,0.5383064516129032
0.25x_ib_width,1.0,high_volume,Inner,195,1.0423076923076924,1.1041439825786203,0.5487179487179488
0.25x_ib_width,1.0,high_volume,OOS,85,1.7397058823529412,1.0743207161928694,0.5176470588235295
0.25x_ib_width,1.0,high_volume,Train,481,-0.7353170478170478,0.8197655901649786,0.525987525987526
0.25x_ib_width,1.0,high_volume,Validation,188,5.040558510638298,1.3774270636264065,0.5904255319148937
0.25x_ib_width,1.0,highvol_early,Inner,167,1.938622754491018,1.1973333333333334,0.562874251497006
0.25x_ib_width,1.0,highvol_early,OOS,69,3.6340579710144927,1.16044149404143,0.5507246376811594
0.25x_ib_width,1.0,highvol_early,Train,387,-0.7443475452196382,0.8208357628765792,0.5348837209302325
0.25x_ib_width,1.0,highvol_early,Validation,164,6.432545731707317,1.5041818507676683,0.6036585365853658
0.25x_ib_width,1.0,low_volume,Inner,210,-0.7285714285714285,0.9346136381847806,0.5142857142857142
0.25x_ib_width,1.0,low_volume,OOS,136,-3.913143382352941,0.8566860220483044,0.4632352941176471
0.25x_ib_width,1.0,low_volume,Train,481,-1.0146829521829521,0.7482429557031401,0.4781704781704782
0.25x_ib_width,1.0,low_volume,Validation,201,-0.9244402985074627,0.9468860542394684,0.48756218905472637
0.25x_ib_width,1.5,all,Inner,677,1.581887001477105,1.123723771426921,0.4519940915805022
0.25x_ib_width,1.5,all,OOS,370,1.7981418918918919,1.0619507652912763,0.4297297297297297
0.25x_ib_width,1.5,all,Train,1441,-0.3374175919500347,0.9271875555721947,0.4302567661346287
0.25x_ib_width,1.5,all,Validation,695,2.5261690647482014,1.1309438905126161,0.4503597122302158
0.25x_ib_width,1.5,early,Inner,464,1.5542160560344827,1.1187931762259218,0.4547413793103448
0.25x_ib_width,1.5,early,OOS,266,0.7644501879699248,1.0256759316255504,0.42105263157894735
0.25x_ib_width,1.5,early,Train,970,-0.47306701030927834,0.9012202833425269,0.42577319587628865
0.25x_ib_width,1.5,early,Validation,496,2.8551537298387095,1.1456164365954602,0.45161290322580644
0.25x_ib_width,1.5,high_volume,Inner,195,2.492628205128205,1.2125037571385633,0.4564102564102564
0.25x_ib_width,1.5,high_volume,OOS,85,3.5606617647058822,1.1311903987863026,0.4
0.25x_ib_width,1.5,high_volume,Train,481,-0.40819906444906445,0.9150854146394205,0.4282744282744283
0.25x_ib_width,1.5,high_volume,Validation,188,4.47406914893617,1.2560210021687022,0.4627659574468085
0.25x_ib_width,1.5,highvol_early,Inner,167,3.717065868263473,1.3221432973306089,0.47305389221556887
