period,exc_bin,n,mfe60,mae60,net
Inner,Low,177,0.24531805404731502,0.33578998963180723,-0.09047193558449221
Inner,Mid,169,0.2821056286788611,0.38146067398358535,-0.09935504530472435
Inner,High,152,0.39078365248371655,0.4027327230963493,-0.011949070612632699
OOS,Low,119,0.2450576967351347,0.27729866842292256,-0.03224097168778785
OOS,Mid,87,0.32368155500530366,0.39594316773355676,-0.07226161272825311
OOS,High,73,0.37514692218174933,0.36981374516188587,0.005333177019863482
Train,Low,338,0.22454024711504006,0.3507242687350766,-0.12618402162003656
Train,Mid,337,0.30670119241316923,0.32297098694175974,-0.016269794528590557
Train,High,338,0.4249470643904776,0.35694803893941085,0.06799902545106677
Validation,Low,190,0.2513566900218495,0.3105976221500805,-0.059240932128231026
Validation,Mid,189,0.3033869959452398,0.3578184533183625,-0.054431457373122674
Validation,High,149,0.39232759188376953,0.34757816534306873,0.04474942654070082
