session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib
2010-06-07,2010,Train,-1,654,684,724,40,725,19.25,0.7792207792207793,14,0.07792207792207792,1.3692109162166037,0.12987012987012986,0.2857142857142857,-0.15584415584415584
2010-06-21,2010,Train,-1,649,664,679,15,680,13.0,0.4423076923076923,6,0.019230769230769232,0.5663536673451967,0.19230769230769232,0.7115384615384616,-0.5192307692307693
2010-06-28,2010,Train,1,664,704,724,20,725,22.0,0.375,12,0.022727272727272728,0.4642887733251759,0.20454545454545456,0.125,0.07954545454545456
2010-07-06,2010,Train,-1,754,754,759,5,760,17.0,0.1323529411764706,1,0.0,0.37289453856063,0.029411764705882353,0.7352941176470589,-0.7058823529411765
2010-07-12,2010,Train,-1,669,674,674,0,675,20.5,0.12195121951219512,1,0.10975609756097561,0.8036228664784534,0.17073170731707318,0.25609756097560976,-0.08536585365853658
2010-07-19,2010,Train,-1,649,659,664,5,665,20.0,0.2875,3,0.1875,0.6371872192993712,0.325,0.05,0.275
2010-07-26,2010,Train,1,679,679,684,5,685,15.25,0.16393442622950818,1,0.01639344262295082,0.7201067954993325,0.03278688524590164,0.32786885245901637,-0.29508196721311475
2010-08-16,2010,Train,1,634,644,664,20,665,26.25,0.1523809523809524,6,0.08571428571428572,0.7971500725901888,0.0761904761904762,0.2,-0.12380952380952381
2010-08-30,2010,Train,-1,819,824,824,0,825,15.75,0.07936507936507936,1,0.07936507936507936,0.23988594962775228,0.15873015873015872,0.31746031746031744,-0.15873015873015872
2010-09-13,2010,Train,1,644,649,694,45,695,12.25,0.2653061224489796,10,0.0,0.5564366359107391,0.6938775510204082,0.08163265306122448,0.6122448979591837
2010-09-27,2010,Train,-1,674,679,684,5,685,9.0,0.19444444444444445,2,0.05555555555555555,0.9748831553748527,0.3055555555555556,0.25,0.05555555555555558
2010-11-01,2010,Train,-1,664,699,829,130,830,15.5,0.7096774193548387,33,0.03225806451612903,1.4030460133061142,0.06451612903225806,0.5161290322580645,-0.45161290322580644
2010-11-08,2010,Train,1,804,809,809,0,810,14.0,0.10714285714285714,1,0.07142857142857142,0.3510465828439673,0.23214285714285715,0.14285714285714285,0.0892857142857143
