period,side,geometry,n,mfe60,mae60,net,p_mfe_025,p_mfe_050
Inner,downside_failure_long,large_excursion_strong_rejection,1,0.1070110701107011,0.988929889298893,-0.8819188191881919,0.0,0.0
Inner,downside_failure_long,other,214,0.3141382696601221,0.44662743798509796,-0.13248916832497584,0.5420560747663551,0.1822429906542056
Inner,upside_failure_short,large_excursion_strong_rejection,9,0.6070331250428482,0.35104332349305256,0.2559898015497957,0.8888888888888888,0.4444444444444444
Inner,upside_failure_short,other,274,0.2835779674739588,0.31164403083632686,-0.028066063362368047,0.4051094890510949,0.16058394160583941
OOS,downside_failure_long,large_excursion_strong_rejection,4,0.5342290071756333,0.5095050471238665,0.02472396005176669,0.75,0.5
OOS,downside_failure_long,other,112,0.3096809557408804,0.37204907059012565,-0.06236811484924528,0.5089285714285714,0.16964285714285715
OOS,upside_failure_short,large_excursion_strong_rejection,3,1.0110120907144136,0.19728966366190512,0.8137224270525083,1.0,0.6666666666666666
OOS,upside_failure_short,other,160,0.28033541982741106,0.31339134653993517,-0.03305592671252413,0.4875,0.14375
Train,downside_failure_long,large_excursion_strong_rejection,13,0.6459317588227876,0.6097829537793006,0.03614880504348717,0.8461538461538461,0.46153846153846156
Train,downside_failure_long,other,455,0.3216840970238968,0.38488621271247503,-0.06320211568857823,0.4945054945054945,0.1956043956043956
Train,upside_failure_short,large_excursion_strong_rejection,10,0.5959860032673907,0.41363018271420804,0.1823558205531826,0.5,0.3
Train,upside_failure_short,other,535,0.30310612353057903,0.30065001043532835,0.002456113095250685,0.4411214953271028,0.18317757009345795
Validation,downside_failure_long,large_excursion_strong_rejection,7,0.26886199397801913,0.929332575348716,-0.6604705813706966,0.2857142857142857,0.2857142857142857
Validation,downside_failure_long,other,250,0.3015170391506493,0.336661959291413,-0.035144920140763675,0.492,0.192
Validation,upside_failure_short,large_excursion_strong_rejection,2,0.30646556868361374,0.2584884831125432,0.047977085571070555,0.5,0.5
Validation,upside_failure_short,other,269,0.3185148685710323,0.32432188738023676,-0.005807018809204476,0.46096654275092935,0.22676579925650558
