candidate,session_date,year,period,side,signal_ts,entry_ts,exit_ts,entry,exit,stop_points,target_points,exit_kind,gross_points,net_dollars
opening_range_fade,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 12:59:00-04:00,1868.0,1863.375,87.5,4.625,target,4.625,7.25
extension_5m_fade_1p5r,2010-06-14,2010,Train,long,2010-06-14 12:39:00-04:00,2010-06-14 12:40:00-04:00,2010-06-14 15:55:00-04:00,1867.0,1845.25,100.0,150.0,time,-21.75,-45.5
opening_range_fade,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 10:10:00-04:00,1937.0,1931.875,87.5,5.125,target,5.125,8.25
extension_5m_fade_1p5r,2010-06-21,2010,Train,long,2010-06-21 12:09:00-04:00,2010-06-21 12:10:00-04:00,2010-06-21 15:55:00-04:00,1918.0,1892.25,100.0,150.0,time,-25.75,-53.5
opening_range_fade,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 10:41:00-04:00,1828.5,1835.0,87.5,6.5,target,6.5,11.0
extension_5m_fade_1p5r,2010-06-28,2010,Train,long,2010-06-28 12:39:00-04:00,2010-06-28 12:40:00-04:00,2010-06-28 15:55:00-04:00,1840.5,1835.0,100.0,150.0,time,-5.5,-13.0
opening_range_fade,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 11:29:00-04:00,1721.25,1720.0,87.5,1.75,time,-1.25,-4.5
extension_5m_fade_1p5r,2010-07-05,2010,Train,long,2010-07-05 11:19:00-04:00,2010-07-05 11:20:00-04:00,2010-07-05 11:29:00-04:00,1719.25,1720.0,100.0,150.0,time,0.75,-0.5
opening_range_fade,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 11:27:00-04:00,1754.0,1750.5,87.5,3.5,target,3.5,5.0
extension_5m_fade_1p5r,2010-07-06,2010,Train,long,2010-07-06 12:24:00-04:00,2010-07-06 12:25:00-04:00,2010-07-06 15:55:00-04:00,1748.0,1725.5,100.0,150.0,time,-22.5,-47.0
opening_range_fade,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 13:33:00-04:00,1809.25,1819.5,87.5,10.25,target,10.25,18.5
extension_5m_fade_1p5r,2010-07-12,2010,Train,short,2010-07-12 12:39:00-04:00,2010-07-12 12:40:00-04:00,2010-07-12 15:55:00-04:00,1816.25,1818.25,100.0,150.0,time,-2.0,-6.0
opening_range_fade,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 14:25:00-04:00,1806.0,1812.25,87.5,6.25,target,6.25,10.5
extension_5m_fade_1p5r,2010-07-19,2010,Train,short,2010-07-19 12:49:00-04:00,2010-07-19 12:50:00-04:00,2010-07-19 15:55:00-04:00,1810.0,1816.75,100.0,150.0,time,-6.75,-15.5
opening_range_fade,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 15:55:00-04:00,1874.25,1887.0,87.5,3.375,time,-12.75,-27.5
extension_5m_fade_1p5r,2010-07-26,2010,Train,short,2010-07-26 11:44:00-04:00,2010-07-26 11:45:00-04:00,2010-07-26 15:55:00-04:00,1884.25,1887.0,100.0,150.0,time,-2.75,-7.5
extension_5m_fade_1p5r,2010-08-02,2010,Train,long,2010-08-02 12:29:00-04:00,2010-08-02 12:30:00-04:00,2010-08-02 15:55:00-04:00,1894.25,1897.0,100.0,150.0,time,2.75,3.5
opening_range_fade,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:55:00-04:00,1913.0,1914.25,87.5,5.5,time,-1.25,-4.5
extension_5m_fade_1p5r,2010-08-09,2010,Train,short,2010-08-09 11:34:00-04:00,2010-08-09 11:35:00-04:00,2010-08-09 15:55:00-04:00,1911.5,1914.25,100.0,150.0,time,-2.75,-7.5
opening_range_fade,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:55:00-04:00,1820.25,1820.0,87.5,9.875,time,0.25,-1.5
extension_5m_fade_1p5r,2010-08-16,2010,Train,short,2010-08-16 12:29:00-04:00,2010-08-16 12:30:00-04:00,2010-08-16 15:55:00-04:00,1831.25,1820.0,100.0,150.0,time,11.25,20.5
