candidate,session_date,year,period,side,signal_ts,entry_ts,exit_ts,entry,exit,stop_points,target,exit_kind,gross_points,net_dollars
fixed_1r,2010-06-07,2010,Train,short,2010-06-07 10:13:00-04:00,2010-06-07 10:14:00-04:00,2010-06-07 15:55:00-04:00,1842.75,1801.0,87.5,87.5pt,session_time,41.75,81.5
fixed_1p5r,2010-06-07,2010,Train,short,2010-06-07 10:13:00-04:00,2010-06-07 10:14:00-04:00,2010-06-07 15:55:00-04:00,1842.75,1801.0,87.5,131.25pt,session_time,41.75,81.5
fixed_2r,2010-06-07,2010,Train,short,2010-06-07 10:13:00-04:00,2010-06-07 10:14:00-04:00,2010-06-07 15:55:00-04:00,1842.75,1801.0,87.5,175.0pt,session_time,41.75,81.5
partial_midpoint_1p5r,2010-06-07,2010,Train,short,2010-06-07 10:13:00-04:00,2010-06-07 10:14:00-04:00,2010-06-07 15:55:00-04:00,1842.75,,87.5,50% midpoint / 50% 1.5R,target / session_time,24.625,47.25
timeboxed_1r_30m,2010-06-07,2010,Train,short,2010-06-07 10:13:00-04:00,2010-06-07 10:14:00-04:00,2010-06-07 10:44:00-04:00,1842.75,1828.75,87.5,87.5pt,timebox,14.0,26.0
fixed_1r,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 15:55:00-04:00,1868.0,1845.25,87.5,87.5pt,session_time,22.75,43.5
fixed_1p5r,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 15:55:00-04:00,1868.0,1845.25,87.5,131.25pt,session_time,22.75,43.5
fixed_2r,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 15:55:00-04:00,1868.0,1845.25,87.5,175.0pt,session_time,22.75,43.5
partial_midpoint_1p5r,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 15:55:00-04:00,1868.0,,87.5,50% midpoint / 50% 1.5R,target / session_time,13.6875,25.375
timeboxed_1r_30m,2010-06-14,2010,Train,short,2010-06-14 10:14:00-04:00,2010-06-14 10:15:00-04:00,2010-06-14 10:45:00-04:00,1868.0,1867.0,87.5,87.5pt,timebox,1.0,0.0
fixed_1r,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 15:55:00-04:00,1937.0,1892.25,87.5,87.5pt,session_time,44.75,87.5
fixed_1p5r,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 15:55:00-04:00,1937.0,1892.25,87.5,131.25pt,session_time,44.75,87.5
fixed_2r,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 15:55:00-04:00,1937.0,1892.25,87.5,175.0pt,session_time,44.75,87.5
partial_midpoint_1p5r,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 15:55:00-04:00,1937.0,,87.5,50% midpoint / 50% 1.5R,target / session_time,24.9375,47.875
timeboxed_1r_30m,2010-06-21,2010,Train,short,2010-06-21 10:01:00-04:00,2010-06-21 10:02:00-04:00,2010-06-21 10:32:00-04:00,1937.0,1928.5,87.5,87.5pt,timebox,8.5,15.0
fixed_1r,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 15:55:00-04:00,1828.5,1835.0,87.5,87.5pt,session_time,6.5,11.0
fixed_1p5r,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 15:55:00-04:00,1828.5,1835.0,87.5,131.25pt,session_time,6.5,11.0
fixed_2r,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 15:55:00-04:00,1828.5,1835.0,87.5,175.0pt,session_time,6.5,11.0
partial_midpoint_1p5r,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 15:55:00-04:00,1828.5,,87.5,50% midpoint / 50% 1.5R,target / session_time,6.5,11.0
timeboxed_1r_30m,2010-06-28,2010,Train,long,2010-06-28 10:22:00-04:00,2010-06-28 10:23:00-04:00,2010-06-28 10:53:00-04:00,1828.5,1840.0,87.5,87.5pt,timebox,11.5,21.0
fixed_1r,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 11:29:00-04:00,1721.25,1720.0,87.5,87.5pt,session_time,-1.25,-4.5
fixed_1p5r,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 11:29:00-04:00,1721.25,1720.0,87.5,131.25pt,session_time,-1.25,-4.5
fixed_2r,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 11:29:00-04:00,1721.25,1720.0,87.5,175.0pt,session_time,-1.25,-4.5
partial_midpoint_1p5r,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 11:29:00-04:00,1721.25,,87.5,50% midpoint / 50% 1.5R,session_time / session_time,-1.25,-4.5
timeboxed_1r_30m,2010-07-05,2010,Train,long,2010-07-05 10:09:00-04:00,2010-07-05 10:10:00-04:00,2010-07-05 10:40:00-04:00,1721.25,1721.5,87.5,87.5pt,timebox,0.25,-1.5
fixed_1r,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 15:55:00-04:00,1754.0,1725.5,87.5,87.5pt,session_time,28.5,55.0
fixed_1p5r,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 15:55:00-04:00,1754.0,1725.5,87.5,131.25pt,session_time,28.5,55.0
fixed_2r,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 15:55:00-04:00,1754.0,1725.5,87.5,175.0pt,session_time,28.5,55.0
partial_midpoint_1p5r,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 15:55:00-04:00,1754.0,,87.5,50% midpoint / 50% 1.5R,target / session_time,16.0,30.0
timeboxed_1r_30m,2010-07-06,2010,Train,short,2010-07-06 11:07:00-04:00,2010-07-06 11:08:00-04:00,2010-07-06 11:38:00-04:00,1754.0,1754.75,87.5,87.5pt,timebox,-0.75,-3.5
fixed_1r,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 15:55:00-04:00,1809.25,1818.25,87.5,87.5pt,session_time,9.0,16.0
fixed_1p5r,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 15:55:00-04:00,1809.25,1818.25,87.5,131.25pt,session_time,9.0,16.0
fixed_2r,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 15:55:00-04:00,1809.25,1818.25,87.5,175.0pt,session_time,9.0,16.0
partial_midpoint_1p5r,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 15:55:00-04:00,1809.25,,87.5,50% midpoint / 50% 1.5R,target / session_time,9.625,17.25
timeboxed_1r_30m,2010-07-12,2010,Train,long,2010-07-12 11:12:00-04:00,2010-07-12 11:13:00-04:00,2010-07-12 11:43:00-04:00,1809.25,1810.75,87.5,87.5pt,timebox,1.5,1.0
fixed_1r,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 15:55:00-04:00,1806.0,1816.75,87.5,87.5pt,session_time,10.75,19.5
fixed_1p5r,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 15:55:00-04:00,1806.0,1816.75,87.5,131.25pt,session_time,10.75,19.5
fixed_2r,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 15:55:00-04:00,1806.0,1816.75,87.5,175.0pt,session_time,10.75,19.5
partial_midpoint_1p5r,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 15:55:00-04:00,1806.0,,87.5,50% midpoint / 50% 1.5R,target / session_time,8.5,15.0
timeboxed_1r_30m,2010-07-19,2010,Train,long,2010-07-19 10:14:00-04:00,2010-07-19 10:15:00-04:00,2010-07-19 10:45:00-04:00,1806.0,1802.0,87.5,87.5pt,timebox,-4.0,-10.0
fixed_1r,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 15:55:00-04:00,1874.25,1887.0,87.5,87.5pt,session_time,-12.75,-27.5
fixed_1p5r,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 15:55:00-04:00,1874.25,1887.0,87.5,131.25pt,session_time,-12.75,-27.5
fixed_2r,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 15:55:00-04:00,1874.25,1887.0,87.5,175.0pt,session_time,-12.75,-27.5
partial_midpoint_1p5r,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 15:55:00-04:00,1874.25,,87.5,50% midpoint / 50% 1.5R,session_time / session_time,-12.75,-27.5
timeboxed_1r_30m,2010-07-26,2010,Train,short,2010-07-26 10:21:00-04:00,2010-07-26 10:22:00-04:00,2010-07-26 10:52:00-04:00,1874.25,1875.25,87.5,87.5pt,timebox,-1.0,-4.0
fixed_1r,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:55:00-04:00,1913.0,1914.25,87.5,87.5pt,session_time,-1.25,-4.5
fixed_1p5r,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:55:00-04:00,1913.0,1914.25,87.5,131.25pt,session_time,-1.25,-4.5
fixed_2r,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:55:00-04:00,1913.0,1914.25,87.5,175.0pt,session_time,-1.25,-4.5
partial_midpoint_1p5r,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:55:00-04:00,1913.0,,87.5,50% midpoint / 50% 1.5R,session_time / session_time,-1.25,-4.5
timeboxed_1r_30m,2010-08-09,2010,Train,short,2010-08-09 14:35:00-04:00,2010-08-09 14:36:00-04:00,2010-08-09 15:06:00-04:00,1913.0,1916.0,87.5,87.5pt,timebox,-3.0,-8.0
fixed_1r,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:55:00-04:00,1820.25,1820.0,87.5,87.5pt,session_time,0.25,-1.5
fixed_1p5r,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:55:00-04:00,1820.25,1820.0,87.5,131.25pt,session_time,0.25,-1.5
fixed_2r,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:55:00-04:00,1820.25,1820.0,87.5,175.0pt,session_time,0.25,-1.5
partial_midpoint_1p5r,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:55:00-04:00,1820.25,,87.5,50% midpoint / 50% 1.5R,session_time / session_time,0.25,-1.5
timeboxed_1r_30m,2010-08-16,2010,Train,short,2010-08-16 14:42:00-04:00,2010-08-16 14:43:00-04:00,2010-08-16 15:13:00-04:00,1820.25,1812.75,87.5,87.5pt,timebox,7.5,13.0
fixed_1r,2010-08-23,2010,Train,long,2010-08-23 10:06:00-04:00,2010-08-23 10:07:00-04:00,2010-08-23 15:55:00-04:00,1834.0,1809.0,87.5,87.5pt,session_time,-25.0,-52.0
fixed_1p5r,2010-08-23,2010,Train,long,2010-08-23 10:06:00-04:00,2010-08-23 10:07:00-04:00,2010-08-23 15:55:00-04:00,1834.0,1809.0,87.5,131.25pt,session_time,-25.0,-52.0
fixed_2r,2010-08-23,2010,Train,long,2010-08-23 10:06:00-04:00,2010-08-23 10:07:00-04:00,2010-08-23 15:55:00-04:00,1834.0,1809.0,87.5,175.0pt,session_time,-25.0,-52.0
partial_midpoint_1p5r,2010-08-23,2010,Train,long,2010-08-23 10:06:00-04:00,2010-08-23 10:07:00-04:00,2010-08-23 15:55:00-04:00,1834.0,,87.5,50% midpoint / 50% 1.5R,session_time / session_time,-25.0,-52.0
