session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r,period,sd_x,ibvol,sd_y,bucket,vol,close_min,relvol
2010-06-07,2010,IS,short,1845.5,1826.25,19.25,654,655,1821.5,1845.5,1797.5,24.0,930,1797.5,target,24.0,1.0,23.0,0.9583333333333334,Train,2010-06-07,62769,2010-06-07,16,7162,654,1.3692109162166037
2010-08-23,2010,IS,short,1842.75,1819.5,23.25,644,645,1816.25,1842.75,1789.75,26.5,955,1809.0,time,7.25,1.0,6.25,0.2358490566037736,Train,2010-08-23,73610,2010-08-23,14,5868,644,0.9566091563646243
2010-09-27,2010,IS,short,2021.25,2012.25,9.0,674,675,2012.0,2021.25,2002.75,9.25,835,2021.25,stop,-9.25,1.0,-10.25,-1.108108108108108,Train,2010-09-27,52634,2010-09-27,20,4276,674,0.9748831553748527
2010-11-01,2010,IS,short,2146.5,2131.0,15.5,664,665,2130.75,2146.5,2115.0,15.75,915,2115.0,target,15.75,1.0,14.75,0.9365079365079364,Train,2010-11-01,68089,2010-11-01,18,7961,664,1.4030460133061142
2011-01-24,2011,IS,long,2279.25,2267.0,12.25,664,665,2281.25,2267.0,2295.5,14.25,725,2295.5,target,14.25,1.0,13.25,0.9298245614035088,Train,2011-01-24,45454,2011-01-24,18,5491,664,1.4496413956967482
2011-02-28,2011,IS,short,2363.0,2354.0,9.0,689,690,2352.5,2363.0,2342.0,10.5,781,2342.0,target,10.5,1.0,9.5,0.9047619047619048,Train,2011-02-28,41907,2011-02-28,23,4444,689,1.2725320352208462
2011-03-07,2011,IS,short,2371.25,2355.0,16.25,639,640,2347.75,2371.25,2324.25,23.5,697,2324.25,target,23.5,1.0,22.5,0.9574468085106383,Train,2011-03-07,61053,2011-03-07,13,5860,639,1.1517861530145939
2011-03-14,2011,IS,short,2300.75,2282.75,18.0,659,660,2279.75,2300.75,2258.75,21.0,955,2288.75,time,-9.0,1.0,-10.0,-0.4761904761904761,Train,2011-03-14,73868,2011-03-14,17,7181,659,1.1665673904803162
2011-03-25,2011,IS,long,2319.25,2311.25,8.0,634,635,2321.5,2311.25,2331.75,10.25,955,2314.25,time,-7.25,1.0,-8.25,-0.8048780487804879,Train,2011-03-25,52034,2011-03-25,12,5511,634,1.2709382326940077
2011-05-02,2011,IS,long,2412.25,2400.5,11.75,634,635,2414.0,2400.5,2427.5,13.5,743,2400.5,stop,-13.5,1.0,-14.5,-1.0740740740740742,Train,2011-05-02,61056,2011-05-02,12,5132,634,1.0086477987421383
2011-10-31,2011,IS,long,2379.0,2364.5,14.5,634,635,2379.75,2364.5,2395.0,15.25,919,2364.5,stop,-15.25,1.0,-16.25,-1.0655737704918034,Train,2011-10-31,36379,2011-10-31,12,3117,634,1.02817559581077
2011-11-07,2011,IS,short,2362.25,2342.25,20.0,634,635,2340.25,2362.25,2318.25,22.0,910,2362.25,stop,-22.0,1.0,-23.0,-1.0454545454545454,Train,2011-11-07,41321,2011-11-07,12,3779,634,1.097456499116672
2011-12-19,2011,IS,short,2247.0,2236.5,10.5,649,650,2234.75,2247.0,2222.5,12.25,702,2222.5,target,12.25,1.0,11.25,0.9183673469387756,Train,2011-12-19,29484,2011-12-19,15,5219,649,2.1241351241351243
2012-01-09,2012,IS,short,2360.75,2349.0,11.75,649,650,2347.5,2360.75,2334.25,13.25,955,2347.25,time,0.25,1.0,-0.75,-0.0566037735849056,Train,2012-01-09,31856,2012-01-09,15,3009,649,1.1334756403817179
2012-01-30,2012,IS,long,2442.75,2429.25,13.5,649,650,2445.25,2429.25,2461.25,16.0,817,2461.25,target,16.0,1.0,15.0,0.9375,Train,2012-01-30,49753,2012-01-30,15,6585,649,1.5882459349184974
2012-02-13,2012,IS,short,2567.25,2557.25,10.0,634,635,2554.25,2567.25,2541.25,13.0,851,2567.25,stop,-13.0,1.0,-14.0,-1.0769230769230769,Train,2012-02-13,42633,2012-02-13,12,6143,634,1.7290831046372528
2012-02-27,2012,IS,long,2598.5,2578.75,19.75,644,645,2602.0,2578.75,2625.25,23.25,955,2608.0,time,6.0,1.0,5.0,0.2150537634408602,Train,2012-02-27,57126,2012-02-27,14,5410,644,1.1364352483982776
2012-03-05,2012,IS,short,2643.0,2626.75,16.25,659,660,2625.25,2643.0,2607.5,17.75,677,2607.5,target,17.75,1.0,16.75,0.943661971830986,Train,2012-03-05,43214,2012-03-05,17,4181,659,1.1610126347942797
2012-03-12,2012,IS,short,2646.5,2637.25,9.25,634,635,2635.0,2646.5,2623.5,11.5,955,2640.25,time,-5.25,1.0,-6.25,-0.5434782608695652,Train,2012-03-12,39532,2012-03-12,12,3607,634,1.0949104522918143
2012-05-14,2012,IS,long,2597.5,2583.5,14.0,689,690,2602.5,2583.5,2621.5,19.0,955,2588.0,time,-14.5,1.0,-15.5,-0.8157894736842105,Train,2012-05-14,72505,2012-05-14,23,9059,689,1.4993172884628647
2012-05-21,2012,IS,long,2503.5,2476.25,27.25,634,635,2509.75,2476.25,2543.25,33.5,922,2543.25,target,33.5,1.0,32.5,0.9701492537313432,Train,2012-05-21,78644,2012-05-21,12,7080,634,1.0803112761304103
2012-06-18,2012,IS,long,2582.5,2549.25,33.25,649,650,2583.0,2549.25,2616.75,33.75,955,2584.5,time,1.5,1.0,0.5,0.0148148148148148,Train,2012-06-18,44684,2012-06-18,15,4733,649,1.2710589920329425
2012-07-16,2012,IS,long,2578.25,2561.25,17.0,674,675,2580.25,2561.25,2599.25,19.0,955,2569.75,time,-10.5,1.0,-11.5,-0.6052631578947368,Train,2012-07-16,32343,2012-07-16,20,5339,674,1.9808923105463314
