candidate,family,session_date,year,period,signal_ts,entry_ts,exit_ts,side,entry,exit,natural_stop_dollars,stop_dollars,target_dollars,exit_kind,net_dollars,zscore
A1_inside_1R,A,2010-06-07,2010,Train,2010-06-07 12:29:00-04:00,2010-06-07 12:29:00-04:00,2010-06-07 12:54:00-04:00,short,1822.5,1829.0,12.5,12.5,12.5,stop,-15.0,
A2_inside_1p5R,A,2010-06-07,2010,Train,2010-06-07 12:29:00-04:00,2010-06-07 12:29:00-04:00,2010-06-07 12:54:00-04:00,short,1822.5,1829.0,12.5,12.5,18.75,stop,-15.0,
A1_inside_1R,A,2010-06-14,2010,Train,2010-06-14 11:05:00-04:00,2010-06-14 11:05:00-04:00,2010-06-14 11:22:00-04:00,long,1871.25,1875.75,9.0,9.0,9.0,target,7.0,
A2_inside_1p5R,A,2010-06-14,2010,Train,2010-06-14 11:05:00-04:00,2010-06-14 11:05:00-04:00,2010-06-14 12:40:00-04:00,long,1871.25,1866.5,9.0,9.0,13.5,stop,-11.5,
A3_inside_volume_1R,A,2010-06-14,2010,Train,2010-06-14 11:05:00-04:00,2010-06-14 11:05:00-04:00,2010-06-14 11:22:00-04:00,long,1871.25,1875.75,9.0,9.0,9.0,target,7.0,
A1_inside_1R,A,2010-06-21,2010,Train,2010-06-21 11:40:00-04:00,2010-06-21 11:40:00-04:00,2010-06-21 12:21:00-04:00,short,1921.5,1915.5,12.0,12.0,12.0,target,10.0,
A2_inside_1p5R,A,2010-06-21,2010,Train,2010-06-21 11:40:00-04:00,2010-06-21 11:40:00-04:00,2010-06-21 12:30:00-04:00,short,1921.5,1912.5,12.0,12.0,18.0,target,16.0,
A1_inside_1R,A,2010-06-28,2010,Train,2010-06-28 11:57:00-04:00,2010-06-28 11:57:00-04:00,2010-06-28 12:21:00-04:00,short,1845.5,1839.75,11.5,11.5,11.5,target,9.5,
A2_inside_1p5R,A,2010-06-28,2010,Train,2010-06-28 11:57:00-04:00,2010-06-28 11:57:00-04:00,2010-06-28 13:10:00-04:00,short,1845.5,1836.875,11.5,11.5,17.25,target,15.25,
A1_inside_1R,A,2010-07-05,2010,Train,2010-07-05 10:06:00-04:00,2010-07-05 10:06:00-04:00,2010-07-05 11:18:00-04:00,short,1721.5,1719.0,5.0,5.0,5.0,target,3.0,
A2_inside_1p5R,A,2010-07-05,2010,Train,2010-07-05 10:06:00-04:00,2010-07-05 10:06:00-04:00,2010-07-05 11:22:00-04:00,short,1721.5,1717.75,5.0,5.0,7.5,target,5.5,
A1_inside_1R,A,2010-07-06,2010,Train,2010-07-06 10:59:00-04:00,2010-07-06 10:59:00-04:00,2010-07-06 11:27:00-04:00,short,1756.0,1750.5,11.0,11.0,11.0,target,9.0,
A2_inside_1p5R,A,2010-07-06,2010,Train,2010-07-06 10:59:00-04:00,2010-07-06 10:59:00-04:00,2010-07-06 12:24:00-04:00,short,1756.0,1747.75,11.0,11.0,16.5,target,14.5,
A3_inside_volume_1R,A,2010-07-06,2010,Train,2010-07-06 10:59:00-04:00,2010-07-06 10:59:00-04:00,2010-07-06 11:27:00-04:00,short,1756.0,1750.5,11.0,11.0,11.0,target,9.0,
A1_inside_1R,A,2010-07-12,2010,Train,2010-07-12 11:49:00-04:00,2010-07-12 11:49:00-04:00,2010-07-12 12:07:00-04:00,short,1807.5,1811.5,7.0,7.0,7.0,stop,-10.0,
A2_inside_1p5R,A,2010-07-12,2010,Train,2010-07-12 11:49:00-04:00,2010-07-12 11:49:00-04:00,2010-07-12 12:07:00-04:00,short,1807.5,1811.5,7.0,7.0,10.5,stop,-10.0,
A3_inside_volume_1R,A,2010-07-12,2010,Train,2010-07-12 11:49:00-04:00,2010-07-12 11:49:00-04:00,2010-07-12 12:07:00-04:00,short,1807.5,1811.5,7.0,7.0,7.0,stop,-10.0,
A1_inside_1R,A,2010-07-19,2010,Train,2010-07-19 12:05:00-04:00,2010-07-19 12:05:00-04:00,2010-07-19 12:44:00-04:00,short,1801.5,1808.5,11.0,11.0,11.0,stop,-16.0,
A2_inside_1p5R,A,2010-07-19,2010,Train,2010-07-19 12:05:00-04:00,2010-07-19 12:05:00-04:00,2010-07-19 12:44:00-04:00,short,1801.5,1808.5,11.0,11.0,16.5,stop,-16.0,
A1_inside_1R,A,2010-07-26,2010,Train,2010-07-26 10:55:00-04:00,2010-07-26 10:55:00-04:00,2010-07-26 11:47:00-04:00,long,1879.0,1885.5,13.0,13.0,13.0,target,11.0,
A2_inside_1p5R,A,2010-07-26,2010,Train,2010-07-26 10:55:00-04:00,2010-07-26 10:55:00-04:00,2010-07-26 15:55:00-04:00,long,1879.0,1887.0,13.0,13.0,19.5,session_time,14.0,
A1_inside_1R,A,2010-08-02,2010,Train,2010-08-02 11:32:00-04:00,2010-08-02 11:32:00-04:00,2010-08-02 12:28:00-04:00,long,1899.75,1894.25,7.0,7.0,7.0,stop,-13.0,
