market,candidate,IS_n,IS_WR,IS_PF,IS_E_pts,Val_n,Val_WR,Val_PF,Val_E_pts,OOS_n,OOS_WR,OOS_PF,OOS_E_pts,2025_E_pts,2026_E_pts
NQ,C1_measured_move,280,0.4321,1.349,3.23,117,0.4103,1.105,2.74,49,0.4082,1.129,5.42,-1.7,13.48
NQ,C2_1.0R,280,0.5393,1.073,0.59,117,0.5385,1.048,1.06,49,0.4694,0.913,-3.38,0.72,-8.01
NQ,C3_1.5R,280,0.4786,1.305,2.63,117,0.4701,1.054,1.32,49,0.4082,1.106,4.46,4.5,4.41
NQ,C4_2.0R,280,0.4393,1.312,2.84,117,0.4444,1.189,4.79,49,0.3673,0.715,-14.02,-9.04,-19.64
NQ,C5_session_close,280,0.3964,1.341,3.34,117,0.3932,1.184,4.91,49,0.3673,0.824,-8.64,-6.77,-10.76
ES,C1_measured_move,189,0.3757,1.085,0.31,96,0.4375,1.382,2.11,46,0.3261,0.691,-3.16,-2.34,-3.91
ES,C2_1.0R,189,0.4868,0.844,-0.49,96,0.5521,1.146,0.69,46,0.4783,1.01,0.08,0.22,-0.05
ES,C3_1.5R,189,0.418,0.988,-0.04,96,0.5208,1.52,2.56,46,0.3261,0.717,-2.67,-3.16,-2.21
ES,C4_2.0R,189,0.3915,1.175,0.62,96,0.4583,1.287,1.57,46,0.3043,0.646,-3.62,-2.06,-5.06
ES,C5_session_close,189,0.3386,0.977,-0.09,96,0.3958,1.28,1.63,46,0.3043,0.53,-4.81,-3.82,-5.72
