strategy,split,n_days,tot_net_pts,annual_pts,annual_vol,sharpe,max_dd_pts,calmar,friction_drag_pct
PASSIVE_RTH_HOLD (09:30-15:55),IS,2336,2718.75,293.29,1167.78,0.251,1875.5,0.156,46.21
ACTIVE_LONG (09:35 60m),IS,2412,-1446.0,-151.07,588.05,-0.257,2435.5,-0.062,249.69
ACTIVE_LONG (09:35 session_close),IS,2334,1309.75,141.41,1114.06,0.127,1903.75,0.074,64.05
ACTIVE_LONG (10:30 60m),IS,2406,-2337.75,-244.85,491.8,-0.498,2686.25,-0.091,3525.27
ACTIVE_LONG (10:30 session_close),IS,2336,-441.5,-47.63,995.11,-0.048,1995.25,-0.024,123.3
ACTIVE_LONG (12:00 60m),IS,2359,-1641.25,-175.33,357.12,-0.491,2296.25,-0.076,328.67
ACTIVE_LONG (12:00 session_close),IS,2336,-606.75,-65.45,797.24,-0.082,1891.75,-0.035,135.09
PASSIVE_RTH_HOLD (09:30-15:55),Validation,747,-880.25,-296.95,2803.16,-0.106,3729.75,-0.08,0.0
ACTIVE_LONG (09:35 60m),Validation,774,-1711.5,-557.23,1365.49,-0.408,2290.0,-0.243,0.0
ACTIVE_LONG (09:35 session_close),Validation,747,-431.5,-145.57,2702.35,-0.054,3265.5,-0.045,236.77
ACTIVE_LONG (10:30 60m),Validation,774,-367.75,-119.73,1079.31,-0.111,1891.5,-0.063,190.52
ACTIVE_LONG (10:30 session_close),Validation,747,144.0,48.58,2249.19,0.022,2900.25,0.017,83.84
ACTIVE_LONG (12:00 60m),Validation,753,-1437.5,-481.08,823.46,-0.584,1919.0,-0.251,0.0
ACTIVE_LONG (12:00 session_close),Validation,747,-950.5,-320.65,1806.69,-0.177,1960.0,-0.164,0.0
PASSIVE_RTH_HOLD (09:30-15:55),OOS,397,1818.5,1154.31,4212.65,0.274,3651.0,0.316,17.92
ACTIVE_LONG (09:35 60m),OOS,412,403.75,246.95,2162.86,0.114,1992.25,0.124,50.51
ACTIVE_LONG (09:35 session_close),OOS,397,1551.5,984.83,4024.94,0.245,3733.75,0.264,20.37
ACTIVE_LONG (10:30 60m),OOS,412,-1348.75,-824.96,1579.3,-0.522,2892.25,-0.285,0.0
ACTIVE_LONG (10:30 session_close),OOS,397,1058.0,671.58,3392.21,0.198,2972.75,0.226,27.29
ACTIVE_LONG (12:00 60m),OOS,400,-103.75,-65.36,1160.9,-0.056,1439.5,-0.045,135.02
ACTIVE_LONG (12:00 session_close),OOS,397,1933.25,1227.15,2770.43,0.443,2168.25,0.566,17.04
PASSIVE_RTH_HOLD (09:30-15:55),ALL,3480,3657.0,264.82,2149.61,0.123,4740.0,0.056,48.76
ACTIVE_LONG (09:35 60m),ALL,3598,-2753.75,-192.87,1080.37,-0.179,4521.75,-0.043,426.18
ACTIVE_LONG (09:35 session_close),ALL,3478,2429.75,176.05,2060.35,0.085,3786.75,0.046,58.87
ACTIVE_LONG (10:30 60m),ALL,3592,-4054.25,-284.43,835.69,-0.34,5413.0,-0.053,0.0
ACTIVE_LONG (10:30 session_close),ALL,3480,760.5,55.07,1749.12,0.031,3663.25,0.015,82.07
ACTIVE_LONG (12:00 60m),ALL,3512,-3182.5,-228.36,619.77,-0.368,4012.25,-0.057,1065.86
ACTIVE_LONG (12:00 session_close),ALL,3480,376.0,27.23,1414.55,0.019,2362.0,0.012,90.25
