clock,horizon,side,IS_N,IS_WR,IS_PF,IS_E_gross,IS_E_net,Val_N,Val_WR,Val_PF,Val_E_net,OOS_N,OOS_WR,OOS_PF,OOS_E_net,2025_E_net,2026_E_net
09:35,5m,LONG,2414,0.418,0.698,-0.47,-1.47,774,0.4987,0.958,-0.46,412,0.4806,0.819,-3.02,-1.17,-6.1
09:35,5m,SHORT,2414,0.4403,0.88,0.47,-0.53,774,0.4612,0.866,-1.54,412,0.483,1.07,1.02,-0.83,4.1
09:35,15m,LONG,2415,0.4605,0.76,-0.8,-1.8,774,0.4767,0.913,-1.67,412,0.517,1.005,0.13,0.57,-0.59
09:35,15m,SHORT,2415,0.446,0.971,0.8,-0.2,774,0.4935,0.982,-0.33,412,0.466,0.925,-2.13,-2.57,-1.41
09:35,30m,LONG,2415,0.487,0.922,0.3,-0.7,774,0.478,0.925,-1.95,412,0.5291,1.025,0.98,4.0,-4.05
09:35,30m,SHORT,2415,0.4455,0.86,-0.3,-1.3,774,0.5039,0.998,-0.05,412,0.4563,0.927,-2.98,-6.0,2.05
09:35,60m,LONG,2412,0.507,0.948,0.4,-0.6,774,0.5026,0.936,-2.21,412,0.5218,1.019,0.98,3.23,-2.75
09:35,60m,SHORT,2412,0.4395,0.883,-0.4,-1.4,774,0.491,1.006,0.21,412,0.4757,0.944,-2.98,-5.23,0.75
09:35,session_close,LONG,2334,0.5321,1.027,1.56,0.56,747,0.5074,0.991,-0.58,397,0.5542,1.045,3.91,4.22,3.39
09:35,session_close,SHORT,2334,0.4327,0.888,-1.56,-2.56,747,0.4859,0.978,-1.42,397,0.4433,0.935,-5.91,-6.22,-5.39
10:30,5m,LONG,2414,0.3985,0.668,-0.15,-1.15,774,0.4832,0.816,-1.64,412,0.5097,0.988,-0.14,-1.2,1.61
10:30,5m,SHORT,2414,0.3741,0.745,0.15,-0.85,774,0.469,0.957,-0.36,412,0.449,0.852,-1.86,-0.8,-3.61
10:30,15m,LONG,2416,0.4512,0.763,-0.29,-1.29,774,0.5116,0.897,-1.46,412,0.4951,0.941,-1.15,2.07,-6.5
10:30,15m,SHORT,2416,0.4081,0.863,0.29,-0.71,774,0.4496,0.961,-0.54,412,0.483,0.957,-0.85,-4.07,4.5
10:30,30m,LONG,2417,0.4733,0.781,-0.62,-1.62,774,0.4897,0.851,-3.09,412,0.5194,0.936,-1.76,-5.31,4.12
10:30,30m,SHORT,2417,0.4233,0.945,0.62,-0.38,774,0.4858,1.058,1.09,412,0.4684,0.991,-0.24,3.31,-6.12
10:30,60m,LONG,2406,0.5104,0.898,0.03,-0.97,774,0.5181,0.981,-0.48,412,0.5243,0.91,-3.27,-9.71,7.39
10:30,60m,SHORT,2406,0.4194,0.893,-0.03,-1.03,774,0.4574,0.942,-1.52,412,0.466,1.037,1.27,7.71,-9.39
10:30,session_close,LONG,2336,0.5295,0.99,0.81,-0.19,747,0.5261,1.004,0.19,397,0.5542,1.039,2.66,-0.44,7.78
10:30,session_close,SHORT,2336,0.4371,0.906,-0.81,-1.81,747,0.4632,0.959,-2.19,397,0.4433,0.935,-4.66,-1.56,-9.78
12:00,5m,LONG,2403,0.3554,0.631,0.0,-1.0,774,0.4276,0.661,-2.35,412,0.5364,1.121,0.91,0.33,1.86
12:00,5m,SHORT,2403,0.3491,0.631,-0.0,-1.0,774,0.4974,1.063,0.35,412,0.4199,0.695,-2.91,-2.33,-3.86
12:00,15m,LONG,2403,0.4228,0.759,0.04,-0.96,774,0.4496,0.771,-2.6,412,0.5437,1.146,1.87,2.58,0.7
12:00,15m,SHORT,2403,0.392,0.744,-0.04,-1.04,774,0.4987,1.062,0.6,412,0.4248,0.755,-3.87,-4.58,-2.7
12:00,30m,LONG,2403,0.4578,0.842,0.17,-0.83,774,0.4845,0.841,-2.42,412,0.5437,1.054,0.99,1.62,-0.06
12:00,30m,SHORT,2403,0.4149,0.785,-0.17,-1.17,774,0.469,1.03,0.42,412,0.4175,0.854,-2.99,-3.62,-1.94
12:00,60m,LONG,2359,0.4947,0.897,0.3,-0.7,753,0.51,0.906,-1.91,400,0.5025,0.99,-0.26,0.12,-0.89
12:00,60m,SHORT,2359,0.407,0.818,-0.3,-1.3,753,0.4728,0.995,-0.09,400,0.4725,0.935,-1.74,-2.12,-1.11
12:00,session_close,LONG,2336,0.5308,0.982,0.74,-0.26,747,0.5181,0.969,-1.27,397,0.534,1.097,4.87,7.99,-0.27
12:00,session_close,SHORT,2336,0.4157,0.885,-0.74,-1.74,747,0.4685,0.982,-0.73,397,0.4509,0.877,-6.87,-9.99,-1.73
14:00,5m,LONG,2336,0.3574,0.698,0.2,-0.8,747,0.4525,0.675,-2.4,397,0.4912,0.697,-2.96,-3.48,-2.1
14:00,5m,SHORT,2336,0.3352,0.584,-0.2,-1.2,747,0.4859,1.068,0.4,397,0.4761,1.123,0.96,1.48,0.1
14:00,15m,LONG,2336,0.4349,0.805,0.21,-0.79,747,0.4819,0.693,-3.51,397,0.4987,0.827,-2.47,-3.08,-1.47
14:00,15m,SHORT,2336,0.3763,0.718,-0.21,-1.21,747,0.4726,1.169,1.51,397,0.4484,1.037,0.47,1.08,-0.53
14:00,30m,LONG,2336,0.4807,0.92,0.59,-0.41,747,0.4846,0.83,-2.61,397,0.4912,0.943,-1.05,0.77,-4.05
14:00,30m,SHORT,2336,0.3887,0.723,-0.59,-1.59,747,0.4779,1.044,0.61,397,0.4761,0.948,-0.95,-2.77,2.05
14:00,60m,LONG,2336,0.497,1.061,1.4,0.4,747,0.5221,1.019,0.36,397,0.4811,0.824,-4.67,0.22,-12.72
14:00,60m,SHORT,2336,0.3934,0.702,-1.4,-2.4,747,0.4632,0.886,-2.36,397,0.4836,1.117,2.67,-2.22,10.72
