clock,candidate,side,IS_N,IS_WR,IS_PF,IS_E_net,Val_N,Val_WR,Val_PF,Val_E_net,OOS_N,OOS_WR,OOS_PF,OOS_E_net,2025_E_net,2026_E_net
09:35,SYM_1.0R,LONG,2413,0.5006,0.79,-1.23,774,0.4897,0.894,-1.62,412,0.5,0.949,-1.06,-3.02,2.19
09:35,SYM_1.0R,SHORT,2413,0.4994,0.864,-0.77,774,0.5103,0.974,-0.38,412,0.5,0.954,-0.94,1.02,-4.19
09:35,SYM_1.5R,LONG,2413,0.5035,0.867,-1.12,774,0.5103,0.946,-1.19,412,0.4951,1.018,0.53,-0.94,2.97
09:35,SYM_1.5R,SHORT,2413,0.4961,0.894,-0.88,774,0.4897,0.963,-0.81,412,0.5024,0.918,-2.53,-1.06,-4.97
10:30,SYM_1.0R,LONG,2416,0.5182,0.885,-0.8,774,0.4832,0.856,-2.87,412,0.5049,0.979,-0.59,-0.74,-0.34
10:30,SYM_1.0R,SHORT,2416,0.4805,0.833,-1.2,774,0.5155,1.048,0.87,412,0.4951,0.95,-1.41,-1.26,-1.66
10:30,SYM_1.5R,LONG,2416,0.5149,0.902,-1.0,774,0.4845,0.915,-2.4,412,0.5097,1.024,0.96,-1.35,4.78
10:30,SYM_1.5R,SHORT,2416,0.4793,0.902,-1.0,774,0.5129,1.015,0.4,412,0.4903,0.929,-2.96,-0.65,-6.78
12:00,SYM_1.0R,LONG,2403,0.5123,0.826,-0.92,774,0.4729,0.822,-2.67,412,0.534,1.087,1.69,1.06,2.73
12:00,SYM_1.0R,SHORT,2403,0.4869,0.8,-1.08,774,0.5271,1.051,0.67,412,0.466,0.833,-3.69,-3.06,-4.73
12:00,SYM_1.5R,LONG,2403,0.5223,0.931,-0.51,774,0.4858,0.892,-2.33,412,0.5,0.906,-2.93,-0.72,-6.59
12:00,SYM_1.5R,SHORT,2403,0.4748,0.811,-1.51,774,0.5129,1.017,0.33,412,0.5,1.032,0.93,-1.28,4.59
14:00,SYM_1.0R,LONG,2336,0.512,0.734,-1.15,747,0.4779,0.817,-2.17,397,0.471,0.793,-3.65,-1.46,-7.25
14:00,SYM_1.0R,SHORT,2336,0.4854,0.791,-0.88,747,0.5181,1.005,0.05,397,0.529,1.11,1.65,-0.54,5.25
14:00,SYM_1.5R,LONG,2336,0.5244,0.869,-0.78,747,0.4953,0.929,-1.17,397,0.4635,0.804,-5.0,-1.68,-10.47
14:00,SYM_1.5R,SHORT,2336,0.4722,0.803,-1.22,747,0.5007,0.949,-0.83,397,0.5365,1.14,3.0,-0.32,8.47
