market,signal_time,year,split,side,horizon_min,level,entry,signed_return_pts,mfe_pts,mae_pts,close_beyond_level,failed_through_level
NQ,2010-06-07 05:44:00-04:00,2010,IS,long,1,1831.25,1832.0,0.0,0.0,-0.25,1,0
NQ,2010-06-07 05:44:00-04:00,2010,IS,long,5,1831.25,1832.0,0.25,1.0,-1.0,1,0
NQ,2010-06-07 05:44:00-04:00,2010,IS,long,15,1831.25,1832.0,3.75,4.0,-1.0,1,0
NQ,2010-06-07 05:44:00-04:00,2010,IS,long,30,1831.25,1832.0,5.0,5.5,-1.0,1,0
NQ,2010-06-07 05:44:00-04:00,2010,IS,long,60,1831.25,1832.0,6.0,7.0,-1.0,1,0
NQ,2010-06-07 10:59:00-04:00,2010,IS,short,1,1826.25,1815.0,-2.0,0.25,-2.25,1,0
NQ,2010-06-07 10:59:00-04:00,2010,IS,short,5,1826.25,1815.0,-4.0,0.5,-4.25,1,0
NQ,2010-06-07 10:59:00-04:00,2010,IS,short,15,1826.25,1815.0,0.75,0.75,-4.75,1,0
NQ,2010-06-07 10:59:00-04:00,2010,IS,short,30,1826.25,1815.0,-2.0,3.75,-4.75,1,0
NQ,2010-06-07 10:59:00-04:00,2010,IS,short,60,1826.25,1815.0,-9.5,3.75,-10.25,1,0
NQ,2010-06-08 20:14:00-04:00,2010,IS,short,1,1793.75,1786.5,0.25,1.0,-0.25,1,0
NQ,2010-06-08 20:14:00-04:00,2010,IS,short,5,1793.75,1786.5,1.0,1.0,-0.25,1,0
NQ,2010-06-08 20:14:00-04:00,2010,IS,short,15,1793.75,1786.5,2.75,3.75,-0.25,1,0
NQ,2010-06-08 20:14:00-04:00,2010,IS,short,30,1793.75,1786.5,9.75,11.25,-0.5,1,0
NQ,2010-06-08 20:14:00-04:00,2010,IS,short,60,1793.75,1786.5,6.5,11.25,-0.5,1,0
NQ,2010-06-09 20:29:00-04:00,2010,IS,short,1,1782.75,1776.75,-0.5,-0.0,-0.5,1,0
NQ,2010-06-09 20:29:00-04:00,2010,IS,short,5,1782.75,1776.75,-48.0,-0.0,-49.0,0,1
NQ,2010-06-09 20:29:00-04:00,2010,IS,short,15,1782.75,1776.75,-47.5,-0.0,-49.0,0,1
NQ,2010-06-09 20:29:00-04:00,2010,IS,short,30,1782.75,1776.75,-47.0,-0.0,-49.0,0,1
NQ,2010-06-09 20:29:00-04:00,2010,IS,short,60,1782.75,1776.75,-42.75,0.25,-55.0,0,1
NQ,2010-06-13 18:14:00-04:00,2010,IS,long,1,1834.0,1849.75,0.0,0.0,0.0,1,0
NQ,2010-06-13 18:14:00-04:00,2010,IS,long,5,1834.0,1849.75,0.5,0.5,0.0,1,0
NQ,2010-06-13 18:14:00-04:00,2010,IS,long,15,1834.0,1849.75,-1.0,0.5,-1.5,1,0
NQ,2010-06-13 18:14:00-04:00,2010,IS,long,30,1834.0,1849.75,1.0,1.25,-1.5,1,0
NQ,2010-06-13 18:14:00-04:00,2010,IS,long,60,1834.0,1849.75,1.75,4.75,-1.5,1,0
NQ,2010-06-14 13:59:00-04:00,2010,IS,short,1,1857.5,1855.0,0.5,0.75,-0.5,1,0
NQ,2010-06-14 13:59:00-04:00,2010,IS,short,5,1857.5,1855.0,0.5,1.5,-2.0,1,0
NQ,2010-06-14 13:59:00-04:00,2010,IS,short,15,1857.5,1855.0,-0.5,2.75,-2.0,1,0
NQ,2010-06-14 13:59:00-04:00,2010,IS,short,30,1857.5,1855.0,-0.0,5.5,-2.0,1,0
NQ,2010-06-14 13:59:00-04:00,2010,IS,short,60,1857.5,1855.0,-2.0,6.25,-3.25,1,0
NQ,2010-06-20 18:44:00-04:00,2010,IS,long,1,1876.0,1930.0,-0.5,0.0,-0.5,1,0
NQ,2010-06-20 18:44:00-04:00,2010,IS,long,5,1876.0,1930.0,-0.25,0.0,-0.75,1,0
NQ,2010-06-20 18:44:00-04:00,2010,IS,long,15,1876.0,1930.0,-0.5,0.0,-1.0,1,0
NQ,2010-06-20 18:44:00-04:00,2010,IS,long,30,1876.0,1930.0,-0.25,1.5,-1.25,1,0
