market,split,side,horizon_min,events,forward_return_pts,mfe_pts,mae_pts,close_beyond_rate,failure_rate
ES,IS,long,1,2407,-0.0034275031159119234,0.4531574574158704,-0.42303697548815955,0.8874117158288326,0.11258828417116742
ES,IS,long,5,2407,-0.04694640631491483,0.8651848774407976,-0.8520980473618612,0.8184461985874533,0.2733693394266722
ES,IS,long,15,2407,-0.046219360199418365,1.3900083090984627,-1.3931242210220192,0.7453261321146656,0.41379310344827586
ES,IS,long,30,2407,-0.04840049854590777,1.9439135853759868,-2.0343788948899046,0.7104279185708351,0.5056086414624014
ES,IS,long,60,2407,-0.15828832571665974,2.8141877856252595,-3.3585375986705444,0.6788533444121313,0.6040714582467802
ES,IS,short,1,2210,-0.03144796380090498,0.5514705882352942,-0.5286199095022625,0.8683257918552036,0.13167420814479638
ES,IS,short,5,2210,-0.11821266968325791,1.0967194570135748,-1.116289592760181,0.7742081447963801,0.32986425339366515
ES,IS,short,15,2210,-0.032805429864253395,1.8074660633484163,-1.7091628959276017,0.7149321266968326,0.47828054298642536
ES,IS,short,30,2210,-0.06561085972850679,2.529185520361991,-2.3860859728506787,0.6656108597285068,0.5882352941176471
ES,IS,short,60,2210,-0.1590497737556561,3.6157239819004525,-3.6820135746606333,0.6212669683257919,0.6624434389140271
ES,OOS,long,1,412,-0.2099514563106796,1.0242718446601942,-1.2366504854368932,0.8567961165048543,0.14320388349514562
ES,OOS,long,5,412,-0.22451456310679613,2.1140776699029127,-2.3052184466019416,0.7961165048543689,0.29854368932038833
ES,OOS,long,15,412,-0.12014563106796117,3.500606796116505,-3.653519417475728,0.7257281553398058,0.4684466019417476
ES,OOS,long,30,412,0.15169902912621358,4.883495145631068,-4.911407766990291,0.6699029126213593,0.5922330097087378
ES,OOS,long,60,412,-0.0018203883495145632,6.796116504854369,-7.138349514563107,0.662621359223301,0.662621359223301
ES,OOS,short,1,393,0.018447837150127225,1.4968193384223918,-1.423027989821883,0.8727735368956743,0.1272264631043257
ES,OOS,short,5,393,0.06615776081424936,3.041348600508906,-2.686386768447837,0.7735368956743003,0.3104325699745547
ES,OOS,short,15,393,-0.6221374045801527,4.493002544529262,-4.5820610687022905,0.6946564885496184,0.48854961832061067
ES,OOS,short,30,393,-0.9173027989821882,5.956106870229007,-6.28117048346056,0.6641221374045801,0.5750636132315522
ES,OOS,short,60,393,-0.2926208651399491,8.748727735368957,-8.465648854961833,0.6361323155216285,0.6768447837150128
ES,Validation,long,1,729,-0.13580246913580246,0.6646090534979424,-0.7736625514403292,0.8340192043895748,0.16598079561042525
ES,Validation,long,5,729,-0.15123456790123457,1.373113854595336,-1.5617283950617284,0.7599451303155007,0.3731138545953361
ES,Validation,long,15,729,-0.07510288065843622,2.325102880658436,-2.4729080932784635,0.700960219478738,0.5212620027434842
ES,Validation,long,30,729,-0.30315500685871055,3.205761316872428,-3.5589849108367626,0.6433470507544582,0.6117969821673526
ES,Validation,long,60,729,-0.7493141289437586,4.465020576131687,-5.407064471879287,0.5843621399176955,0.7256515775034293
