n,threshold,trades,win_rate,avg_R,median_R,total_R,pf_R,expectancy_pts,max_dd_R,max_consecutive_losses,avg_hold_min,ranges,breakouts
8,2.5,4062,0.2311669128508124,-2.4705117413075977,-1.3265309522396422,-10035.218693191462,0.17644631788984183,-1.1235454284573565,-10059.180712200725,27,14.243229935992122,2836,2822
8,3.5,4002,0.22913543228385808,-2.1494024495231328,-1.3413334304237576,-8601.908602991578,0.2056618593148104,-0.949372642215173,-8607.450282465068,23,15.963268365817092,2817,2787
8,4.5,3981,0.2233107259482542,-2.0911379311390426,-1.336134453781523,-8324.82010386453,0.21021375191613714,-1.0534345427357124,-8329.026346261819,27,15.971363978899774,2816,2788
10,2.5,4007,0.23783379086598452,-2.0937776270660415,-1.3422459893048129,-8389.766951653628,0.21896475436215998,-0.911643766817402,-8400.642776683679,19,14.169952582979786,2773,2751
10,3.5,4034,0.22806147744174515,-2.045286036184141,-1.35535824392649,-8250.683869966824,0.23169907672387657,-0.9658915179323483,-8264.590154745749,23,16.215171046108082,2847,2816
10,4.5,3993,0.2198847983971951,-1.9326348680947236,-1.3587443946187872,-7717.011028302231,0.23627245921157997,-1.043275419608298,-7720.820430347054,26,15.600801402454294,2842,2811
12,2.5,3934,0.2320793085917641,-2.289118993084109,-1.3617864355651115,-9005.394118792885,0.19950386350120078,-0.9759027004434494,-9024.525799450043,32,14.498474834773766,2753,2721
12,3.5,4019,0.2234386663349092,-2.328600967882618,-1.3682393555811525,-9358.647289920242,0.21307107211702617,-0.9013580600051262,-9376.497670870094,23,16.411545160487684,2816,2779
12,4.5,3957,0.21531463229719486,-2.006444541036783,-1.3665521191294876,-7939.50104888255,0.23094757444538233,-1.0485587322243177,-7938.931753486561,27,16.861511245893354,2809,2766
15,2.5,3557,0.2414956423952769,-2.8005112893773654,-1.4232804232803906,-9961.418656315289,0.1712125335166946,-0.7428119077603241,-9970.504631569544,23,12.382625808265391,2519,2488
15,3.5,3931,0.2078351564487408,-2.364073386078609,-1.3742690058479532,-9293.172480675012,0.19860456683867145,-1.2377690218625985,-9298.279943857508,30,15.926990587636734,2739,2705
15,4.5,3932,0.2062563580874873,-2.2039063749574592,-1.377804014167631,-8665.75986633273,0.2165357189456211,-1.1666358626260025,-8665.939266857358,23,16.770345879959308,2800,2750
