session_date,time,year,width,width_atr,n,threshold
2010-06-07,2010-06-07 10:07:00-04:00,2010,5.5,2.2,15,2.5
2010-06-07,2010-06-07 11:11:00-04:00,2010,6.0,2.4,15,2.5
2010-06-07,2010-06-07 12:21:00-04:00,2010,3.25,2.5,15,2.5
2010-06-07,2010-06-07 13:16:00-04:00,2010,3.0,2.1052631578947367,15,2.5
2010-06-14,2010-06-14 11:03:00-04:00,2010,3.25,2.2222222222222223,15,2.5
2010-06-21,2010-06-21 11:05:00-04:00,2010,4.25,2.446043165467626,15,2.5
2010-06-28,2010-06-28 11:19:00-04:00,2010,3.5,2.413793103448276,15,2.5
2010-07-05,2010-07-05 09:57:00-04:00,2010,1.0,1.8604651162790697,15,2.5
2010-07-06,2010-07-06 10:23:00-04:00,2010,4.25,2.328767123287671,15,2.5
2010-07-12,2010-07-12 10:05:00-04:00,2010,4.0,2.2377622377622375,15,2.5
2010-07-12,2010-07-12 10:58:00-04:00,2010,3.75,2.272727272727273,15,2.5
2010-07-19,2010-07-19 11:35:00-04:00,2010,3.0,2.3300970873786406,15,2.5
2010-07-26,2010-07-26 10:16:00-04:00,2010,5.25,2.4852071005917162,15,2.5
2010-08-02,2010-08-02 10:27:00-04:00,2010,3.5,2.3529411764705883,15,2.5
2010-08-09,2010-08-09 10:53:00-04:00,2010,2.5,2.5,15,2.5
2010-08-09,2010-08-09 14:15:00-04:00,2010,1.5,2.3529411764705883,15,2.5
2010-08-16,2010-08-16 10:20:00-04:00,2010,5.5,2.4858757062146895,15,2.5
2010-08-23,2010-08-23 12:54:00-04:00,2010,2.0,2.4242424242424243,15,2.5
2010-08-30,2010-08-30 10:39:00-04:00,2010,3.75,2.142857142857143,15,2.5
2010-09-07,2010-09-07 10:38:00-04:00,2010,4.0,2.5,15,2.5
2010-09-13,2010-09-13 10:22:00-04:00,2010,3.0,2.4,15,2.5
2010-09-20,2010-09-20 10:38:00-04:00,2010,3.0,2.376237623762376,15,2.5
2010-09-27,2010-09-27 11:51:00-04:00,2010,3.25,2.4074074074074074,15,2.5
2010-10-04,2010-10-04 10:31:00-04:00,2010,4.0,2.4806201550387597,15,2.5
2010-10-04,2010-10-04 11:49:00-04:00,2010,2.5,2.298850574712644,15,2.5
2010-10-04,2010-10-04 12:32:00-04:00,2010,2.5,2.2222222222222223,15,2.5
2010-10-11,2010-10-11 11:01:00-04:00,2010,3.75,2.459016393442623,15,2.5
2010-10-11,2010-10-11 14:25:00-04:00,2010,1.5,2.1052631578947367,15,2.5
2010-10-18,2010-10-18 10:49:00-04:00,2010,3.0,2.1818181818181817,15,2.5
2010-10-25,2010-10-25 09:54:00-04:00,2010,4.0,2.4806201550387597,15,2.5
2010-10-25,2010-10-25 10:59:00-04:00,2010,3.25,2.1666666666666665,15,2.5
2010-10-25,2010-10-25 12:37:00-04:00,2010,2.25,2.2222222222222223,15,2.5
2010-11-01,2010-11-01 10:22:00-04:00,2010,3.75,2.3076923076923075,15,2.5
2010-11-01,2010-11-01 12:35:00-04:00,2010,2.25,2.2784810126582276,15,2.5
2010-11-08,2010-11-08 10:42:00-05:00,2010,2.5,2.2471910112359548,15,2.5
2010-11-15,2010-11-15 11:25:00-05:00,2010,3.25,2.4761904761904763,15,2.5
2010-11-22,2010-11-22 10:48:00-05:00,2010,4.75,2.2891566265060237,15,2.5
2010-11-29,2010-11-29 11:57:00-05:00,2010,3.25,2.4761904761904763,15,2.5
2010-11-29,2010-11-29 13:00:00-05:00,2010,2.25,2.5,15,2.5
2010-11-29,2010-11-29 14:03:00-05:00,2010,2.0,2.5,15,2.5
2010-12-06,2010-12-06 12:12:00-05:00,2010,1.75,2.1875,15,2.5
2010-12-13,2010-12-13 10:15:00-05:00,2010,3.25,2.0634920634920637,15,2.5
2010-12-20,2010-12-20 10:30:00-05:00,2010,4.0,2.2535211267605635,15,2.5
2010-12-20,2010-12-20 11:57:00-05:00,2010,1.5,2.4489795918367343,15,2.5
2010-12-27,2010-12-27 10:04:00-05:00,2010,2.5,2.3255813953488373,15,2.5
2010-12-27,2010-12-27 10:50:00-05:00,2010,1.5,2.3529411764705883,15,2.5
2010-12-27,2010-12-27 11:41:00-05:00,2010,1.5,2.5,15,2.5
2011-01-03,2011-01-03 11:03:00-05:00,2011,2.25,2.4,15,2.5
2011-01-10,2011-01-10 10:49:00-05:00,2011,2.5,2.061855670103093,15,2.5
2011-01-18,2011-01-18 10:47:00-05:00,2011,2.5,2.150537634408602,15,2.5
2011-01-24,2011-01-24 11:19:00-05:00,2011,2.5,2.3255813953488373,15,2.5
2011-01-24,2011-01-24 12:20:00-05:00,2011,2.75,2.3404255319148937,15,2.5
2011-01-24,2011-01-24 13:46:00-05:00,2011,2.25,2.4324324324324325,15,2.5
2011-01-31,2011-01-31 10:15:00-05:00,2011,6.25,2.1739130434782608,15,2.5
2011-01-31,2011-01-31 13:35:00-05:00,2011,2.5,2.5,15,2.5
2011-02-07,2011-02-07 10:15:00-05:00,2011,3.5,2.3728813559322033,15,2.5
2011-02-07,2011-02-07 12:06:00-05:00,2011,1.75,2.3728813559322033,15,2.5
2011-02-14,2011-02-14 10:08:00-05:00,2011,3.25,2.3214285714285716,15,2.5
2011-02-21,2011-02-21 10:55:00-05:00,2011,3.0,2.3529411764705883,15,2.5
2011-02-22,2011-02-22 11:45:00-05:00,2011,4.5,2.3529411764705883,15,2.5
2011-02-28,2011-02-28 10:00:00-05:00,2011,4.0,2.4427480916030535,15,2.5
2011-02-28,2011-02-28 11:17:00-05:00,2011,2.0,2.5,15,2.5
2011-03-07,2011-03-07 10:21:00-05:00,2011,4.25,2.1656050955414012,15,2.5
2011-03-14,2011-03-14 10:46:00-04:00,2011,5.0,2.1621621621621623,15,2.5
2011-03-14,2011-03-14 11:26:00-04:00,2011,4.75,2.134831460674157,15,2.5
2011-03-15,2011-03-15 14:09:00-04:00,2011,2.5,2.298850574712644,15,2.5
2011-03-21,2011-03-21 10:02:00-04:00,2011,3.75,2.158273381294964,15,2.5
2011-03-22,2011-03-22 10:04:00-04:00,2011,4.25,2.085889570552147,15,2.5
2011-03-25,2011-03-25 11:07:00-04:00,2011,3.25,2.4074074074074074,15,2.5
2011-03-28,2011-03-28 10:13:00-04:00,2011,4.5,2.4827586206896552,15,2.5
2011-03-31,2011-03-31 10:48:00-04:00,2011,2.25,2.4324324324324325,15,2.5
2011-04-04,2011-04-04 12:00:00-04:00,2011,1.25,2.2222222222222223,15,2.5
2011-04-04,2011-04-04 13:12:00-04:00,2011,1.5,2.2641509433962264,15,2.5
2011-04-11,2011-04-11 10:59:00-04:00,2011,3.0,2.376237623762376,15,2.5
2011-04-11,2011-04-11 13:36:00-04:00,2011,2.75,2.5,15,2.5
2011-04-14,2011-04-14 10:18:00-04:00,2011,5.5,2.4858757062146895,15,2.5
2011-04-15,2011-04-15 10:47:00-04:00,2011,4.0,1.9277108433734937,15,2.5
2011-04-18,2011-04-18 11:35:00-04:00,2011,2.75,2.0370370370370368,15,2.5
2011-04-19,2011-04-19 10:05:00-04:00,2011,4.25,2.236842105263158,15,2.5
2011-04-20,2011-04-20 10:29:00-04:00,2011,3.5,2.413793103448276,15,2.5
2011-04-25,2011-04-25 10:34:00-04:00,2011,3.0,2.376237623762376,15,2.5
2011-04-25,2011-04-25 11:55:00-04:00,2011,1.75,2.456140350877193,15,2.5
2011-04-25,2011-04-25 12:29:00-04:00,2011,1.0,2.2222222222222223,15,2.5
