period,arm,trades,win_rate,avg_R,median_R,total_R,pf_R,expectancy_pts,max_dd_R,max_consecutive_losses,avg_hold_min
Selection_2010_18,fade,2149,0.1265704979060028,-4.452290431383853,-1.9876543209878317,-9567.9721370439,0.12511862349506345,-0.8528752121467985,-9572.89132660604,44,6.683573755234993
Selection_2010_18,continuation,1408,0.4169034090909091,-0.2794364483461571,-1.1227245437026783,-393.4465192713892,0.6366934120678491,-0.5748246626420476,-415.38877690885846,14,21.08096590909091
Selection_2010_18,combined,3557,0.2414956423952769,-2.8005112893773654,-1.4232804232803906,-9961.418656315289,0.1712125335166946,-0.7428119077603241,-9970.504631569544,23,12.382625808265391
IS_confirmation_2019_21,fade,1081,0.12395929694727105,-1.4382580138269239,-1.2765773552290127,-1554.7569129469048,0.32734975864618887,-0.5415865408753257,-1577.029313468357,41,6.467160037002775
IS_confirmation_2019_21,continuation,666,0.4024024024024024,-0.11497675240805345,-1.041378941798507,-76.5745171037636,0.8270847351000229,-1.5092858483483262,-86.70924121348624,12,20.264264264264263
IS_confirmation_2019_21,combined,1747,0.23010875787063537,-0.9337901717519569,-1.136810602821705,-1631.3314300506686,0.4077004924198906,-0.9104976678226744,-1650.6692224503001,22,11.726960503720663
IS_full,fade,3230,0.1256965944272446,-3.443569365322231,-1.6852248394002574,-11122.729049990805,0.16040286638918544,-0.7486947001825687,-11120.10468450856,44,6.611145510835914
IS_full,continuation,2074,0.41224686595949855,-0.22662537915870434,-1.070121759439993,-470.0210363751528,0.6919519351691006,-0.874897540983601,-481.9002929347295,14,20.81870781099325
IS_full,combined,5304,0.23774509803921567,-2.185661780989057,-1.283939662821621,-11592.750086365959,0.21530114392953392,-0.7980432469060492,-11590.125720883687,23,12.166666666666666
Validation,fade,1091,0.1154903758020165,-1.009990140526569,-1.1533301389554298,-1101.8992433144867,0.4017868078447928,-0.7856808519475199,-1109.6603907218926,48,6.695692025664528
Validation,continuation,696,0.4224137931034483,-0.0017759602028739403,-1.023721400286436,-1.2360683012002625,0.9970753908404556,-1.4233342313219122,-36.537610092220085,11,21.048850574712645
Validation,combined,1787,0.23503077783995524,-0.6173113103613247,-1.0659385946837023,-1103.1353116156872,0.5128845649100572,-1.0340338189562368,-1103.3859720617318,26,12.285954113038612
OOS,fade,569,0.10017574692442882,-0.8258067281736542,-1.0960960960960962,-469.88402833080926,0.41717929794464,-3.0697480566375974,-477.05703015351133,76,7.77152899824253
OOS,continuation,374,0.4117647058823529,-0.0157564964102424,-1.0153189801935518,-5.892929657430658,0.9739825611223203,0.8094669117646534,-28.782673760927274,12,31.058823529411764
OOS,combined,943,0.22375397667020147,-0.5045354803692894,-1.0428208216245123,-475.77695798823993,0.5392986665019553,-1.531225895256429,-490.103636020042,17,17.00742311770944
