year,kind,trades,win_rate,avg_R,median_R,total_R,pf_R,expectancy_pts,max_dd_R,max_consecutive_losses,avg_hold_min
2010,continuation,29.0,0.3448275862068966,-0.6122654719311458,-1.2749140893470756,-17.755698686003228,0.3445532902248425,-1.6193426724138167,-20.179322587642968,6.0,21.724137931034484
2010,fade,45.0,0.13333333333333333,-3.860501317108147,-2.6243654822337423,-173.72255926986662,0.12635615297120384,-0.8085812233446985,-171.09819378763288,15.0,8.444444444444445
2011,continuation,65.0,0.4307692307692308,-0.32855643511980814,-1.183381088825215,-21.35616828278753,0.5807614800261903,-0.8514182692307678,-22.911245911761707,8.0,19.723076923076924
2011,fade,85.0,0.12941176470588237,-3.9479415316956157,-2.1808118081178276,-335.57503019412735,0.13715984811954446,-0.8553166656542892,-332.0574394068906,37.0,6.91764705882353
2012,continuation,95.0,0.45263157894736844,-0.29970205519403986,-1.2574416733708709,-28.471695243433786,0.6293771864037296,0.02011513157895024,-33.14702483527443,8.0,24.736842105263158
2012,fade,150.0,0.12666666666666668,-3.847263663725292,-2.4956210278025415,-577.0895495587938,0.14009603602013795,-0.8113972936491124,-574.9588075093236,30.0,4.786666666666667
2013,continuation,171.0,0.5087719298245614,-0.18099196034953677,0.4610389610392954,-30.949625219770788,0.7445963897316066,-0.28421052631581023,-33.90374580701889,6.0,25.56140350877193
2013,fade,283.0,0.1413427561837456,-5.237540653776621,-2.3852813852810364,-1482.2240050187838,0.10868068431102233,-0.8104092701764222,-1480.5191592038045,24.0,6.943462897526501
2014,continuation,179.0,0.3687150837988827,-0.4658951894858596,-1.2008788449466563,-83.39523891796887,0.48319034367441277,-1.0692300977653941,-87.29687007292635,10.0,18.6536312849162
2014,fade,274.0,0.13503649635036497,-5.470515340633984,-2.262332327036267,-1498.9212033337117,0.11330268943552894,-0.6301709160543396,-1501.292473749494,22.0,9.558394160583942
2015,continuation,196.0,0.4030612244897959,-0.28170839598542946,-1.1481519903958415,-55.21484561314418,0.6324694103726884,-0.6518734056122778,-69.70829413553291,10.0,20.607142857142858
2015,fade,281.0,0.12811387900355872,-4.628482475598017,-1.8311688311688312,-1300.6035756430429,0.1244504044458522,-0.7892642193893085,-1299.2010599197727,20.0,6.419928825622776
2016,continuation,225.0,0.3511111111111111,-0.4177717603613516,-1.151802656546498,-93.99864608130412,0.49655619405372114,-1.7235694444443754,-98.14058614509693,14.0,19.066666666666666
2016,fade,349.0,0.13753581661891118,-3.7206656604585024,-1.8080808080806894,-1298.5123155000174,0.15676203367772223,-0.7411655861737432,-1300.1441742295763,30.0,8.289398280802292
2017,continuation,228.0,0.40350877192982454,-0.29703089812024064,-1.1455056644339718,-67.72304477141486,0.615152079749585,-1.0482524671053015,-70.11581771927534,10.0,20.153508771929825
2017,fade,338.0,0.10946745562130178,-5.6809233461306015,-2.097850905068129,-1920.1520909921433,0.08526406440752203,-1.0069027489013596,-1918.764212204264,25.0,5.3017751479289945
2018,continuation,220.0,0.4681818181818182,0.024629288838355193,-1.047950682579402,5.4184435444381425,1.0408484601111148,1.2981960227273,-18.48833678014796,9.0,21.754545454545454
2018,fade,344.0,0.11046511627906977,-2.8522436265506173,-1.4654666091180681,-981.1718075334123,0.1820201947369987,-1.1024283326002005,-981.7588408386719,30.0,4.662790697674419
2019,continuation,224.0,0.39285714285714285,-0.20775764272311972,-1.0932012586309503,-46.537711969978815,0.7092940755133864,-1.1556570870535634,-53.67482937463767,12.0,21.183035714285715
2019,fade,361.0,0.13573407202216067,-1.489433128460808,-1.461095100864592,-537.6853593743517,0.3271760344370387,-0.4815783539918728,-559.9577598958044,36.0,7.4930747922437675
2020,continuation,213.0,0.41784037558685444,-0.03981591963568806,-1.0304616849119468,-8.480790882401557,0.9363724463910634,-1.4479900234741059,-15.925029785625417,6.0,19.812206572769952
2020,fade,359.0,0.11420612813370473,-1.9173848957088737,-1.2120609675281315,-688.3411775594857,0.2550611956923543,0.2933761553604073,-687.0109402013845,41.0,5.6155988857938715
2021,continuation,229.0,0.39737991266375544,-0.09413106659992679,-1.034379028792437,-21.556014251383235,0.8557846012264747,-1.9122066048035045,-32.677224694864925,8.0,19.786026200873362
2021,fade,361.0,0.12188365650969529,-0.9106104598699934,-1.2017654476671167,-328.73037601306766,0.44114274885749954,-1.4319315918824018,-328.2234343219869,35.0,6.28808864265928
2022,continuation,234.0,0.39316239316239315,-0.061385608017581084,-1.0225624691205633,-14.364232276113974,0.9026875671439187,-3.325727831196642,-32.30463988712494,11.0,18.764957264957264
2022,fade,335.0,0.14029850746268657,-0.536494622047322,-1.1286173633440575,-179.72569838585287,0.6065892834077445,0.5834758129506133,-187.48684579325771,18.0,7.964179104477612
2023,continuation,229.0,0.43231441048034935,0.014598753432640483,-1.0298981593945626,3.343114536074671,1.0242027676506147,-1.1648676310044415,-15.965233590246513,8.0,20.903930131004365
2023,fade,382.0,0.14136125654450263,-1.1989901797524989,-1.1789718129404054,-458.01424866545455,0.4091143701824901,0.34946059915269223,-463.0737459324277,25.0,6.4267015706806285
2024,continuation,233.0,0.44206008583690987,0.041995920338365,-1.0220279479589736,9.785049438839046,1.0714732433843395,0.23319474248918606,-14.705831464605069,9.0,23.48497854077253
2024,fade,374.0,0.06684491978609626,-1.2410676370673241,-1.1589277213338547,-464.1592962631793,0.23909873307019008,-3.1714870472982035,-462.6223835115008,48.0,5.834224598930481
2025,continuation,237.0,0.4008438818565401,-0.04785157430784198,-1.0195694716242667,-11.34082311095855,0.922943934849896,-0.027762394514881522,-28.782673760927274,12.0,29.18143459915612
2025,fade,364.0,0.11263736263736264,-0.8726165767442987,-1.1197237854025104,-317.63243393492473,0.43342418750354866,-2.8498960000920754,-323.56809234015105,76.0,5.648351648351649
2026,continuation,137.0,0.4306569343065693,0.039765645646189,-1.0124180216539251,5.447893453527893,1.0686799005732697,2.2578125000000533,-10.740205936221159,6.0,34.306569343065696
2026,fade,205.0,0.07804878048780488,-0.7426907043701682,-1.0719586237913274,-152.25159439588447,0.3800989229991417,-3.460119513137938,-156.8032491393094,53.0,11.541463414634146
