market,pattern,side,split,trades,win_rate,gross_expectancy_pts,net_expectancy_pts,net_total_pts,profit_factor
ES,engulfing,long,IS,2403,0.4665002080732418,-0.03464419475655431,-0.5346441947565543,-1284.75,0.8035700634508065
ES,engulfing,long,OOS,424,0.5636792452830188,0.9080188679245284,0.4080188679245283,173.0,1.0569078947368422
ES,engulfing,long,Validation,772,0.5207253886010362,0.5731865284974094,0.07318652849740932,56.5,1.013321544356027
ES,engulfing,short,IS,2405,0.3891891891891892,-0.23804573804573806,-0.738045738045738,-1775.0,0.7421931735657226
ES,engulfing,short,OOS,424,0.41745283018867924,-0.7128537735849056,-1.2128537735849056,-514.25,0.8479562421465001
ES,engulfing,short,Validation,774,0.4444444444444444,-0.5810723514211886,-1.0810723514211886,-836.75,0.8212931816968337
ES,inside_breakout,long,IS,1157,0.442523768366465,-0.1598962834917891,-0.6598962834917891,-763.5,0.7711673909785703
ES,inside_breakout,long,OOS,300,0.51,-0.6275,-1.1275,-338.25,0.8334769230769231
ES,inside_breakout,long,Validation,500,0.502,-0.707,-1.207,-603.5,0.7876308612650655
ES,inside_breakout,short,IS,1127,0.3992901508429459,-0.43611357586512867,-0.9361135758651287,-1055.0,0.7168925264993962
ES,inside_breakout,short,OOS,262,0.4732824427480916,0.4618320610687023,-0.03816793893129771,-10.0,0.9944274171078294
ES,inside_breakout,short,Validation,454,0.42290748898678415,-0.7087004405286343,-1.2087004405286343,-548.75,0.8037901135246268
ES,inside_fakeout,long,IS,1585,0.49779179810725555,0.37066246056782337,-0.12933753943217666,-205.0,0.9517845592991121
ES,inside_fakeout,long,OOS,360,0.4861111111111111,0.3548611111111111,-0.1451388888888889,-52.25,0.9801009235456536
ES,inside_fakeout,long,Validation,657,0.5098934550989346,0.5205479452054794,0.02054794520547945,13.5,1.0036173633440515
ES,inside_fakeout,short,IS,909,0.42574257425742573,0.2739273927392739,-0.22607260726072606,-205.5,0.9205336426914154
ES,inside_fakeout,short,OOS,275,0.4254545454545455,-0.14727272727272728,-0.6472727272727272,-178.0,0.8982857142857142
ES,inside_fakeout,short,Validation,455,0.4197802197802198,-1.3043956043956044,-1.8043956043956044,-821.0,0.7048620472724004
ES,pin_bar,long,IS,1652,0.461864406779661,-0.14603510895883778,-0.6460351089588378,-1067.25,0.7551196007571847
ES,pin_bar,long,OOS,320,0.525,0.2015625,-0.2984375,-95.5,0.9543389911546737
ES,pin_bar,long,Validation,582,0.5017182130584192,0.6237113402061856,0.12371134020618557,72.0,1.0255886272767658
ES,pin_bar,short,IS,1666,0.40036014405762305,-0.04576830732292917,-0.5457683073229291,-909.25,0.7828786341113964
ES,pin_bar,short,OOS,294,0.3673469387755102,-3.397108843537415,-3.897108843537415,-1145.75,0.524091381100727
ES,pin_bar,short,Validation,517,0.4526112185686654,-0.13636363636363635,-0.6363636363636364,-329.0,0.8809803744234421
ES,three_bar_reversal,long,IS,1813,0.46001103143960287,-0.012272476558190843,-0.5122724765581909,-928.75,0.8082184709101233
ES,three_bar_reversal,long,OOS,378,0.5555555555555556,0.8082010582010583,0.3082010582010582,116.5,1.0485012489592007
ES,three_bar_reversal,long,Validation,652,0.4831288343558282,-0.1579754601226994,-0.6579754601226994,-429.0,0.8773058773058773
ES,three_bar_reversal,short,IS,1740,0.3954022988505747,-0.028017241379310345,-0.5280172413793104,-918.75,0.8050604710375557
ES,three_bar_reversal,short,OOS,369,0.4254742547425474,-1.4850948509485096,-1.9850948509485096,-732.5,0.7526591254431876
ES,three_bar_reversal,short,Validation,664,0.4759036144578313,0.7251506024096386,0.22515060240963855,149.5,1.0450030102347982
NQ,engulfing,long,IS,2400,0.4845833333333333,0.017395833333333333,-0.9826041666666666,-2358.25,0.8924732408494535
NQ,engulfing,long,OOS,406,0.5246305418719212,1.2660098522167487,0.2660098522167488,108.0,1.0070263324821496
NQ,engulfing,long,Validation,767,0.5136897001303781,-0.6740547588005215,-1.6740547588005215,-1284.0,0.9351531526981642
NQ,engulfing,short,IS,2394,0.41854636591478694,-0.8469089390142022,-1.8469089390142022,-4421.5,0.8181500370157111
NQ,engulfing,short,OOS,410,0.4317073170731707,-2.8268292682926828,-3.8268292682926828,-1569.0,0.9023661735193914
NQ,engulfing,short,Validation,768,0.4934895833333333,2.4788411458333335,1.4788411458333333,1135.75,1.0596499520752092
NQ,inside_breakout,long,IS,1690,0.4798816568047337,-1.308284023668639,-2.308284023668639,-3901.0,0.7496349779382271
NQ,inside_breakout,long,OOS,308,0.5194805194805194,-2.583603896103896,-3.583603896103896,-1103.75,0.8863577863577864
NQ,inside_breakout,long,Validation,591,0.5245346869712352,0.046954314720812185,-0.9530456852791879,-563.25,0.9559487730960994
NQ,inside_breakout,short,IS,1612,0.4119106699751861,-1.5041873449131513,-2.5041873449131513,-4036.75,0.750937051719085
NQ,inside_breakout,short,OOS,287,0.45993031358885017,0.9155052264808362,-0.08449477351916376,-24.25,0.9973099642252974
NQ,inside_breakout,short,Validation,516,0.4728682170542636,0.438953488372093,-0.561046511627907,-289.5,0.9760461700763295
NQ,inside_fakeout,long,IS,2088,0.5181992337164751,0.9686302681992337,-0.031369731800766285,-65.5,0.9963411398326979
NQ,inside_fakeout,long,OOS,377,0.5809018567639257,6.8302387267904505,5.8302387267904505,2198.0,1.1855400329211159
NQ,inside_fakeout,long,Validation,693,0.5007215007215007,-1.3376623376623376,-2.3376623376623376,-1620.0,0.9048849224988258
NQ,inside_fakeout,short,IS,1468,0.42370572207084467,-1.4294959128065394,-2.4294959128065394,-3566.5,0.7380029751519716
NQ,inside_fakeout,short,OOS,309,0.41423948220064727,-2.366504854368932,-3.366504854368932,-1040.25,0.8913974004280419
NQ,inside_fakeout,short,Validation,578,0.4619377162629758,1.9705882352941178,0.9705882352941176,561.0,1.0442865600947306
NQ,pin_bar,long,IS,1783,0.5002804262478968,0.8373527762198542,-0.16264722378014582,-290.0,0.9804763106959522
NQ,pin_bar,long,OOS,315,0.5079365079365079,-1.1722222222222223,-2.172222222222222,-684.25,0.9272596805485422
NQ,pin_bar,long,Validation,569,0.5325131810193322,-0.1586115992970123,-1.1586115992970123,-659.25,0.9505994754589734
NQ,pin_bar,short,IS,1776,0.4161036036036036,-0.2644988738738739,-1.2644988738738738,-2245.75,0.843436279977691
NQ,pin_bar,short,OOS,303,0.43234323432343236,-5.8638613861386135,-6.8638613861386135,-2079.75,0.8023380141136218
NQ,pin_bar,short,Validation,560,0.4660714285714286,-1.2526785714285715,-2.2526785714285715,-1261.5,0.9003652877875408
NQ,three_bar_reversal,long,IS,2063,0.4900630150266602,-0.4100824042656326,-1.4100824042656326,-2909.0,0.8455411899009744
NQ,three_bar_reversal,long,OOS,374,0.5588235294117647,10.253342245989305,9.253342245989305,3460.75,1.322628009415713
NQ,three_bar_reversal,long,Validation,677,0.5081240768094535,0.9741506646971935,-0.0258493353028065,-17.5,0.9988293727110056
NQ,three_bar_reversal,short,IS,2027,0.3976319684262457,-1.0156635421805624,-2.015663542180562,-4085.75,0.786720085609511
NQ,three_bar_reversal,short,OOS,363,0.43526170798898073,3.080578512396694,2.080578512396694,755.25,1.0624651076235965
NQ,three_bar_reversal,short,Validation,691,0.45875542691751087,0.3473227206946454,-0.6526772793053546,-451.0,0.9714145367538702
