market,pattern,side,signal_time,year,entry,exit,gross_pts,net_pts,split
NQ,engulfing,long,2010-06-07 09:49:00-04:00,2010,1835.5,1827.5,-8.0,-9.0,IS
NQ,three_bar_reversal,long,2010-06-07 09:49:00-04:00,2010,1835.5,1827.5,-8.0,-9.0,IS
NQ,pin_bar,long,2010-06-07 10:24:00-04:00,2010,1840.0,1812.75,-27.25,-28.25,IS
NQ,inside_breakout,short,2010-06-07 10:49:00-04:00,2010,1827.75,1821.25,6.5,5.5,IS
NQ,inside_fakeout,long,2010-06-07 10:49:00-04:00,2010,1827.75,1821.25,-6.5,-7.5,IS
NQ,engulfing,short,2010-06-07 11:24:00-04:00,2010,1812.75,1826.0,-13.25,-14.25,IS
NQ,inside_fakeout,short,2010-06-07 11:54:00-04:00,2010,1823.5,1828.75,-5.25,-6.25,IS
NQ,pin_bar,short,2010-06-07 12:14:00-04:00,2010,1825.75,1825.0,0.75,-0.25,IS
NQ,three_bar_reversal,short,2010-06-07 12:29:00-04:00,2010,1822.25,1830.0,-7.75,-8.75,IS
NQ,inside_breakout,long,2010-06-07 12:54:00-04:00,2010,1829.0,1821.25,-7.75,-8.75,IS
NQ,inside_breakout,long,2010-06-14 09:49:00-04:00,2010,1866.5,1868.25,1.75,0.75,IS
NQ,engulfing,long,2010-06-14 10:14:00-04:00,2010,1868.0,1873.0,5.0,4.0,IS
NQ,engulfing,short,2010-06-14 11:19:00-04:00,2010,1872.25,1867.5,4.75,3.75,IS
NQ,inside_breakout,short,2010-06-14 12:19:00-04:00,2010,1867.5,1863.25,4.25,3.25,IS
NQ,inside_fakeout,long,2010-06-14 12:19:00-04:00,2010,1867.5,1863.25,-4.25,-5.25,IS
NQ,three_bar_reversal,short,2010-06-14 14:19:00-04:00,2010,1852.25,1858.25,-6.0,-7.0,IS
NQ,three_bar_reversal,long,2010-06-14 14:44:00-04:00,2010,1853.25,1848.5,-4.75,-5.75,IS
NQ,pin_bar,long,2010-06-21 09:49:00-04:00,2010,1931.75,1925.5,-6.25,-7.25,IS
NQ,engulfing,short,2010-06-21 10:09:00-04:00,2010,1933.0,1923.75,9.25,8.25,IS
NQ,three_bar_reversal,short,2010-06-21 10:09:00-04:00,2010,1933.0,1923.75,9.25,8.25,IS
NQ,engulfing,long,2010-06-21 10:39:00-04:00,2010,1927.75,1922.25,-5.5,-6.5,IS
NQ,inside_fakeout,long,2010-06-21 11:04:00-04:00,2010,1924.0,1921.0,-3.0,-4.0,IS
NQ,pin_bar,short,2010-06-21 11:24:00-04:00,2010,1925.0,1915.5,9.5,8.5,IS
NQ,inside_fakeout,short,2010-06-21 12:04:00-04:00,2010,1920.75,1917.25,3.5,2.5,IS
NQ,three_bar_reversal,long,2010-06-21 13:14:00-04:00,2010,1919.75,1916.0,-3.75,-4.75,IS
NQ,inside_breakout,short,2010-06-21 13:24:00-04:00,2010,1915.75,1917.75,-2.0,-3.0,IS
NQ,pin_bar,long,2010-06-28 09:59:00-04:00,2010,1831.0,1842.0,11.0,10.0,IS
NQ,inside_fakeout,long,2010-06-28 09:59:00-04:00,2010,1831.0,1842.0,11.0,10.0,IS
NQ,engulfing,short,2010-06-28 10:09:00-04:00,2010,1824.5,1845.5,-21.0,-22.0,IS
NQ,three_bar_reversal,short,2010-06-28 10:09:00-04:00,2010,1824.5,1845.5,-21.0,-22.0,IS
NQ,engulfing,long,2010-06-28 10:24:00-04:00,2010,1830.0,1844.0,14.0,13.0,IS
NQ,three_bar_reversal,long,2010-06-28 11:29:00-04:00,2010,1848.5,1844.75,-3.75,-4.75,IS
NQ,pin_bar,short,2010-06-28 11:34:00-04:00,2010,1848.0,1843.0,5.0,4.0,IS
NQ,engulfing,long,2010-07-05 09:54:00-04:00,2010,1722.75,1721.0,-1.75,-2.75,IS
NQ,three_bar_reversal,short,2010-07-05 10:04:00-04:00,2010,1722.0,1721.5,0.5,-0.5,IS
NQ,engulfing,long,2010-07-06 09:49:00-04:00,2010,1749.75,1757.5,7.75,6.75,IS
NQ,three_bar_reversal,long,2010-07-06 09:49:00-04:00,2010,1749.75,1757.5,7.75,6.75,IS
NQ,inside_breakout,long,2010-07-06 10:04:00-04:00,2010,1757.0,1757.25,0.25,-0.75,IS
NQ,pin_bar,short,2010-07-06 10:19:00-04:00,2010,1760.0,1753.25,6.75,5.75,IS
NQ,inside_breakout,short,2010-07-06 10:24:00-04:00,2010,1757.75,1753.0,4.75,3.75,IS
NQ,inside_fakeout,long,2010-07-06 10:24:00-04:00,2010,1757.75,1753.0,-4.75,-5.75,IS
NQ,three_bar_reversal,short,2010-07-06 10:44:00-04:00,2010,1759.0,1755.25,3.75,2.75,IS
NQ,engulfing,short,2010-07-06 10:59:00-04:00,2010,1755.75,1754.0,1.75,0.75,IS
NQ,pin_bar,long,2010-07-06 12:19:00-04:00,2010,1751.25,1735.25,-16.0,-17.0,IS
NQ,engulfing,short,2010-07-12 09:54:00-04:00,2010,1824.75,1813.0,11.75,10.75,IS
NQ,three_bar_reversal,short,2010-07-12 09:54:00-04:00,2010,1824.75,1813.0,11.75,10.75,IS
NQ,engulfing,long,2010-07-12 10:19:00-04:00,2010,1823.25,1811.25,-12.0,-13.0,IS
NQ,three_bar_reversal,long,2010-07-12 10:19:00-04:00,2010,1823.25,1811.25,-12.0,-13.0,IS
NQ,inside_fakeout,short,2010-07-12 11:34:00-04:00,2010,1810.75,1812.25,-1.5,-2.5,IS
NQ,inside_breakout,long,2010-07-12 13:54:00-04:00,2010,1820.25,1816.5,-3.75,-4.75,IS
NQ,pin_bar,long,2010-07-12 14:29:00-04:00,2010,1816.0,1818.25,2.25,1.25,IS
NQ,pin_bar,short,2010-07-19 09:54:00-04:00,2010,1815.0,1794.75,20.25,19.25,IS
NQ,inside_breakout,short,2010-07-19 10:24:00-04:00,2010,1801.75,1807.75,-6.0,-7.0,IS
NQ,engulfing,short,2010-07-19 10:24:00-04:00,2010,1801.75,1807.75,-6.0,-7.0,IS
NQ,engulfing,long,2010-07-19 10:44:00-04:00,2010,1802.0,1804.25,2.25,1.25,IS
NQ,three_bar_reversal,long,2010-07-19 10:59:00-04:00,2010,1797.25,1807.0,9.75,8.75,IS
NQ,inside_fakeout,long,2010-07-19 12:04:00-04:00,2010,1803.5,1806.0,2.5,1.5,IS
NQ,engulfing,short,2010-07-26 10:19:00-04:00,2010,1878.0,1883.0,-5.0,-6.0,IS
NQ,three_bar_reversal,short,2010-07-26 10:19:00-04:00,2010,1878.0,1883.0,-5.0,-6.0,IS
NQ,pin_bar,long,2010-07-26 10:29:00-04:00,2010,1875.75,1882.5,6.75,5.75,IS
NQ,inside_fakeout,long,2010-07-26 10:34:00-04:00,2010,1873.75,1882.0,8.25,7.25,IS
NQ,engulfing,long,2010-07-26 10:49:00-04:00,2010,1877.5,1885.25,7.75,6.75,IS
NQ,pin_bar,short,2010-07-26 13:24:00-04:00,2010,1879.0,1878.5,0.5,-0.5,IS
NQ,inside_breakout,short,2010-07-26 14:24:00-04:00,2010,1878.75,1884.0,-5.25,-6.25,IS
NQ,engulfing,long,2010-08-02 09:49:00-04:00,2010,1883.75,1894.5,10.75,9.75,IS
NQ,three_bar_reversal,long,2010-08-02 09:49:00-04:00,2010,1883.75,1894.5,10.75,9.75,IS
NQ,inside_fakeout,short,2010-08-02 10:19:00-04:00,2010,1896.5,1896.0,0.5,-0.5,IS
NQ,engulfing,short,2010-08-02 10:34:00-04:00,2010,1895.5,1898.25,-2.75,-3.75,IS
NQ,inside_fakeout,long,2010-08-02 11:04:00-04:00,2010,1896.5,1896.75,0.25,-0.75,IS
NQ,pin_bar,short,2010-08-02 12:19:00-04:00,2010,1897.25,1895.0,2.25,1.25,IS
NQ,inside_breakout,long,2010-08-02 13:24:00-04:00,2010,1895.5,1897.25,1.75,0.75,IS
NQ,three_bar_reversal,short,2010-08-02 13:29:00-04:00,2010,1894.25,1896.25,-2.0,-3.0,IS
NQ,pin_bar,short,2010-08-09 10:19:00-04:00,2010,1909.0,1910.25,-1.25,-2.25,IS
NQ,inside_fakeout,short,2010-08-09 10:39:00-04:00,2010,1906.75,1910.75,-4.0,-5.0,IS
NQ,inside_breakout,short,2010-08-09 10:54:00-04:00,2010,1906.25,1909.75,-3.5,-4.5,IS
NQ,engulfing,long,2010-08-09 10:59:00-04:00,2010,1908.25,1909.0,0.75,-0.25,IS
NQ,three_bar_reversal,long,2010-08-09 10:59:00-04:00,2010,1908.25,1909.0,0.75,-0.25,IS
NQ,engulfing,short,2010-08-09 11:49:00-04:00,2010,1911.25,1909.25,2.0,1.0,IS
NQ,pin_bar,long,2010-08-09 12:29:00-04:00,2010,1909.0,1909.25,0.25,-0.75,IS
NQ,three_bar_reversal,long,2010-08-16 10:04:00-04:00,2010,1820.0,1824.0,4.0,3.0,IS
NQ,pin_bar,short,2010-08-16 10:14:00-04:00,2010,1821.25,1825.25,-4.0,-5.0,IS
NQ,engulfing,long,2010-08-16 10:19:00-04:00,2010,1824.75,1824.5,-0.25,-1.25,IS
NQ,inside_fakeout,short,2010-08-16 10:29:00-04:00,2010,1824.75,1823.25,1.5,0.5,IS
NQ,engulfing,short,2010-08-16 11:04:00-04:00,2010,1824.0,1829.0,-5.0,-6.0,IS
NQ,three_bar_reversal,short,2010-08-16 14:09:00-04:00,2010,1824.0,1814.75,9.25,8.25,IS
NQ,engulfing,long,2010-08-23 09:49:00-04:00,2010,1841.25,1816.0,-25.25,-26.25,IS
NQ,inside_breakout,long,2010-08-23 10:34:00-04:00,2010,1825.25,1813.75,-11.5,-12.5,IS
NQ,inside_breakout,short,2010-08-23 11:04:00-04:00,2010,1812.5,1815.25,-2.75,-3.75,IS
NQ,inside_fakeout,long,2010-08-23 11:04:00-04:00,2010,1812.5,1815.25,2.75,1.75,IS
NQ,three_bar_reversal,long,2010-08-23 11:14:00-04:00,2010,1815.25,1816.75,1.5,0.5,IS
NQ,pin_bar,short,2010-08-23 11:49:00-04:00,2010,1814.0,1814.0,-0.0,-1.0,IS
NQ,engulfing,short,2010-08-23 12:19:00-04:00,2010,1814.5,1816.0,-1.5,-2.5,IS
NQ,three_bar_reversal,short,2010-08-23 12:19:00-04:00,2010,1814.5,1816.0,-1.5,-2.5,IS
NQ,engulfing,short,2010-08-30 09:54:00-04:00,2010,1793.75,1793.75,-0.0,-1.0,IS
NQ,three_bar_reversal,short,2010-08-30 09:54:00-04:00,2010,1793.75,1793.75,-0.0,-1.0,IS
NQ,engulfing,long,2010-08-30 10:14:00-04:00,2010,1796.75,1790.5,-6.25,-7.25,IS
NQ,three_bar_reversal,long,2010-08-30 10:39:00-04:00,2010,1789.75,1787.25,-2.5,-3.5,IS
NQ,pin_bar,long,2010-08-30 11:49:00-04:00,2010,1785.25,1787.75,2.5,1.5,IS
NQ,pin_bar,short,2010-08-30 12:14:00-04:00,2010,1784.0,1786.75,-2.75,-3.75,IS
NQ,engulfing,long,2010-09-07 10:09:00-04:00,2010,1860.25,1860.25,0.0,-1.0,IS
NQ,three_bar_reversal,long,2010-09-07 10:09:00-04:00,2010,1860.25,1860.25,0.0,-1.0,IS
NQ,inside_fakeout,short,2010-09-07 10:54:00-04:00,2010,1859.25,1859.25,-0.0,-1.0,IS
NQ,pin_bar,long,2010-09-07 11:19:00-04:00,2010,1860.0,1862.0,2.0,1.0,IS
NQ,inside_fakeout,long,2010-09-07 11:19:00-04:00,2010,1860.0,1862.0,2.0,1.0,IS
NQ,inside_breakout,long,2010-09-07 12:09:00-04:00,2010,1863.75,1858.5,-5.25,-6.25,IS
NQ,pin_bar,short,2010-09-07 12:49:00-04:00,2010,1859.5,1859.75,-0.25,-1.25,IS
NQ,engulfing,short,2010-09-07 12:59:00-04:00,2010,1859.25,1863.0,-3.75,-4.75,IS
NQ,three_bar_reversal,short,2010-09-07 14:54:00-04:00,2010,1859.25,1854.5,4.75,3.75,IS
NQ,engulfing,short,2010-09-13 09:49:00-04:00,2010,1911.5,1920.75,-9.25,-10.25,IS
NQ,three_bar_reversal,short,2010-09-13 09:49:00-04:00,2010,1911.5,1920.75,-9.25,-10.25,IS
NQ,inside_fakeout,long,2010-09-13 09:59:00-04:00,2010,1910.5,1918.5,8.0,7.0,IS
NQ,engulfing,long,2010-09-13 10:04:00-04:00,2010,1914.0,1918.75,4.75,3.75,IS
NQ,pin_bar,short,2010-09-13 10:19:00-04:00,2010,1915.5,1919.75,-4.25,-5.25,IS
NQ,pin_bar,long,2010-09-13 11:04:00-04:00,2010,1918.75,1916.25,-2.5,-3.5,IS
NQ,three_bar_reversal,long,2010-09-13 11:19:00-04:00,2010,1919.5,1913.5,-6.0,-7.0,IS
NQ,inside_breakout,short,2010-09-13 12:54:00-04:00,2010,1910.5,1914.25,-3.75,-4.75,IS
NQ,inside_breakout,long,2010-09-20 09:54:00-04:00,2010,1964.5,1976.5,12.0,11.0,IS
