study,feature,feature_key,horizon_s,decision,discovery_partial,discovery_n,held_out_partial,held_out_n,held_out_mean_session_partial,held_out_sessions_defined,held_out_sessions_matching_pooled_sign,verdict,fifth_spread_1s
P,log(1 + age_ms),log_age,1,True,-0.0015766408572611794,338665,-0.0019237582482433257,370566,-0.001887809339194771,13,9,NOT SUPPORTED,
P,log(1 + age_ms),log_age,5,False,-0.00022267957145656573,338467,-0.00046807760074646344,370370,-0.0004472813828369233,13,8,,
P,log(1 + age_ms),log_age,15,False,-0.0029028042119928735,337987,0.0005393072191682962,369935,0.0005784981394202409,13,6,,
P,log(1 + age_ms),log_age,30,False,-0.0009997646233779669,337342,0.0006797535772350388,369252,0.0007554216967518826,13,5,,
P,log(1 + trade_size_at_price),log_trade_size,1,True,7.097453594991919e-05,338665,-0.0033581629166474854,370566,-0.0038163040764805814,13,9,NOT SUPPORTED,
P,log(1 + trade_size_at_price),log_trade_size,5,False,0.0008564404267082944,338467,-0.002563479368484079,370370,-0.002492956239686257,13,8,,
P,log(1 + trade_size_at_price),log_trade_size,15,False,-0.002545191631252515,337987,-0.00025493805976954377,369935,0.0005285368518519901,13,9,,
P,log(1 + trade_size_at_price),log_trade_size,30,False,-0.0001283718212600193,337342,0.001931888743404729,369252,0.0027291738327355516,13,8,,
R,log(1 + lifetime_ms),log_lifetime,1,True,-0.0005330306912869318,27372244,0.0004049508993135213,32455909,0.00038581862708964016,13,8,NOT SUPPORTED,
R,log(1 + lifetime_ms),log_lifetime,5,False,-0.0007458546221436933,27363262,0.0009325149618398253,32446720,0.0008689609814086507,13,13,,
R,log(1 + lifetime_ms),log_lifetime,15,False,-0.0006698491175816021,27346158,0.0009038360544407645,32428787,0.0008305889814763082,13,12,,
R,log(1 + lifetime_ms),log_lifetime,30,False,-0.0008002018219180459,27322515,0.000520591522038647,32401377,0.0004617174114108406,13,7,,
R,"fate, fill versus cancel",fate,1,True,6.410394864134245e-05,27372244,0.0004076993494199709,32455909,0.00037550934425940646,13,11,NOT SUPPORTED,
R,"fate, fill versus cancel",fate,5,False,-0.00011242027075323365,27363262,0.0002637022342549649,32446720,0.00020530701160154276,13,9,,
R,"fate, fill versus cancel",fate,15,False,-4.7598113921535116e-05,27346158,0.0003584770353857025,32428787,0.00035736637035287843,13,9,,
R,"fate, fill versus cancel",fate,30,False,0.00014339303477401677,27322515,0.000502366823086969,32401377,0.0004660218849129707,13,10,,
