date,snapshot_step_bad,future_flow,trade_ts_backward,sequence_backward,trades_outside_grid,bad_bin,flow_mismatch,early_credit,crossed,locked,empty_book_rows,bad_price,bad_qty,n_trades,aggressive_buy,aggressive_sell,unclassified,buy_at_or_through_ask,buy_at_or_through_bid,sell_at_or_through_bid,sell_at_or_through_ask,inside_spread,trade_book_missing
2026-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,148329,72538,75791,0,72538,0,75791,0,0,0
2026-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,138801,69532,69269,0,69531,1,69269,0,0,0
2026-07-10,0,0,0,0,0,0,0,0,15,0,0,0,0,141320,70833,70485,2,70832,1,70485,0,0,0
2026-07-13,0,0,0,0,0,0,0,0,5,0,0,0,0,137493,68314,69178,1,68314,0,69177,1,0,0
2026-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,138494,68020,70474,0,68020,0,70474,0,0,0
2026-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,149107,73984,75123,0,73984,0,75122,1,0,0
2026-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,138224,69465,68759,0,69465,0,68758,1,0,0
2026-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,186716,93220,93496,0,93220,0,93495,1,0,0
2026-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,142827,71465,71362,0,71464,1,71362,0,0,0
2026-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,135863,67349,68514,0,67348,1,68514,0,0,0
2026-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,122844,61759,61085,0,61759,0,61085,0,0,0
2026-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,193009,96506,96503,0,96506,0,96503,0,0,0
2026-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,181916,91601,90315,0,91600,1,90314,1,0,0
2026-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,202129,100968,101161,0,100966,2,101161,0,0,0
2026-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,221075,112390,108685,0,112390,0,108685,0,0,0
2026-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,187916,94153,93763,0,94153,0,93762,1,0,0
2026-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,217410,108101,109309,0,108099,2,109308,1,0,0
2026-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,239082,119295,119787,0,119295,0,119787,0,0,0
2026-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,165129,82914,82215,0,82914,0,82215,0,0,0
2026-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,166681,84211,82470,0,84211,0,82470,0,0,0
2026-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,190939,94031,96908,0,94030,1,96907,1,0,0
2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,183697,92553,91144,0,92552,1,91144,0,0,0
2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,177311,89327,87984,0,89327,0,87984,0,0,0
2026-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,128573,64511,64062,0,64510,1,64060,2,0,0
2026-08-11,0,0,0,0,0,0,0,0,5,0,0,0,0,135704,67666,68037,1,67665,1,68037,0,0,0
2026-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,131329,64703,66626,0,64703,0,66625,1,0,0
