n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
233946,-0.006616784549176072,116965,-0.006269567077283825,116981,-0.006301925884368329,26,-0.0051001980211140465,,,,,,,,,trade,buy_volume,1,1,False
233830,-0.0001730063437068036,116905,0.00318153041409679,116925,-0.003178547671741623,26,0.002611100703681456,,,,,,,,,trade,buy_volume,1,5,False
233560,-0.0006668439357273442,116765,0.005498641950147462,116795,-0.006933653420228545,26,-0.00025377774193784857,,,,,,,,,trade,buy_volume,1,15,False
233170,-0.0008487001068194468,116570,0.005978323271480631,116600,-0.007871517939083666,26,0.005723129207364747,,,,,,,,,trade,buy_volume,1,30,False
232390,0.004050605411119603,116180,0.007873868221577363,116210,6.821679822388e-05,26,0.007036566489153635,,,,,,,,,trade,buy_volume,1,60,False
233946,-0.001882210653752511,116965,-0.002985093690308351,116981,-0.0005833013510806127,26,-0.0017893687653508929,,,,,,,,,trade,sell_volume,1,1,False
233830,0.001487110421646161,116905,0.003359266244622512,116925,-0.0002639461768399489,26,0.0021556693517812845,,,,,,,,,trade,sell_volume,1,5,False
233560,0.00044740455782459895,116765,0.006415757315314509,116795,-0.005205670747732498,26,0.003885173744530727,,,,,,,,,trade,sell_volume,1,15,False
233170,0.0004736178264647309,116570,0.0048040171868595615,116600,-0.0035526044341436806,26,0.006404914184379695,,,,,,,,,trade,sell_volume,1,30,False
232390,0.005957477270644211,116180,0.006953191629503725,116210,0.005455375823317292,26,0.007378217824476625,,,,,,,,,trade,sell_volume,1,60,False
232693,-0.005522688114051889,116171,-0.004876323688625371,116522,-0.006040203800829899,26,-0.007582329101468955,108862.0,108843.0,0.0,0.007029541988940126,0.0,-0.006412906663726652,210212.0,0.4950193138355565,trade,trade_imbalance,1,1,True
232578,-0.0028258725527514615,116112,-0.0026799589834704367,116466,-0.002816387771310425,26,-0.0017939911476579937,108812.0,108786.0,0.0,0.011657721574826306,0.0,-0.007533138455315941,214613.0,0.49681053803823627,trade,trade_imbalance,1,5,True
232314,-0.0016109661959485555,115975,-0.0012868369318856188,116339,-0.001945397144063256,26,-0.0015934137616318918,108701.0,108659.0,0.0,-0.0014040809192187745,0.125,-0.009230712596287468,215687.0,0.4988664129038839,trade,trade_imbalance,1,15,True
231929,-0.0008392865701523261,115784,0.0016051162380018758,116145,-0.0035555787148636438,26,-0.00449463463140665,108530.0,108474.0,0.125,-0.011631576522620474,0.125,-0.012027075612589191,215909.0,0.5002848422251968,trade,trade_imbalance,1,30,True
231162,-0.001617001767632478,115400,0.000424747960435472,115762,-0.004027192305889067,26,-0.0018533127562318662,108200.0,108127.0,0.25,-0.05527841959334566,0.375,-0.02063430040600405,215518.0,0.4998283206043115,trade,trade_imbalance,1,60,True
233946,-0.006435880959623509,116965,-0.007691814919940566,116981,-0.005032888012977641,26,-0.004574096609499777,108862.0,108843.0,0.0,0.007029541988940126,0.0,-0.006412906663726652,210212.0,0.4950193138355565,trade,signed_volume,1,1,True
233830,-0.004035800353411153,116905,-0.005966937957307734,116925,-0.002062014363348067,26,0.00011275692968751918,108812.0,108786.0,0.0,0.011657721574826306,0.0,-0.007533138455315941,214613.0,0.49681053803823627,trade,signed_volume,1,5,True
233560,-0.0023754120978500604,116765,-0.0016914438615562753,116795,-0.0031549216785712493,26,-0.0011844530127725656,108701.0,108659.0,0.0,-0.0014040809192187745,0.125,-0.009230712596287468,215687.0,0.4988664129038839,trade,signed_volume,1,15,True
233170,-0.0018484576403842356,116570,0.0012699065087451707,116600,-0.004993671277609259,26,-0.003462847623468237,108530.0,108474.0,0.125,-0.011631576522620474,0.125,-0.012027075612589191,215909.0,0.5002848422251968,trade,signed_volume,1,30,True
232390,-0.00285737377706744,116180,0.00039703004866842946,116210,-0.006219526075081645,26,-0.005640178547230143,108200.0,108127.0,0.25,-0.05527841959334566,0.375,-0.02063430040600405,215518.0,0.4998283206043115,trade,signed_volume,1,60,True
232693,-0.005012748032833357,116171,-0.0036399510529427923,116522,-0.006388079761063698,26,-0.007016809280897601,106399.0,106366.0,0.0,0.008755956352973241,0.0,-0.00592529567719008,205548.0,0.49506684570027437,trade,count_imbalance,1,1,True
232578,-0.001190729153556148,116112,-0.00032108132310806463,116466,-0.0020085999651288486,26,-0.0007499396520558359,106352.0,106308.0,0.0,0.018404684444110125,0.0,-0.010102720397336042,209789.0,0.49735210139711805,trade,count_imbalance,1,5,True
