date,file_size_mb,snapshot_present,snapshot_complete,snapshot_orders,events_to_0930,trades_to_0930,bbo_bid,bbo_ask,spread_pts,active_orders_0930,orphan_cancels,orphan_modifies,crossed_checks_flagged,status,notes,elapsed_s
2026-07-08,402.7,True,True,2691,11147228,123663,29200.75,29202.75,2.0,3415,0,0,0,PASS,CLEAN,183.9
2026-07-09,281.0,True,True,2666,6981790,84822,29745.25,29746.75,1.5,3383,0,0,0,PASS,CLEAN,115.6
2026-07-10,247.2,True,True,2695,4960473,72857,29834.5,29836.0,1.5,3372,0,0,0,PASS,CLEAN,83.5
2026-07-13,294.6,True,True,2740,7068013,88718,29710.0,29711.5,1.5,3570,0,0,0,PASS,CLEAN,112.9
2026-07-14,331.2,True,True,2752,9820314,102551,29810.25,29811.5,1.25,3162,0,0,0,PASS,CLEAN,154.4
2026-07-15,234.0,True,True,2496,4434379,63863,29954.5,29955.5,1.0,3238,0,0,0,PASS,CLEAN,66.7
2026-07-16,247.1,True,True,2434,5345798,74895,29465.0,29466.25,1.25,3118,0,0,0,PASS,CLEAN,79.8
2026-07-17,308.5,True,True,2511,6373155,111450,28604.75,28607.75,3.0,3508,0,0,0,FLAG,ABNORMAL_SPREAD(3.00),99.9
2026-07-20,310.7,True,True,2815,7297881,80884,29043.0,29045.0,2.0,3755,0,0,0,PASS,CLEAN,118.2
2026-07-21,238.4,True,True,3200,5188494,75034,29221.5,29222.5,1.0,3558,0,0,0,PASS,CLEAN,83.0
2026-07-22,258.0,True,True,3048,6040748,78908,29089.75,29090.5,0.75,3541,0,0,0,PASS,CLEAN,103.5
2026-07-23,361.4,True,True,3113,7073423,108030,28718.0,28719.25,1.25,3704,0,0,0,PASS,CLEAN,130.3
2026-07-24,357.3,True,True,3160,7384173,84235,28538.75,28540.5,1.75,3719,0,0,0,PASS,CLEAN,134.5
2026-07-27,356.8,True,True,3110,6144304,72260,28590.5,28591.25,0.75,3662,0,0,0,PASS,CLEAN,112.0
2026-07-28,395.2,True,True,3193,8837790,106631,27948.75,27950.25,1.5,3823,0,0,0,PASS,CLEAN,152.0
2026-07-29,408.2,True,True,3017,9709133,107948,27914.5,27916.25,1.75,3789,0,0,0,PASS,CLEAN,167.0
2026-07-30,447.6,True,True,2975,11267495,120803,27875.0,27877.25,2.25,3554,0,0,0,PASS,CLEAN,202.5
2026-07-31,434.6,True,True,2930,7637386,93671,28575.75,28576.75,1.0,3694,0,0,0,PASS,CLEAN,137.3
2026-08-03,306.0,True,True,3146,6655804,81291,28417.25,28419.25,2.0,3678,0,0,0,PASS,CLEAN,118.6
2026-08-04,279.2,True,True,3084,6816976,93027,29233.75,29234.75,1.0,3784,0,0,0,PASS,CLEAN,126.0
2026-08-05,326.0,True,True,3098,5220588,79916,29975.0,29975.75,0.75,3671,0,0,0,PASS,CLEAN,97.5
2026-08-06,359.4,True,True,2909,7007793,89499,29334.25,29335.25,1.0,3582,0,0,0,PASS,CLEAN,127.4
2026-08-07,350.9,True,True,2965,6616103,90423,29714.25,29715.0,0.75,3484,0,0,0,PASS,CLEAN,112.0
2026-08-10,250.5,True,True,3073,4757271,59022,29804.5,29805.5,1.0,3706,0,0,0,PASS,CLEAN,79.4
2026-08-11,231.9,True,True,3097,4333410,61481,29839.25,29839.75,0.5,3680,0,0,0,PASS,CLEAN,74.2
2026-08-12,226.1,True,True,2947,3929675,60668,29991.0,29992.0,1.0,3634,0,0,0,PASS,CLEAN,67.3
2026-08-13,194.6,True,True,2921,3401248,56001,29910.25,29911.5,1.25,3590,0,0,0,PASS,CLEAN,56.6
2026-08-14,194.0,True,True,2810,3144501,52436,30241.75,30242.0,0.25,3632,0,0,0,PASS,CLEAN,47.7
