sub_hypothesis,feature,horizon,mean_ic,std_ic,t_stat,p_raw,monotonic,q1_pts,q5_pts,spread_q5_q1,p_bh_fdr,p_holm,gate_pass
H02-A,cvd_1s,1s,0.5584,0.0324,87.82,0.0,True,-2.087,2.088,4.175,0.0,0.0,True
H02-A,cvd_1s,5s,0.2459,0.0151,82.98,0.0,True,-2.097,2.069,4.166,0.0,0.0,True
H02-A,cvd_1s,15s,0.1403,0.0147,48.73,0.0,True,-2.076,2.017,4.093,0.0,0.0,True
H02-A,cvd_1s,60s,0.0694,0.0105,33.8,0.0,True,-2.022,1.781,3.804,0.0,0.0,True
H02-A,cvd_1s,300s,0.0298,0.0089,17.12,2.4424906541753444e-15,True,-2.105,1.452,3.557,5.861977570020826e-15,8.79296635503124e-14,True
H02-A,cvd_5s,1s,0.1993,0.0172,58.96,0.0,True,-0.818,0.803,1.621,0.0,0.0,True
H02-A,cvd_5s,5s,0.0844,0.021,20.46,0.0,True,-0.76,0.778,1.538,0.0,0.0,True
H02-A,cvd_5s,15s,0.0515,0.0245,10.72,7.782396949096437e-11,True,-0.771,0.76,1.53,1.5564793898192875e-10,2.4125430542198956e-09,True
H02-A,cvd_5s,60s,0.0245,0.0211,5.93,3.4857378685693163e-06,True,-0.644,0.508,1.152,5.975550631833113e-06,9.062918458280222e-05,True
H02-A,cvd_5s,300s,0.0026,0.0214,0.61,0.545181985775486,True,-0.802,-0.022,0.78,0.5738757745005116,1.0,False
H02-A,cvd_15s,1s,0.0975,0.0153,32.49,0.0,True,-0.427,0.412,0.839,0.0,0.0,True
H02-A,cvd_15s,5s,0.044,0.0256,8.76,4.351598414942259e-09,True,-0.45,0.391,0.84,7.911997118076835e-09,1.2184475561838326e-07,True
H02-A,cvd_15s,15s,0.0272,0.0358,3.88,0.0006779480204139876,True,-0.484,0.37,0.854,0.0010169220306209814,0.01423690842869374,True
H02-A,cvd_15s,60s,0.0116,0.0366,1.62,0.11865361626597792,False,-0.424,0.033,0.457,0.15147270161614204,1.0,False
H02-A,cvd_15s,300s,-0.009,0.0366,-1.26,0.22074065517479324,False,-0.615,-0.566,0.048,0.26488878620975187,1.0,False
H02-A,cvd_60s,1s,0.0372,0.0072,26.34,0.0,True,-0.185,0.164,0.349,0.0,0.0,True
H02-A,cvd_60s,5s,0.012,0.018,3.41,0.0021837567397073876,False,-0.182,0.081,0.263,0.003119652485296268,0.041491378054440364,False
H02-A,cvd_60s,15s,0.0067,0.0324,1.05,0.30176228678923667,False,-0.235,-0.035,0.2,0.3459729311450094,1.0,False
H02-A,cvd_60s,60s,0.0016,0.0607,0.13,0.8939311599373339,False,-0.574,-0.486,0.088,0.909082535529492,1.0,False
H02-A,cvd_60s,300s,-0.0269,0.0792,-1.73,0.09619533161766336,False,-0.382,-1.465,-1.083,0.12547217167521307,1.0,False
H02-A,nfr_1s,1s,0.5181,0.0351,75.33,0.0,True,-1.692,1.698,3.391,0.0,0.0,True
H02-A,nfr_1s,5s,0.2246,0.0164,69.87,0.0,True,-1.747,1.682,3.429,0.0,0.0,True
H02-A,nfr_1s,15s,0.1277,0.0128,50.91,0.0,True,-1.727,1.681,3.408,0.0,0.0,True
H02-A,nfr_1s,60s,0.0637,0.009,35.96,0.0,True,-1.732,1.525,3.258,0.0,0.0,True
H02-A,nfr_1s,300s,0.0279,0.0083,17.1,2.6645352591003757e-15,False,-2.303,0.501,2.804,6.1489275210008664e-15,9.325873406851315e-14,False
H02-A,nfr_5s,1s,0.2064,0.0158,66.63,0.0,True,-0.792,0.767,1.56,0.0,0.0,True
H02-A,nfr_5s,5s,0.0884,0.0191,23.53,0.0,True,-0.756,0.757,1.514,0.0,0.0,True
H02-A,nfr_5s,15s,0.0545,0.0219,12.71,2.0821122603820186e-12,True,-0.815,0.804,1.619,4.307818469755901e-12,6.66275923322246e-11,True
H02-A,nfr_5s,60s,0.0283,0.017,8.49,7.754456410324906e-09,True,-0.84,0.678,1.518,1.3684334841749833e-08,2.0937032307877246e-07,True
H02-A,nfr_5s,300s,0.0074,0.0197,1.91,0.06762780557008008,False,-1.5,-0.35,1.149,0.09017040742677343,1.0,False
H02-A,nfr_15s,1s,0.1042,0.0144,36.84,0.0,True,-0.42,0.416,0.836,0.0,0.0,True
H02-A,nfr_15s,5s,0.0483,0.0242,10.17,2.2906188057447707e-10,True,-0.434,0.385,0.819,4.433455753054395e-10,6.871856417234312e-09,True
H02-A,nfr_15s,15s,0.0317,0.0362,4.47,0.00014696746413211947,True,-0.478,0.395,0.873,0.00023205389073492548,0.003380251675038748,True
H02-A,nfr_15s,60s,0.017,0.0321,2.7,0.01222591164765352,True,-0.544,0.246,0.789,0.017059411601377004,0.22006640965776336,False
H02-A,nfr_15s,300s,-0.0039,0.0334,-0.59,0.5580273893143262,False,-1.086,-0.769,0.317,0.5772697130837857,1.0,False
H02-A,nfr_60s,1s,0.0412,0.0062,33.81,0.0,True,-0.195,0.182,0.377,0.0,0.0,True
H02-A,nfr_60s,5s,0.016,0.0156,5.21,2.156452843915524e-05,False,-0.23,0.163,0.393,3.5940880731925404e-05,0.000539113210978881,False
H02-A,nfr_60s,15s,0.0115,0.0283,2.08,0.04804472308477514,False,-0.323,0.158,0.482,0.06551553147923883,0.8167602924411774,False
H02-A,nfr_60s,60s,0.007,0.0555,0.64,0.5278994936562782,False,-0.783,-0.046,0.737,0.5656066003460123,1.0,False
H02-A,nfr_60s,300s,-0.0223,0.0753,-1.51,0.14367049009277322,False,-0.98,-1.443,-0.463,0.17958811261596652,1.0,False
H02-A,tcd_1s,1s,0.5741,0.0365,80.17,0.0,True,-2.166,2.156,4.322,0.0,0.0,True
H02-A,tcd_1s,5s,0.254,0.0172,75.46,0.0,True,-2.186,2.135,4.321,0.0,0.0,True
H02-A,tcd_1s,15s,0.1444,0.0141,52.2,0.0,True,-2.151,2.059,4.21,0.0,0.0,True
