sub_hypothesis,feature,horizon,ic_model_a,ic_model_b,delta_ic,t_stat,p_raw,ic_upper_extreme,ic_lower_extreme,p_bh_fdr,gate_pass
H02-B,cvd_5s,5s,0.007,0.0869,0.1109,18.31,4.440892098500626e-16,0.0989,0.0914,5.329070518200751e-15,True
H02-B,cvd_5s,15s,0.0062,0.0566,0.0959,9.68,6.111164907451894e-10,0.0627,0.0529,1.833349472235568e-09,True
H02-B,cvd_5s,60s,-0.004,0.0218,0.1065,5.18,2.3560968232638757e-05,0.0367,0.0242,2.3560968232638757e-05,True
H02-B,cvd_15s,5s,0.007,0.0511,0.0771,12.89,1.5152323840084136e-12,0.0662,0.065,6.0609295360336546e-12,True
H02-B,cvd_15s,15s,0.0062,0.0349,0.0829,7.45,8.351902303083136e-08,0.0509,0.0302,1.6703804606166273e-07,True
H02-B,cvd_15s,60s,-0.004,0.0045,0.1077,5.31,1.684386710065766e-05,0.0299,0.0192,1.8375127746171994e-05,True
H02-B,cvd_60s,5s,0.007,0.02,0.054,7.14,1.7329584189873515e-07,0.0288,0.0271,2.970785861121174e-07,True
H02-B,cvd_60s,15s,0.0062,0.0148,0.0781,7.08,2.0047725679539496e-07,0.0276,0.0144,3.0071588519309245e-07,True
H02-B,cvd_60s,60s,-0.004,-0.0056,0.1169,6.03,2.677294925756968e-06,0.0181,0.024,3.569726567675957e-06,True
H02-B,nfr_15s,5s,0.007,0.0515,0.0813,13.89,2.9531932455029164e-13,0.0693,0.0624,1.7719159473017498e-12,True
H02-B,nfr_15s,15s,0.0062,0.0361,0.0852,7.99,2.4308379087401022e-08,0.0547,0.0309,5.834010980976245e-08,True
H02-B,nfr_15s,60s,-0.004,0.0169,0.1101,5.44,1.2018436717387004e-05,0.0283,0.0168,1.4422124060864404e-05,True
