session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2010-09-13,A,A,liquidity,1,confirmed,cont_match,2010-09-13 09:09:00-04:00,1903.0,1902.5,1906.25,liquidity,2010-09-13 09:30:00-04:00,1906.0,TP,5.5,2.75,50.0,0.5,0.5,0,9,A_SLA_TPliquidity
2011-02-28,A,A,liquidity,1,confirmed,cont_match,2011-02-28 08:34:00-05:00,2356.25,2351.25,2357.5,liquidity,2011-02-28 09:33:00-05:00,2357.25,TP,0.15,0.75,10.0,-3.5,5.0,0,8,A_SLA_TPliquidity
2011-12-27,A,A,liquidity,1,confirmed,cont_match,2011-12-27 08:44:00-05:00,2279.5,2277.5,2280.5,liquidity,2011-12-27 09:07:00-05:00,2277.25,SL,-1.25,-2.5,-55.0,-10.0,2.0,1,8,A_SLA_TPliquidity
2012-08-22,A,A,liquidity,1,confirmed,cont_match,2012-08-22 08:34:00-04:00,2770.0,2764.5,2771.5,liquidity,2012-08-22 08:35:00-04:00,2771.25,TP,0.18181818181818182,1.0,15.0,-3.0,5.5,2,8,A_SLA_TPliquidity
2014-03-14,A,A,liquidity,-1,no_fvg,cont_match,2014-03-14 08:59:00-04:00,3644.25,3654.75,3643.75,liquidity,2014-03-14 09:09:00-04:00,3644.0,TP,0.0,0.0,-5.0,-5.0,10.5,4,8,A_SLA_TPliquidity
2014-03-19,A,A,liquidity,1,untested,cont_match,2014-03-19 09:19:00-04:00,3700.5,3699.25,3702.25,liquidity,2014-03-19 09:23:00-04:00,3699.0,SL,-1.4,-1.75,-40.0,-8.5,1.25,2,9,A_SLA_TPliquidity
2014-08-20,A,A,liquidity,1,untested,cont_match,2014-08-20 09:29:00-04:00,4035.25,4032.0,4037.75,liquidity,2014-08-20 09:39:00-04:00,4037.5,TP,0.6153846153846154,2.0,35.0,-1.0,3.25,2,9,A_SLA_TPliquidity
2014-08-25,A,A,liquidity,1,untested,cont_match,2014-08-25 10:29:00-04:00,4073.5,4069.75,4073.75,liquidity,2014-08-25 10:30:00-04:00,4073.5,TP,-0.06666666666666667,-0.25,-10.0,-5.5,3.75,0,10,A_SLA_TPliquidity
2014-09-16,A,A,liquidity,-1,no_fvg,cont_match,2014-09-16 10:09:00-04:00,4024.5,4027.25,4023.75,liquidity,2014-09-16 10:10:00-04:00,4027.5,SL,-1.1818181818181819,-3.25,-70.0,-11.5,2.75,1,10,A_SLA_TPliquidity
2015-05-04,A,A,liquidity,1,confirmed,cont_match,2015-05-04 09:09:00-04:00,4479.0,4477.75,4481.25,liquidity,2015-05-04 09:27:00-04:00,4481.0,TP,1.4,1.75,30.0,-1.5,1.25,0,9,A_SLA_TPliquidity
