session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour
2019-04-24,A,A,2R,1,untested,cont_match,2019-04-24 08:39:00-04:00,7836.75,7833.75,7842.75,2R,2019-04-24 08:52:00-04:00,7842.5,TP,1.8333333333333333,5.5,105.0,6.0,3.0,2,8
2019-08-12,A,A,2R,-1,confirmed,cont_match,2019-08-12 09:19:00-04:00,7613.75,7622.0,7597.25,2R,2019-08-12 09:31:00-04:00,7622.25,SL,-1.0606060606060606,-8.75,-180.0,-22.5,8.25,0,9
2019-10-24,A,A,2R,1,untested,cont_match,2019-10-24 10:49:00-04:00,7937.25,7921.25,7969.25,2R,2019-10-24 11:32:00-04:00,7969.0,TP,1.96875,31.5,625.0,58.0,16.0,3,10
2020-04-01,A,A,2R,-1,confirmed,cont_match,2020-04-01 08:34:00-04:00,7568.0,7594.5,7515.0,2R,2020-04-01 09:31:00-04:00,7594.75,SL,-1.0188679245283019,-27.0,-545.0,-59.0,26.5,2,8
2020-05-06,A,A,2R,1,confirmed,cont_match,2020-05-06 09:49:00-04:00,9013.0,8972.0,9095.0,2R,2020-05-06 09:57:00-04:00,8971.75,SL,-1.0121951219512195,-41.5,-835.0,-88.0,41.0,2,9
2020-07-23,A,A,2R,1,confirmed,cont_match,2020-07-23 08:49:00-04:00,10860.0,10856.0,10868.0,2R,2020-07-23 08:50:00-04:00,10855.75,SL,-1.125,-4.5,-95.0,-14.0,4.0,3,8
2020-12-29,A,A,2R,1,confirmed,cont_match,2020-12-29 08:34:00-05:00,12887.5,12883.0,12896.5,2R,2020-12-29 09:16:00-05:00,12882.75,SL,-1.1111111111111112,-5.0,-105.0,-15.0,4.5,1,8
2021-02-11,A,A,2R,1,confirmed,cont_match,2021-02-11 09:24:00-05:00,13713.0,13707.75,13723.5,2R,2021-02-11 09:29:00-05:00,13723.25,TP,1.9047619047619047,10.0,195.0,15.0,5.25,3,9
2021-05-25,A,A,2R,1,confirmed,cont_match,2021-05-25 08:39:00-04:00,13716.75,13700.75,13748.75,2R,2021-05-25 08:52:00-04:00,13700.5,SL,-1.03125,-16.5,-335.0,-38.0,16.0,1,8
2021-09-23,A,A,2R,1,confirmed,cont_match,2021-09-23 08:34:00-04:00,15251.75,15221.75,15311.75,2R,2021-09-23 08:54:00-04:00,15221.5,SL,-1.0166666666666666,-30.5,-615.0,-66.0,30.0,3,8
2021-11-17,A,A,2R,1,confirmed,cont_match,2021-11-17 09:04:00-05:00,16304.75,16290.0,16334.25,2R,2021-11-17 09:51:00-05:00,16289.75,SL,-1.0338983050847457,-15.25,-310.0,-35.5,14.75,2,9
2022-07-18,A,A,2R,1,confirmed,cont_match,2022-07-18 10:34:00-04:00,12144.5,12104.0,12225.5,2R,2022-07-18 10:46:00-04:00,12103.75,SL,-1.0123456790123457,-41.0,-825.0,-87.0,40.5,0,10
2023-07-24,A,A,2R,1,confirmed,cont_match,2023-07-24 09:04:00-04:00,15573.25,15564.25,15591.25,2R,2023-07-24 09:30:00-04:00,15591.0,TP,1.9444444444444444,17.5,345.0,30.0,9.0,0,9
2023-09-21,A,A,2R,-1,untested,cont_match,2023-09-21 09:49:00-04:00,14963.75,14977.5,14936.25,2R,2023-09-21 09:54:00-04:00,14936.5,TP,1.9636363636363636,27.0,535.0,49.0,13.75,3,9
2025-03-25,A,A,2R,1,confirmed,cont_match,2025-03-25 09:19:00-04:00,20421.25,20402.0,20459.75,2R,2025-03-25 09:28:00-04:00,20401.75,SL,-1.025974025974026,-19.75,-400.0,-44.5,19.25,1,9
2025-12-02,A,A,2R,1,confirmed,cont_match,2025-12-02 08:39:00-05:00,25500.5,25457.75,25586.0,2R,2025-12-02 09:36:00-05:00,25585.75,TP,1.9883040935672514,85.0,1695.0,165.0,42.75,1,8
