label,n_trades,win_rate,avg_win,avg_loss,avg_r,expectancy_r,expectancy_usd,profit_factor,total_pnl_nq,max_dd_usd,max_dd_pct,longest_lose_streak,sharpe,sortino,pct_profitable_months,avg_duration_min
2010-09,1,1.0,5.0,,1.0,1.0,5.0,,5.0,0.0,0.0,0,,,1.0,5.0
2011-02,1,0.0,,-115.0,-1.1,-1.1,-115.0,0.0,-115.0,0.0,-0.0,1,,,0.0,176.0
2011-12,1,0.0,,-55.0,-1.25,-1.25,-55.0,0.0,-55.0,0.0,-0.0,1,,,0.0,23.0
2012-08,1,0.0,,-125.0,-1.0909090909090908,-1.0909090909090908,-125.0,0.0,-125.0,0.0,-0.0,1,,,0.0,45.0
2014-03,2,0.5,405.0,-40.0,0.2761904761904762,0.2761904761904762,182.5,10.125,365.0,-40.0,-0.09876543209876543,1,,,1.0,68.0
2014-08,2,0.0,,-85.0,-1.1435897435897435,-1.1435897435897435,-85.0,0.0,-170.0,-90.0,-0.0,2,,,0.0,75.0
2014-09,1,0.0,,-70.0,-1.1818181818181819,-1.1818181818181819,-70.0,0.0,-70.0,0.0,-0.0,1,,,0.0,1.0
2015-05,2,0.5,35.0,-25.0,-0.19999999999999996,-0.19999999999999996,5.0,1.4,10.0,-25.0,-0.7142857142857143,1,,,1.0,9.5
2015-07,1,1.0,415.0,,1.9534883720930232,1.9534883720930232,415.0,,415.0,0.0,0.0,0,,,1.0,125.0
2016-02,1,0.0,,-380.0,-1.0273972602739727,-1.0273972602739727,-380.0,0.0,-380.0,0.0,-0.0,1,,,0.0,111.0
2016-09,1,0.0,,-320.0,-1.0327868852459017,-1.0327868852459017,-320.0,0.0,-320.0,0.0,-0.0,1,,,0.0,96.0
2016-10,1,0.0,,-175.0,-1.0625,-1.0625,-175.0,0.0,-175.0,0.0,-0.0,1,,,0.0,5.0
2016-12,1,0.0,,-215.0,-1.05,-1.05,-215.0,0.0,-215.0,0.0,-0.0,1,,,0.0,59.0
2017-05,2,0.0,,-47.5,-1.3611111111111112,-1.3611111111111112,-47.5,0.0,-95.0,-35.0,-0.0,2,,,0.0,10.0
2017-08,1,1.0,95.0,,1.8181818181818181,1.8181818181818181,95.0,,95.0,0.0,0.0,0,,,1.0,22.0
2018-01,1,0.0,,-140.0,-1.08,-1.08,-140.0,0.0,-140.0,0.0,-0.0,1,,,0.0,57.0
2018-04,1,1.0,155.0,,1.8823529411764706,1.8823529411764706,155.0,,155.0,0.0,0.0,0,,,1.0,16.0
2018-11,1,0.0,,-35.0,-1.5,-1.5,-35.0,0.0,-35.0,0.0,-0.0,1,,,0.0,1.0
2019-02,1,0.0,,-505.0,-1.0204081632653061,-1.0204081632653061,-505.0,0.0,-505.0,0.0,-0.0,1,,,0.0,49.0
2019-04,1,1.0,105.0,,1.8333333333333333,1.8333333333333333,105.0,,105.0,0.0,0.0,0,,,1.0,13.0
2019-08,1,0.0,,-180.0,-1.0606060606060606,-1.0606060606060606,-180.0,0.0,-180.0,0.0,-0.0,1,,,0.0,12.0
2019-10,1,1.0,625.0,,1.96875,1.96875,625.0,,625.0,0.0,0.0,0,,,1.0,43.0
2020-04,1,0.0,,-545.0,-1.0188679245283019,-1.0188679245283019,-545.0,0.0,-545.0,0.0,-0.0,1,,,0.0,57.0
2020-05,1,0.0,,-835.0,-1.0121951219512195,-1.0121951219512195,-835.0,0.0,-835.0,0.0,-0.0,1,,,0.0,8.0
2020-07,1,0.0,,-95.0,-1.125,-1.125,-95.0,0.0,-95.0,0.0,-0.0,1,,,0.0,1.0
2020-12,1,0.0,,-105.0,-1.1111111111111112,-1.1111111111111112,-105.0,0.0,-105.0,0.0,-0.0,1,,,0.0,42.0
2021-02,1,1.0,195.0,,1.9047619047619047,1.9047619047619047,195.0,,195.0,0.0,0.0,0,,,1.0,5.0
2021-05,1,0.0,,-335.0,-1.03125,-1.03125,-335.0,0.0,-335.0,0.0,-0.0,1,,,0.0,13.0
2021-09,1,0.0,,-615.0,-1.0166666666666666,-1.0166666666666666,-615.0,0.0,-615.0,0.0,-0.0,1,,,0.0,20.0
2021-11,1,0.0,,-310.0,-1.0338983050847457,-1.0338983050847457,-310.0,0.0,-310.0,0.0,-0.0,1,,,0.0,47.0
2022-07,1,0.0,,-825.0,-1.0123456790123457,-1.0123456790123457,-825.0,0.0,-825.0,0.0,-0.0,1,,,0.0,12.0
2023-07,1,1.0,345.0,,1.9444444444444444,1.9444444444444444,345.0,,345.0,0.0,0.0,0,,,1.0,26.0
2023-09,1,1.0,535.0,,1.9636363636363636,1.9636363636363636,535.0,,535.0,0.0,0.0,0,,,1.0,5.0
2025-03,1,0.0,,-400.0,-1.025974025974026,-1.025974025974026,-400.0,0.0,-400.0,0.0,-0.0,1,,,0.0,9.0
2025-12,1,1.0,1695.0,,1.9883040935672514,1.9883040935672514,1695.0,,1695.0,0.0,0.0,0,,,1.0,57.0
