direction,body_bucket,n,median_retracement_pct,median_max_penetration_pct,median_30m_rng,mean_30m_rng,pct_positive_30m,median_upper_wick_fraction,median_lower_wick_fraction
bullish,<25%,83,1.6514939309056955,69.87292659946317,0.019302152932442463,0.03168918187669162,66.26506024096386,0.33425211319367876,0.5357021465735875
bullish,25-50%,90,1.063451674138697,51.597578722055175,0.0015988446398445886,0.01226438945379494,51.11111111111111,0.248155226416096,0.36916795069337444
bullish,50-75%,112,0.5816116680872941,46.257541185324996,-0.005170089272112367,-0.015770029370099508,41.07142857142857,0.16129032258064516,0.19988249611817532
bullish,>75%,59,0.5231037489102005,21.98233562315996,-0.011638316920322292,-0.025167420016536053,38.983050847457626,0.0708245243128964,0.08231458842705787
bearish,<25%,104,2.013422818791946,101.54109589041096,-0.0014862456380819525,0.010562735093153015,45.19230769230769,0.38620689655172413,0.5
bearish,25-50%,90,0.7843257874015748,63.52805841752526,-0.0011627906976744186,-0.01038388002462757,44.44444444444444,0.28524124881740776,0.33414800957496027
bearish,50-75%,92,1.084010840108401,42.3728813559322,0.003101676329077339,-0.010935221855854415,51.08695652173913,0.18434343434343434,0.19461077844311378
bearish,>75%,43,0.48543689320388345,47.43230625583566,0.0,0.0241924644514677,48.837209302325576,0.07478632478632478,0.09252669039145907
combined,<25%,187,1.839464882943144,90.85603112840467,0.008583690987124463,0.019939714146809184,54.54545454545454,0.3494897959183674,0.5213675213675214
combined,25-50%,180,0.8929283265566452,57.94642857142857,0.0,0.0009402547145836832,47.77777777777778,0.25308059790183135,0.3484692375625552
combined,50-75%,204,0.8695652173913043,43.50282485875706,-0.0009986308932536678,-0.01358962598132231,45.588235294117645,0.16555555555555557,0.19858156028368795
combined,>75%,102,0.5115518744551002,35.5336370946127,-0.007681125255382681,-0.004358841270220744,43.13725490196079,0.07306564365750556,0.08305673555431106
