bucket,horizon,n,mfe_median_pts,mfe_mean_pts,mae_median_pts,mae_mean_pts,mfe_median_rng,mae_median_rng
0-10%,5m,652,2.25,5.647239263803681,2.125,7.036042944785276,0.014779650967757034,0.016041281832134026
0-10%,15m,647,3.5,9.666151468315302,3.75,11.091576506955178,0.02631578947368421,0.028669724770642203
0-10%,30m,635,5.0,13.693700787401575,5.0,14.40708661417323,0.03512014787430684,0.03695150115473441
0-10%,60m,625,6.75,18.6596,7.25,19.3176,0.04730434782608696,0.051094890510948905
0-10%,120m,646,9.25,24.945820433436534,10.375,26.140092879256965,0.06925897835190459,0.07077697803791294
0-10%,session_end,655,54.0,96.97290076335878,51.0,103.1351145038168,0.3762755102040816,0.3978494623655914
10-20%,5m,28,1.5,9.8125,1.875,5.4375,0.03138297872340425,0.026230209670517757
10-20%,15m,28,1.75,15.473214285714286,3.375,7.383928571428571,0.04097474485383151,0.05227662269915791
10-20%,30m,27,2.5,18.333333333333332,5.75,13.0,0.04569055036344756,0.08379888268156424
10-20%,60m,28,5.125,20.598214285714285,6.375,15.196428571428571,0.09789595560346548,0.08733790999237223
10-20%,120m,28,6.875,31.633928571428573,7.75,18.955357142857142,0.14847259658580414,0.11146405677655677
10-20%,session_end,28,34.75,82.3125,30.25,48.9375,0.5787910815843778,0.37845988678508685
20-30%,5m,5,0.25,0.55,0.0,0.25,0.01282051282051282,0.0
20-30%,15m,5,0.25,0.8,0.75,0.9,0.01282051282051282,0.031914893617021274
20-30%,30m,4,0.875,1.0625,1.0,0.9375,0.03227232537577365,0.03248410710845694
20-30%,60m,5,3.25,2.65,0.75,0.95,0.07262569832402235,0.031914893617021274
20-30%,120m,5,3.25,2.85,2.0,2.85,0.07262569832402235,0.0446927374301676
20-30%,session_end,5,3.25,15.5,20.0,22.55,0.16666666666666666,0.7039106145251397
30-40%,5m,7,1.75,5.285714285714286,2.75,71.92857142857143,0.010359116022099447,0.03362944162436548
30-40%,15m,7,3.75,7.535714285714286,6.0,88.35714285714286,0.031914893617021274,0.08921933085501858
30-40%,30m,6,5.375,37.541666666666664,36.25,103.5,0.06613475177304964,0.1320834827241334
30-40%,60m,6,3.125,41.083333333333336,36.25,103.125,0.03301509365339153,0.1320834827241334
30-40%,120m,5,6.75,56.8,66.0,122.55,0.1623931623931624,0.16751269035532995
30-40%,session_end,7,26.5,81.07142857142857,55.5,116.25,0.4240331491712707,0.5193370165745856
40-50%,5m,1,1.25,1.25,4.0,4.0,0.03968253968253968,0.12698412698412698
40-50%,15m,1,1.25,1.25,12.0,12.0,0.03968253968253968,0.38095238095238093
40-50%,30m,1,1.25,1.25,15.25,15.25,0.03968253968253968,0.48412698412698413
40-50%,60m,1,1.25,1.25,16.75,16.75,0.03968253968253968,0.5317460317460317
40-50%,120m,1,5.5,5.5,16.75,16.75,0.1746031746031746,0.5317460317460317
40-50%,session_end,1,5.5,5.5,16.75,16.75,0.1746031746031746,0.5317460317460317
50-75%,5m,0,,,,,,
50-75%,15m,0,,,,,,
50-75%,30m,0,,,,,,
50-75%,60m,0,,,,,,
50-75%,120m,0,,,,,,
50-75%,session_end,0,,,,,,
75-100%,5m,0,,,,,,
75-100%,15m,0,,,,,,
75-100%,30m,0,,,,,,
75-100%,60m,0,,,,,,
75-100%,120m,0,,,,,,
75-100%,session_end,0,,,,,,
>100%,5m,0,,,,,,
>100%,15m,0,,,,,,
>100%,30m,0,,,,,,
>100%,60m,0,,,,,,
>100%,120m,0,,,,,,
>100%,session_end,0,,,,,,
